simple_sentence,truth_value
"U.S. imports 1 % of its oil from Russia profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from “ Exxon profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from Chevron profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from BP profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from Shell profits are at their highest level in over 7 years . ” . 
",meter-true
"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.” .
",meter-false
"Video shows Russian President Vladimir Putin meeting with South Korea’s president..
",meter-false
"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter."".
",meter-false
"A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle..
",meter-false
"The war in Ukraine is “ scripted . ” . The war in Ukraine is “ staged . ” . 
",meter-false
"Joe Biden 's sanctions on Russia “ are riddled with loopholes . Joe Biden 's sanctions on Russia “ do n't even start for 30 days . They have carve outs for the energy. They have carve financial sectors . ” . 
",meter-true
"Says Sean Penn’s trip to Ukraine in November is evidence the war is staged..
",meter-false
"""The Russian army does not occupy Ukrainian territory."".
",meter-false
"Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv..
",meter-false
"Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion..
",meter-false
"A photo of a wounded young child was captured in Ukraine in 2022. .
",meter-false
"The United States buys  `` 206000 barrels of oil a day `` from Russia  `` shut  down domestic oil production a year ago . `` .
",meter-false
"Video shows footage from Russia invading Ukraine..
",meter-false
"TikTok video shows Russian soldiers parachuting into Ukraine..
",meter-false
"Ethnic Russians face “genocide perpetrated by the Kyiv regime.” .
",meter-false
"This ""footage"" shows Russia attacking Ukraine..
",meter-false
"""Ukraine was the No.1 donor to Hillary Clinton when she was running for president.” .
",meter-false
"“Russia has never attacked anyone throughout its history.” .
",meter-false
"Says Joe Biden risks war with Russia   Vladimir Putin doesn ’ t “ believe in transgender rights . `` .
",meter-false
"Says Joe Biden is “ withholding $ 150 million in aid from Ukraine ” to “ pressure Ukraine to drop all criminal investigations into him . Says Joe Biden is “ withholding $ 150 million in aid from Ukraine ” to “ pressure Ukraine to drop all criminal investigations into his son  Hunter . ” . 
",meter-false
"Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son..
",meter-false
"Says President Barack Obama `` signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves ventilaors [ sic ] to China to avoid the tax . ” . Says President Barack Obama `` signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves ventilaors [ sic ] to Europe to avoid the tax . ” . Says President Barack Obama `` signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves ventilaors [ sic ] to Russia to avoid the tax . ” . 
",meter-false
"Says Bill Clinton `` gave nukes to North Korea  `` Barack Obama `` gave nukes to Iran. Hillary Clinton `` gave uranium to Russia. . ``. .
",meter-false
"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton."".
",meter-false
"`` Everywhere Marie Yovanovitch went turned bad  `` including Somalia . `` Everywhere Marie Yovanovitch went turned bad  `` including Ukraine . .
",meter-false
"The Russians are violating all of the rules , , treaties , , understandings that they committed to that actually kept the peace in Europe for nearly 70 years . The Russians kept the peace in Europe for nearly 70 years . .
",meter-true
"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go."".
",meter-false
"`` Europe need to contribute to Ukraine . `` other nations need to contribute to Ukraine . Because they’re not doing it.Just the United States.We’re putting up the bulk of the money."".
",meter-false
"Crimea ""was sort of taken away from President Obama.… And he wanted Russia to be out of what was called the G-8.And that was his determination."".
",meter-false
"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company..
",meter-true
"The reason Russia was in Afghanistan was. Terrorists were going into Russia. . ``. .
",meter-false
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria..
",meter-false
"""The Russian state has never interfered ... into internal American affairs including election process."".
",meter-false
"Says Bernie Sanders was indifferent to Russia 's annexation of Crimea. He felt `` they have a lot of Russians anyway. . ``. .
",meter-false
"`` Denzel Washington : With Trump we avoided `` . `` Denzel Washington : With war with Russia `` . `` Denzel Washington : With Orwellian Police State `` . 
",meter-false
"""This is not the first time (the Russians) have been involved in our elections."".
",meter-true
"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door."".
",meter-true
"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile."".
",meter-true
"Says New START  passed. Clinton was secretary of state  is a `` treaty cutting Russia ’ s nuclear arms. . ``. .
",meter-true
"Russia   China are `` doing naval exercises together someplace . `` .
",meter-true
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia."".
",meter-true
"""We lock up close to 2.4 million people in this country.We 're locking up more people . `` We 're locking up than China . `` We 're locking up Russia . `` .
",meter-true
"Russia `` absolutely said  pretty clearly `` they would not keep economic sanctions on Iran if the United States `` walked  away from the deal . `` China `` absolutely said  pretty clearly `` they would not keep economic sanctions on Iran if the United States `` walked  away from the deal . `` .
",meter-true
"`` The entirety of North America -- Canada -- there 's   more known reserves in those three countries than in Russia  . `` `` The entirety of North America -- Canada -- there 's   more known Saudi Arabia . `` `` The entirety of North America -- the United States -- there 's   more known reserves . `` `` The entirety of North America -- the United States -- there 's  in those three countries than in Russia  . `` `` The entirety of North America -- the United States -- there 's  Saudi Arabia . `` `` The entirety of North America -- Mexico -- there 's   more known reserves in those three countries than in Russia  . `` `` The entirety of North America -- Mexico -- there 's   more known Saudi Arabia . `` .
",meter-false
"Russia ""has an economy the size of Italy."".
",meter-true
"In the Georgia-Russia conflict  `` we flew a brigade of Georgian soldiers `` from Iran to Georgia . `` In the Georgia-Russia conflict  `` we `` . `` In the Georgia-Russia conflict  `` we sent U.S. ships into the Black Sea . `` In the Georgia-Russia conflict  `` we provided various kinds of supplies . `` .
",meter-true
"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia."".
",meter-true
"After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message `` to Vladimir Putin by sending `` warships to the Black Sea `` airlifting that Georgia had in Afghanistan `` back to Georgia . After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message `` to Vladimir Putin by sending `` warships to the Black Sea `` `` that Georgia had in Afghanistan `` back to Georgia . After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message `` to Vladimir Putin by sending `` warships to the Black Sea `` combat troops that Georgia had in Afghanistan `` back to Georgia . .
",meter-false
"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine..
",meter-true
"""The Russians didn’t wear uniforms when they came in"" to Ukraine..
",meter-true
"""Crimea became part of Ukraine only in 1954.Crimea was historically part of Russia. Nikita Khrushchev gave it to Ukraine in a gesture that mystified some people. . ``. .
",meter-true
"Crimea was part of Russia `` `` until 1954 , , when it was given to the Soviet Republic of the Ukraine . it was given to the Soviet Republic of the Ukraine . it given to the Soviet Republic of the Ukraine . .
",meter-true
"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately.They’ve said it on the record.They’ve suggested they might even replace it with better stuff."".
",meter-false
"A few months said Russia . A few months 's the biggest geopolitical threat facing America . A few months facing America . .
",meter-true
"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people."".
",meter-true
"Says Romney called Russia our No.1 enemy..
",meter-true
"""Obama tells Russia that he'll turn over America's defense system to them if re-elected."".
",meter-false
"""We're going to have more troops (in Afghanistan) ...than the Russians had."".
",meter-false
"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin.Then he flew . Then he to the Kremlin . Then he discussed . Then he dropping sanctions . Lee even opposed arming Ukrainians fighting for their lives.” .
",meter-false
"`` Not once in his entire career in Washington  D.C.   has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia . `` `` Not started way back in 1991  has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia . `` .
",meter-true
"""I have been much tougher on Russia than Obama, just look at the facts.Total Fake News!"".
",meter-false
"""I never said Russia did not meddle in the election."".
",meter-false
"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God."".
",meter-false
"Says Barack Obama found out about Russia ""in August.Now, the election was in November.That's a lot of time.He did nothing about it."".
",meter-false
"`` If Russia  was hacking  why did the White House wait so long to act ?. `` If Russia  some other entity was hacking  why did the White House wait so long to act ?. Why did they only complain after Hillary lost?"".
",meter-false
"Says the Obama administration invited ""Russia into Syria."".
",meter-false
"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating."".
",meter-true
"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.” .
",meter-false
"CNN staged a fire in Edmonton  Canada  . CNN claimed it was filmed in Ukraine . .
",meter-false
"“ Putin bombs  Biden-owned villa in Ukraine . ” . “ Putin bombs  Biden-owned villa in hammering biolabs & pedophile rings . ” . 
",meter-false
"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.” .
",meter-false
"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.” .
",meter-false
"“We have doubled our (oil) imports from Russia in the last year.” .
",meter-false
"A photo showing young children saluting troops was captured in Ukraine in 2022. .
",meter-false
"Actor Steven Seagal spotted among Russian special forces in Ukraine .
",meter-false
"A 2022 video shows “ Ukrainian ” . A 2022 video shows “ Russian soldiers face to face . ” . 
",meter-false
"A photo shows a Russian warplane under attack..
",meter-false
"“ Durham ’ s documents show that Hillary Clinton hired people . “ Durham ’ s documents show that Hillary Clinton hacked into Trump ’ s home office computers ” . “ Durham ’ s documents show that Hillary Clinton hacked into “ planted evidence . “ Durham ’ s documents show that Hillary Clinton hacked into “ fabricated evidence connecting Trump to Russia . ” . 
",meter-false
"“ Biden invested  the entire family fortune in Ukraine gas . “ Biden invested  oil . Then shuts down Keystone pipeline.Starting to get the picture.” .
",meter-false
"Says  the sons of Nancy Pelosi are all on the boards of `` energy companies doing business in Ukraine . `` Says  the sons of Mitt Romney are all on the boards of `` energy companies doing business in Ukraine . `` Says  the sons of John Kerry are all on the boards of `` energy companies doing business in Ukraine . `` .
",meter-false
"Says Nancy Pelosi ’ s `` legislative aide … is from the Ukraine is connected to the Ukrainian Embassy `` . Says Nancy Pelosi ’ s `` legislative aide … is from the Ukraine is connected to the Ukrainian military `` . Says Nancy Pelosi ’ s `` legislative aide … is from the Ukraine is connected to the Ukrainian government `` . Says Nancy Pelosi ’ s `` legislative aide … is from the Ukraine is connected to Ukrainian party life `` . 
",meter-false
"Says  the Steele dossier `` was  responsible for starting `` Special Counsel Robert Mueller ’ s investigation into links between the Trump campaign . Says  the Steele dossier `` was  responsible for starting `` Special Counsel Robert Mueller ’ s investigation into links between Russia . .
",meter-false
"Say President Donald Trump `` dictated a short response to the New York Times article `` about the Trump Tower meeting with Russians . Say President Donald Trump `` dictated a accurate response to the New York Times article `` about the Trump Tower meeting with Russians . .
",meter-false
"Russian natural gas company `` Gazprom held Europe by the throat -- they were  a monopoly . Now the U.S. is breaking into that monopoly with our exports of liquefied natural gas . ``. .
",meter-true
"""We know this now.The banks no longer loan Donald Trump money. He 's a terrible risk. . So he goes to these Russian oligarchs . `` So he borrows money . `` .
",meter-false
"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews."".
",meter-false
"Ukraine adopted “laws banning the Russian language.” .
",meter-false
"""Ukraine blatantly interfered in our election."".
",meter-false
"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton."".
",meter-false
"`` Texas has  a higher incarceration rate than Russia . `` `` Texas has  Iran . `` .
",meter-true
"President Obama rushed home from Santa Barbara vacation , , from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians . the Korean jetliner was shot out of the air by the Russians . the Korean jetliner shot out of the air by the Russians . .
",meter-false
"“Biden threatens to assassinate Ukraine president.” .
",meter-false
"The Pentagon `` finally comes clean `` `` admits ... that there are 46 U.S. military-funded biolabs in Ukraine `` . 
",meter-false
"Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.” .
",meter-false
"U.S. has biological weapons labs in Ukraine..
",meter-false
"Russia unveiled a nuclear weapon , , `` `` Satan 2 , , '' '' that is `` `` capable of destroying everything breathing in the world . Russia is `` `` capable of destroying everything breathing in the world . Russia destroying everything breathing in the world . .
",meter-false
"Russia is targeting U.S. biological weapons labs in Ukraine invasion..
",meter-false
"Says President Donald Trump ’ s hold on Ukraine aid was like when `` the Obama administration withheld $ 585 million of promised aid to Egypt in 2013 ... they did n't have to disclose the halt to anyone . `` Says President Donald Trump ’ s hold on Ukraine aid was like when `` the Obama administration withheld $ 585 million of promised aid to Egypt in 2013 ... within the fiscal year they did n't have to disclose the halt to anyone . `` .
",meter-false
"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads"" .
",meter-true
"President Donald `` Trump ’ s latest set of sanctions against companies countries benefiting North Korea includes every nation one making shipments to North Korea . The one nation Trump exempted from his punitive ban was.The one nation Trump exempted from his punitive ban exempted from his punitive ban...wait for it ...drumroll: Russia."".
",meter-false
"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal."".
",meter-false
"Russia has `` tremendous numbers of nuclear warheads — 1800  by the way — where they expanded. We did n't. . ``. .
",meter-true
"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia."".
",meter-false
"Ukraine voluntarily gave up its nuclear weapons. The United States of America `` said it would `` ensure its territorial integrity from Russia. . ``. .
",meter-false
"Until the new Iran deal `` have never voted with us at the U.N. on any sanctions on Iran in the past . `` Until China `` have never voted with us at the U.N. on any sanctions on Iran in the past . `` Until Russia `` have never voted with us at the U.N. on any sanctions on Iran in the past . `` .
",meter-false
"""Ukraine was a nuclear-armed state.They gave away their nuclear arms with the understanding that we would protect them."".
",meter-false
"Photo shows fighting in Ukraine..
",meter-false
"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.” .
",meter-false
"""The United States doesn’t have the highest murder rate among developed countries.You look at Russia . we have here in the United States . .
",meter-true
"Ukraine President Volodymyr Zelenskyy makes . Ukraine President Volodymyr Zelenskyy $ 11 million a month . Ukraine President Volodymyr Zelenskyy has a net worth of $ 596 million . .
",meter-false
"“ The President of Ukraine owns. “ The President of Ukraine a $ 35 million home in Florida. “ The President of Ukraine has $ 1.2 billion in a overseas bank account . ” . 
",meter-false
"Ukraine is  the “ money laundering. Child sex trafficking capital of the world ! ”. . 
",meter-false
"The FBI raided a “Cleveland office linked to Ukraine.Biden all had sons getting tens of millions of dollars from no-show jobs in Ukraine . ” . Pelosi all had sons getting tens of millions of dollars from no-show jobs in Ukraine . ” . Kerry all had sons getting tens of millions of dollars from no-show jobs in Ukraine . ” . Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine . ” . 
",meter-false
"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case.So that makes two courts.Two courts have ruled no evidence of any collusion with any Russians."".
",meter-false
"`` Justice Kennedy quit   he his son helped Trump launder illegal Russian money through Deutsche Bank . `` .
",meter-false
"Says Hillary Clinton `` presided over $ 6 billion lost at the State Department  sold uranium to the Russians through her faux charity  illegally deleted public records  . `` Says Hillary Clinton `` presided over $ 6 billion lost at the State Department  sold uranium to the Russians through murdered an ambassador . `` .
",meter-false
"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed.It’s ‘odd’ that impeachment happened the moment Russian hoax failed.The Russian hoax happened. Hillary lost. ?. Notice the pattern?” .
",meter-false
"""104 House Democrats voted for impeachment before the Ukraine call took place."".
",meter-false
"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions..
",meter-true
"""I’ve been on the Armed Services (Committee) for 10 years.No call meeting w/ Russian ambassador . Call meeting w/ Russian ambassador . Ever."".
",meter-false
"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia..
",meter-false
"`` Russian mansions Obama seized were meant to be illegal gifts to Sasha . `` Russian mansions Obama seized were meant to be illegal gifts to Malia `` . 
",meter-false
"`` It 's important to pay attention to the Russian spy drama . `` It 's important to let 's not ignore the fact . `` It 's important to that the following 10 bills have been introduced `` in the House . .
",meter-true
"`` As secretary of state  Hillary Clinton worked hard . `` `` As secretary of state  Hillary Clinton worked to get strong sanctions . `` `` As secretary of state  Hillary Clinton worked against Iran 's nuclear program . `` `` As secretary of state  Hillary Clinton worked `` . `` `` As secretary of state  Hillary Clinton worked got Russia to support them . `` `` As secretary of state  Hillary Clinton worked got China to support them . `` .
",meter-true
"Says Hillary Clinton ’ s State Department `` approved the transfer of 20 percent of America ’ s uranium holdings to Russia. Nine investors in the deal funneled $ 145 million to the Clinton Foundation. . ``. .
",meter-false
"The United States has `` more of our people in prison than Russia  China. North Korea combined. . ``. .
",meter-false
"In Russia `` all people are absolutely equal regardless of their religion. In Russia `` all people are absolutely equal regardless of sex. In Russia `` all people are absolutely equal regardless of ethnicity. In Russia `` all people are absolutely equal regardless of sexual orientation. `` 70 countries of the world have criminal liability for homosexuality. . ``. .
",meter-true
"The United States ""is number one in the world in energy resources; Russia is number two."".
",meter-true
"""We are number one in the world when it comes to energy resources....The Russians are second; Saudi Arabia is number three."".
",meter-true
"`` If the space-shuttle program is terminated  Russia will be the only nations ... with the capability to launch humans into space . `` `` If the space-shuttle program is terminated  China will be the only nations ... with the capability to launch humans into space . `` .
",meter-true
"“Joe Biden left Marines behind in Afghanistan.And now he left a Marine behind in Russia.” .
",meter-false
"“The Simpsons predicted Pizzagate.” .
",meter-false
"A video shows migrants faking tears for news cameras..
",meter-false
"The Federal Reserve “has suspended the availability of new currency.” .
",meter-false
"“The CEO of FTX is the daughter of the chairman of the SEC.” .
",meter-false
"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week."".
",meter-false
"The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.” .
",meter-false
"“We finally achieved that energy independence… under the Trump administration.President Biden squandered (it) away.” .
",meter-false
"The price of gas is “down from over $5 when I took office.” .
",meter-false
"Today’s high food prices were planned during a 2015 food shortage simulation..
",meter-false
"Volodymyr Zelenskyy was  photographed holding a soccer jersey with his name . Volodymyr Zelenskyy was  photographed holding a soccer jersey with a swastika . .
",meter-false
"There are “100,000 kids in cages” under the Getty art museum..
",meter-false
"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States..
",meter-true
"Kamala Harris said  “ We have to acknowledge gas is high . Kamala Harris said  “ We have to acknowledge gas is the opposite of low . . Kamala Harris said  “ We have to acknowledge gas ” . 
",meter-false
"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”..
",meter-false
"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.” .
",meter-false
"The Great Reset advocates replacing capitalism with an economic system that is  “ kind of socialism  kind of communism ” . The Great Reset “ mostly just fascism . ” . 
",meter-false
"“Norway readies its military to counter Biden.” .
",meter-false
"`` $ 12 billion more for Ukraine on top of $ 100+ billion  Mississippi has yet to receive any funding to fix their water infrastructure . `` `` $ 12 billion more for Ukraine on Jackson  Mississippi has yet to receive any funding to fix their water infrastructure . `` .
",meter-false
"“ Iowans are paying $ 5000 extra for everyday goods under Biden . ” . “ Iowans are paying $ 5000 extra for everyday goods under Axne ’ s inflation . ” . 
",meter-true
"Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.” .
",meter-false
"Vladimir Putin “is fleeing the war!” .
",meter-false
"“Pelosi’s panel ready to arrest Trump.” .
",meter-false
"“The Simpsons” predicted Queen Elizabeth II’s 2022 death..
",meter-false
"""Democrats' radical green energy policies caused record gas prices. "".
",meter-false
"“ The pope  Xi all meet to plan world events ! ” . “ The pope  Putin all meet to plan world events ! ” . 
",meter-false
"“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.” .
",meter-false
"El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”..
",meter-false
"Joe Biden threatened to assassinate Ukraine’s former president..
",meter-false
"“U.S.is testing new most deadly nuclear bomb from B-1B Lancer.” .
",meter-false
"Empty store shelves at a Walmart in South Carolina were. Of a meat shortage. . .
",meter-false
"The government is arming up the IRS. The government is arming up  “ Joe Biden is raising taxes. The government is arming up  “ Joe Biden is raising disarming taxes. The government is arming up Americans . ” . 
",meter-false
"“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.” .
",meter-false
"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.” .
",meter-false
