claim,truth_value,topic,year_of_publish
"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,conflict,2022
"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,conflict,2022
The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,conflict,2022
"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false,conflict,2022
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,conflict,2022
"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,conflict,2022
“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,conflict,2022
This video shows “Russian war in Ukraine.”,meter-false,conflict,2022
"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,conflict,2022
“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,tom_ruling_pof,conflict,2022
"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,conflict,2022
A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,conflict,2022
The war in Ukraine is “scripted and staged.”,tom_ruling_pof,conflict,2022
Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,conflict,2022
"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,conflict,2022
"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,conflict,2022
Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,conflict,2022
Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,conflict,2022
"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,conflict,2022
“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,conflict,2022
"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,conflict,2022
A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,conflict,2022
Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,conflict,2022
Video shows footage from Russia invading Ukraine.,meter-false,conflict,2022
TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,conflict,2022
A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false,conflict,2022
Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,conflict,2022
A photo shows a Russian warplane under attack.,meter-false,conflict,2022
“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,conflict,2022
"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,conflict,2022
"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,conflict,2022
“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,meter-false,conflict,2021
"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,conflict,2019
"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",meter-false,conflict,2019
"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",meter-false,conflict,2019
"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,conflict,2019
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,conflict,2019
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,conflict,2018
"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",meter-false,conflict,2018
"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",meter-mostly-false,conflict,2018
"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,conflict,2018
"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",meter-half-true,conflict,2017
"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",meter-mostly-false,conflict,2016
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,conflict,2016
"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,conflict,2015
"Russia ""has an economy the size of Italy.""",meter-mostly-true,conflict,2014
"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-half-true,conflict,2014
"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",meter-false,conflict,2014
"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-mostly-false,conflict,2014
"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,conflict,2014
"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true,conflict,2014
"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true,conflict,2014
"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,conflict,2013
"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-half-true,conflict,2012
Says Romney called Russia our No. 1 enemy.,meter-mostly-true,conflict,2012
"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,ethiopia,2019
The war in Ukraine is “all over.”,meter-false,civil-conflict,2022
U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,civil-conflict,2022
"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false,civil-conflict,2022
“The Russian army has surrendered in Donetsk!”,meter-false,civil-conflict,2022
"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,civil-conflict,2022
"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",tom_ruling_pof,civil-conflict,2022
“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,civil-conflict,2022
"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,civil-conflict,2022
Ukraine adopted “laws banning the Russian language.”,meter-false,civil-conflict,2022
"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,civil-conflict,2022
The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,civil-conflict,2022
"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false,civil-conflict,2022
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,civil-conflict,2022
"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,civil-conflict,2022
“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,civil-conflict,2022
This video shows “Russian war in Ukraine.”,meter-false,civil-conflict,2022
"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,civil-conflict,2022
“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,tom_ruling_pof,civil-conflict,2022
"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,civil-conflict,2022
A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,civil-conflict,2022
The war in Ukraine is “scripted and staged.”,tom_ruling_pof,civil-conflict,2022
Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,civil-conflict,2022
"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,civil-conflict,2022
"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,civil-conflict,2022
Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,civil-conflict,2022
Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,civil-conflict,2022
"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,civil-conflict,2022
“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,civil-conflict,2022
"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,civil-conflict,2022
A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,civil-conflict,2022
Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,civil-conflict,2022
Video shows footage from Russia invading Ukraine.,meter-false,civil-conflict,2022
TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,civil-conflict,2022
A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false,civil-conflict,2022
Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,civil-conflict,2022
A photo shows a Russian warplane under attack.,meter-false,civil-conflict,2022
“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,civil-conflict,2022
"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,civil-conflict,2022
"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,civil-conflict,2022
“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,meter-false,civil-conflict,2021
"""Ukraine blatantly interfered in our election.""",meter-false,civil-conflict,2019
"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,civil-conflict,2019
"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,civil-conflict,2019
"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",meter-false,civil-conflict,2019
"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",meter-false,civil-conflict,2019
"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,civil-conflict,2019
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,civil-conflict,2019
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,civil-conflict,2018
"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",meter-false,civil-conflict,2018
"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",meter-mostly-false,civil-conflict,2018
"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",tom_ruling_pof,civil-conflict,2018
"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,civil-conflict,2018
"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",meter-half-true,civil-conflict,2017
"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",meter-mostly-false,civil-conflict,2017
"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",meter-mostly-false,civil-conflict,2016
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,civil-conflict,2016
"""Texas has a higher incarceration rate than Russia or Iran.""",meter-mostly-true,civil-conflict,2016
"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,civil-conflict,2015
"Russia ""has an economy the size of Italy.""",meter-mostly-true,civil-conflict,2014
"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians.""",meter-mostly-false,civil-conflict,2014
"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-half-true,civil-conflict,2014
"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",meter-false,civil-conflict,2014
