idx,claim,origin,URL,truth_value,stated_on,topic
69,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,Facebook posts,https://www.politifact.com/factchecks/2022/jun/14/karine-jean-pierre/white-house-gets-it-wrong-unemployment-level-when-/,meter-false,"June 13, 2022",russia
70,“U.S. military arrests Michael Sussmann.”,Facebook posts,https://www.politifact.com/factchecks/2022/jun/10/facebook-posts/no-military-didnt-arrest-michael-sussmann/,tom_ruling_pof,"June 08, 2022",russia
71,Ukraine adopted “laws banning the Russian language.”,Facebook posts,https://www.politifact.com/factchecks/2022/jun/08/sergey-lavrov/russian-has-not-been-banned-ukraine-despite-repeat/,meter-false,"June 06, 2022",russia
72,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,Facebook posts,https://www.politifact.com/factchecks/2022/jun/07/facebook-posts/bp-oil-executive-mentioned-viral-facebook-posts-do/,tom_ruling_pof,"June 03, 2022",russia
73,"The sale of more than 600,000 Wisconsin deer licenses shows that Wisconsin’s hunters are the “eighth largest army in the world.”",Facebook posts,https://www.politifact.com/factchecks/2022/jun/06/facebook-posts/deer-licenses-sold-wisconsin-dont-prove-state-has-/,meter-false,"May 23, 2021",russia
74,Biden gave Americans “the cheapest gas prices on Earth.”,Facebook posts,https://www.politifact.com/factchecks/2022/jun/06/tweets/no-biden-didnt-give-americans-cheapest-gas-prices-/,meter-false,"June 02, 2022",russia
75,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",Facebook posts,https://www.politifact.com/factchecks/2022/jun/03/facebook-posts/research-says-armed-officials-dont-prevent-mass-sc/,meter-half-true,"May 26, 2022",russia
76,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",Facebook posts,https://www.politifact.com/factchecks/2022/may/27/facebook-posts/no-cnn-didnt-report-same-man-died-afghanistan-and-/,tom_ruling_pof,"May 25, 2022",russia
77,“J.D. Vance profits off Russia propaganda.”,Facebook posts,https://www.politifact.com/factchecks/2022/may/24/tim-ryan/does-jd-vance-profit-russia-propaganda/,meter-half-true,"May 10, 2022",russia
78,Video shows “Russian tank column totally destroyed by attack helicopter.”,Facebook posts,https://www.politifact.com/factchecks/2022/may/20/facebook-posts/no-isnt-real-video-russian-tanks-getting-destroyed/,meter-false,"May 19, 2022",russia
79,“Soldiers destroyed Russian tank with NLAW in ambush.”,Facebook posts,https://www.politifact.com/factchecks/2022/may/19/viral-image/footage-soldiers-destroying-russian-tank-isnt-real/,meter-false,"May 18, 2022",russia
80,A photo of Ukrainians with paintball guns proves the war is staged.,Viral image,https://www.politifact.com/factchecks/2022/may/19/viral-image/no-photo-ukrainians-training-combat-doesnt-prove-w/,tom_ruling_pof,"May 16, 2022",russia
81,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,Viral image,https://www.politifact.com/factchecks/2022/may/18/facebook-posts/no-isnt-recent-photo-russian-priests-blessing-sata/,meter-false,"May 13, 2022",russia
82,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,Viral image,https://www.politifact.com/factchecks/2022/may/16/viral-image/still-no-connection-between-covid-19-vaccines-and-/,tom_ruling_pof,"May 15, 2022",russia
83,“Finland joins NATO.”,Viral image,https://www.politifact.com/factchecks/2022/may/16/facebook-posts/finlands-nato-membership-not-final/,meter-mostly-false,"May 15, 2022",russia
84,The NewProfilePic app is Russian spyware.,Viral image,https://www.politifact.com/factchecks/2022/may/16/facebook-posts/newprofilepic-app-not-russian-spy-malware-heres-ho/,meter-false,"May 10, 2022",russia
85,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,Kathy Barnette,https://www.politifact.com/factchecks/2022/may/13/kathy-barnette/kathy-barnette-largely-correct-course-inflation-un/,meter-mostly-true,"May 12, 2022",russia
86,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",Kathy Barnette,https://www.politifact.com/factchecks/2022/may/13/tom-tiffany/tiffany-overstates-report-shortcomings-afghan-vett/,meter-mostly-false,"February 18, 2022",russia
87,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",Kathy Barnette,https://www.politifact.com/factchecks/2022/may/10/facebook-posts/no-not-footage-ukraine-shooting-down-russian-plane/,meter-false,"May 05, 2022",russia
88,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,Kathy Barnette,https://www.politifact.com/factchecks/2022/may/05/facebook-posts/no-credible-reports-indicate-starlink-was-used-rus/,meter-false,"April 30, 2022",russia
89,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,Kathy Barnette,https://www.politifact.com/factchecks/2022/may/02/facebook-posts/no-proof-ukraine-president-zelenskyy-owns-35-milli/,meter-false,"April 17, 2022",russia
90,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,Instagram posts,https://www.politifact.com/factchecks/2022/may/02/instagram-posts/images-ukrainian-flag-being-replaced-soviet-union-/,meter-false,"April 18, 2022",russia
91,"Blinken, Austin trip to Kyiv may have been staged",Instagram posts,https://www.politifact.com/factchecks/2022/apr/28/michael-savage/us-cabinet-secretaries-did-visit-kyiv/,meter-false,"April 25, 2022",russia
92,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",Instagram posts,https://www.politifact.com/factchecks/2022/apr/28/facebook-posts/no-nato-jets-didnt-destroy-russian-aircraft/,meter-false,"April 27, 2022",russia
93,Photo of unbroken windows proves war in Ukraine is fake.,Instagram posts,https://www.politifact.com/factchecks/2022/apr/27/viral-image/no-photo-intact-windows-bucha-doesnt-prove-war-ukr/,tom_ruling_pof,"April 23, 2022",russia
94,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,Instagram posts,https://www.politifact.com/factchecks/2022/apr/26/facebook-posts/viral-videos-falsely-claiming-ukraines-zelenskyy-u/,tom_ruling_pof,"April 23, 2022",russia
95,A video shows the Russian warship Moskva exploding.,TikTok posts,https://www.politifact.com/factchecks/2022/apr/25/tiktok-posts/video-shows-norwegian-military-practice-shot-not-r/,meter-false,"April 14, 2022",russia
96,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",TikTok posts,https://www.politifact.com/factchecks/2022/apr/22/facebook-posts/us-not-orchestrating-takeover-ukraine/,meter-false,"April 16, 2022",russia
97,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",TikTok posts,https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/google-maps-did-not-change-blurring-settings-revea/,meter-false,"April 18, 2022",russia
98,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,TikTok posts,https://www.politifact.com/factchecks/2022/apr/20/tweets/no-isnt-picture-ukrainian-students-celebrating-hit/,tom_ruling_pof,"April 20, 2022",russia
99,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",TikTok posts,https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/no-putin-didnt-free-35000-children-ukraine/,tom_ruling_pof,"April 16, 2022",russia
100,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",Raphael Warnock,https://www.politifact.com/factchecks/2022/apr/20/raphael-warnock/fact-checking-warnocks-statement-drop-oil-prices-d/,meter-mostly-true,"April 05, 2022",russia
101,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",Raphael Warnock,https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/putin-did-not-nationalize-russian-central-bank-and/,meter-false,"March 14, 2018",russia
102,"Joe Biden's spending “has sent prices skyrocketing.""",Raphael Warnock,https://www.politifact.com/factchecks/2022/apr/20/jane-timken/bidens-american-rescue-plan-fueled-inflation-so-di/,meter-half-true,"April 13, 2022",russia
103,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,Raphael Warnock,https://www.politifact.com/factchecks/2022/apr/19/instagram-posts/cnn-did-not-tweet-about-children-ukraine-signing-f/,tom_ruling_pof,"April 15, 2022",russia
104,March 2022 moon crash was orchestrated by the government and visible from Earth.,Raphael Warnock,https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-rocket-crash-was-intentional-and-it-wa/,meter-false,"April 11, 2022",russia
105,Ukraine was responsible for the Kramatorsk train station bombing.,Facebook posts,https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/,meter-false,"April 13, 2022",russia
106,Fuel containing 15% ethanol will ruin a car engine.,Facebook posts,https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/e15-fuel-does-not-pose-danger-vast-majority-vehicl/,meter-mostly-false,"April 12, 2022",russia
107,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,Facebook posts,https://www.politifact.com/factchecks/2022/apr/18/viral-image/no-bidens-comments-dont-prove-governments-are-orch/,meter-false,"March 26, 2022",russia
108,Sen. Marsha Blackburn made a white power symbol at Ketanji Brown Jackson.,Facebook posts,https://www.politifact.com/factchecks/2022/apr/13/tweets/no-sen-marsha-blackburn-didnt-make-white-power-sym/,meter-false,"April 07, 2022",russia
109,Ukraine is the “money laundering and child sex trafficking capital of the world!”,Facebook posts,https://www.politifact.com/factchecks/2022/apr/12/viral-image/no-ukraine-isnt-money-laundering-or-child-sex-traf/,meter-false,"April 07, 2022",russia
110,Poland palace that Biden visited is fake.,Facebook posts,https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-bidens-trip-poland-wasnt-staged/,meter-false,"April 06, 2022",russia
111,“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,Facebook posts,https://www.politifact.com/factchecks/2022/apr/11/evan-mcmullin/attack-ad-sen-mike-lee-advising-trump-2020-electio/,meter-half-true,"April 01, 2022",russia
112,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,Facebook posts,https://www.politifact.com/factchecks/2022/apr/07/instagram-posts/iconic-photo-ukraine-war-not-russia-gas-explosion/,meter-false,"February 27, 2022",russia
113,"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",Facebook posts,https://www.politifact.com/factchecks/2022/apr/07/tweets/no-tucker-carlson-didnt-say-about-ukraine-staging-/,meter-false,"April 04, 2022",russia
114,The FBI lost Hunter Biden’s laptop.,Facebook posts,https://www.politifact.com/factchecks/2022/apr/06/donald-trump-jr/fbi-lost-hunter-bidens-laptop-theres-no-evidence/,meter-false,"April 04, 2022",russia
115,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",Facebook posts,https://www.politifact.com/factchecks/2022/apr/05/facebook-posts/no-obama-didnt-tweet-trump-might-have-russian-birt/,meter-false,"April 02, 2022",russia
116,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”,Facebook posts,https://www.politifact.com/factchecks/2022/apr/05/tweets/no-nato-allied-land-command-leader-wasnt-captured-/,meter-false,"April 04, 2022",russia
117,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",Facebook posts,https://www.politifact.com/factchecks/2022/apr/04/russian-ministry-defense/russia-pushes-false-crisis-actor-claims-about-vide/,meter-false,"April 03, 2022",russia
118,"Says Mike Gibbons said ""military service doesn't count as real work.""",Facebook posts,https://www.politifact.com/factchecks/2022/apr/01/josh-mandel/ohio-us-senate-race-mandel-falsely-claimed-gibbons/,meter-false,"March 26, 2022",russia
119,"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",Facebook posts,https://www.politifact.com/factchecks/2022/apr/01/wisconsin-manufacturers-and-commerce/ad-claiming-evers-tried-make-us-pay-even-more-pump/,meter-half-true,"March 07, 2022",russia
