,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
55,"“If Putin was a woman … I really don’t think he would’ve embarked on a crazy, macho war of invasion,” the British prime minister told German broadcaster ZDF.",meter-true,2022,June,29
56,"Biden, in Germany for the G-7 summit, said gold is “a major export that rakes in tens of billions of dollars for Russia.”",meter-true,2022,June,26
57,"Lithuania is enforcing sanctions on goods shipped to Kaliningrad, which is surrounded by NATO members and physically separated from the rest of Russia. ",meter-true,2022,June,21
58,U.S. aid to Ukraine is good — but not good enough. ,meter-true,2022,June,20
59,"As of today, more than 100 million people have been forced to flee their homes — more than 1 percent of humanity.",meter-true,2022,June,17
60,The war transformed Ukraine from a breadbasket into a free-fire zone — with tragic global consequences. ,meter-true,2022,June,17
61,"A poll of Europeans from 10 countries suggests public attention may turn to fears about the war's wider impact, including the rising cost of living.",meter-true,2022,June,15
62,"The countries said the deal to settle their 50-year dispute over Hans Island, an uninhabited outcropping in the Arctic, shows how conflicting claims can be resolved peacefully.",meter-true,2022,June,15
63,"While the Ukraine war and the pandemic might fade with time, experts say, climate change has become a persistent threat to food security, making it more difficult to respond to unforeseen shocks.",meter-true,2022,June,13
64,"Short of staff, supplies and water, and facing impending Russian attack, these doctors refuse to flee.",meter-true,2022,June,11
65,"The Russian czar's embrace of Europe, however, is in stark contrast with President Vladimir Putin's isolation from the West. ",meter-true,2022,June,10
66,The dilemma is that non-Russian troops are dying to suppress a Ukraine that Putin claims is part of Mother Russia. ,meter-true,2022,June,10
67,"Estonia, Latvia and Slovakia join a multinational effort to investigate war crimes during Russia’s invasion of Ukraine.",meter-true,2022,June,1
68,Americans and other foreign fighters who’ve taken up arms against Russia describe glaring disparities between what they expected and what they’ve experienced. ,meter-true,2022,May,29
69,"For Davos regulars, more accustomed to talking about global interconnectedness than geopolitical ruptures, it’s a strange new world. ",meter-true,2022,May,25
70,Those who provide history and context around the conflict should not be silenced or smeared.,meter-true,2022,May,24
71,Sweden and Finland’s accession into NATO was supposed to be straightforward. But then Turkey entered the stage.,meter-true,2022,May,20
72,This week's Free for All letters.,meter-true,2022,May,13
73,The Biden administration aims to show that its heavy involvement in the Ukraine war is not a distraction from its priorities to the East. ,meter-true,2022,May,13
74,"U.N. human rights commissioner Michelle Bachelet called the scale of civilian killings areas around the Ukrainian capital formerly occupied by Russian troops ""shocking.""",meter-true,2022,May,12
75,"The pandemic didn't go away, but global attention may be elsewhere.",meter-true,2022,May,12
76," The vast majority of Ukrainian refugees are women and children, the two groups most vulnerable to falling victim to labor and sexual abuse",meter-true,2022,May,11
77,Experts anticipated a Moscow-led cyber assault; instead unprecedented attacks by hacktivists and criminals have wreaked havoc in Russia ,meter-true,2022,May,1
78,"""When I see those destroyed buildings, I must say what I feel. I imagined my family in one of those houses that is now destroyed and black,” said the secretary general in Borodyanka, Ukraine.",meter-true,2022,April,28
79,"Muslims join the war effort as fighters or volunteers: ""We’re the minority here, but we’re a part of this country. We must do something.""",meter-true,2022,April,28
80,"The country is often seen as a quirk of geography and history, though it also became more worryingly known as a murky hub for organized crime and people smuggling.",meter-true,2022,April,28
81,"Military expenditures increased worldwide in 2021, according to the Stockholm International Peace Institute, surpassing $2 trillion for the first time. ",meter-true,2022,April,25
82,Greenpeace protesters want the Norwegian government to impose an embargo on Russian oil imports in response to the war in Ukraine.,meter-true,2022,April,25
83,"New York is home to the largest number of Ukrainian and Russian immigrants in the United States. ""Since the war began, we live in two time zones.""",meter-true,2022,April,25
84,"An adviser to Ukraine's president accused Russia of a surge in airstrikes on Mariupol's Azovstal Iron and Steel Works and alleged that invasion forces are preparing to storm the site, where remaining defenders and many civilians are holed up.",meter-true,2022,April,23
85,"A Mariupol resident has created a website to track the missing and dead, providing a window into the grim toll of Russia's war in Ukraine.",meter-true,2022,April,22
86,U.N. Development Program warns of massive shocks from the conflict,meter-true,2022,April,21
87,U.S. commanders think the next two to four weeks could be decisive.,meter-true,2022,April,20
88,"With no sign of an early end to the war in Ukraine, the risk is growing that the conflict will tip a fragile global economy into recession.",meter-true,2022,April,12
89,Marina Ovsyannikova has joined Germany's Die Welt a month after she interrupted a live Russian state TV broadcast to protest the war in Ukraine.,meter-true,2022,April,12
90,Here’s what our survey of Middle East scholars found.,meter-true,2022,April,11
91,"Ukraine's president has called for global protests in solidarity with his country, and demonstrators have taken to the streets in many nations to protest the Russian invasion.",meter-true,2022,April,9
92,"The 41-year-old mother's mental health had deteriorated after her native Russia invaded Ukraine, her husband told police.",meter-true,2022,April,8
93,"The open-ended war in Ukraine has thrown the Pentagon’s long-term planning into question, with senior U.S. defense officials expected to revamp how they deploy military forces in Eastern Europe and the Baltics amid deepening anxiety over Russia’s broader ambitions.",meter-true,2022,April,6
94,"The war in Ukraine looms large, but it hasn’t fundamentally shifted the election’s key currents.",meter-true,2022,April,5
95,"Russian troops left a Danish island after World War II, offering a blueprint for getting them out of Ukraine.",meter-true,2022,April,4
96,"Sieges, bombardments of civilian areas, disinformation: These are the tactics Russia is recycling in Ukraine from its intervention in Syria.",meter-true,2022,March,31
97,"The E.U. is expected to pressure China over its support for Russia, while Beijing is said to be dismayed with the bloc's backing of the U.S. position on the war in Ukraine.",meter-true,2022,March,31
98,"Thousands of IT professionals are fleeing the country, creating a brain drain that may never be reversed.",meter-true,2022,March,29
99,The Russian president has given no signs of wavering despite mounting military losses.,meter-true,2022,March,27
100,"NATO estimates that up to 40,000 Russian troops have been killed, wounded or taken prisoner so far in Ukraine, a senior alliance official said.",meter-true,2022,March,24
101,"“A month ago, I was busy wearing a suit and tie,” says a Ukrainian lawyer turned soldier. “Now I command 140 people.”",meter-true,2022,March,24
102,"Though the U.S. has warned China against aiding Russia in its war, Xi Jinping has made a long-term bet on military cooperation with Russia.",meter-true,2022,March,21
103,"For Gen Xers who grew up with songs like Frankie Goes to Hollywood’s “Two Tribes” and movies like “The Day After,” 1980s Cold War pop culture is feeling uncomfortably timely again.",meter-true,2022,March,20
104,Conservative lawmakers are now fast-tracking legislation that would allow large-scale mining in the pristine territory.,meter-true,2022,March,19
105,"India, the world’s biggest oil importer behind China and the United States, has agreed to purchase 3 million barrels of Russian oil at a heavy discount, an Indian official said.",meter-true,2022,March,17
106,This collection of audio stories covers topics such as America's broken health-care system and parenting.,meter-true,2022,March,17
107,The food price surge will also complicate global efforts to fend off hunger in conflict-ridden and fragile states.,meter-true,2022,March,11
108,"As the war heats up, dozens of distant countries are set to feel the burn.",meter-true,2022,March,8
109,They've got some explaining to do.,meter-true,2022,March,4
110,"Recent anti-Russian sentiment in the U.S. shows the frustration many Americans feel toward the war in Ukraine, as well as a lack of understanding about the conflict, one expert said.",meter-true,2022,March,4
111,Here’s what you need to know about SWIFT and the debate about whether to pressure the network to exclude Russian financial institutions.,meter-true,2022,February,26
112,,meter-true,2022,February,20
113,The sharp uptick in firing from the separatists’ side over the past three days has shaken even the war-weary.,meter-true,2022,February,20
114,It was the first effort in three years to wind back Europe’s most significant military conflict.,meter-true,2019,December,9
115,"Hackers leaked the names, telephone numbers, e-mail addresses, affiliations, and travel dates of journalists,  human rights activists onto vigilante websites that have been used to unmask opposing fighters in southeast Ukraine's two year-old war.",meter-true,2016,May,27
116,hursday’s commemoration was an eerie throwback to the Soviet era.,meter-true,2023,2023,2023
117,"In early 1917, protests dislodged a brutal and corrupt system, but it ended badly",meter-true,2014,April,5
118,"Before the Ukraine war, Volodymyr Zelenskyy travelled to western European capitals as a junior partner from one of many poorer eastern countries",meter-true,2023,February,11
119,Ukraine’s wartime leader Volodymyr Zelenskyy has now been bestowed with France’s highest medal of honor,meter-true,2023,February,10
120,Chevron and ExxonMobil posted record profits as the Ukraine war and sanctions on Russia left the global energy supply out of balance.,meter-true,2023,January,31
121,The Bulletin of the Atomic Scientists set the symbolic Doomsday Clock for the first time since the Ukraine war revived fears of nuclear disaster.,meter-true,2023,January,23
122,"Andrey Medvedev left the mercenary Wagner Group after witnessing its killing of the group's deserters during the Ukraine war, according to a Russian human rights group.",meter-true,2023,January,17
123,"Russian President Vladimir Putin spoke with Chinese President Xi Jinping, seeking to strengthen ties as the Ukraine war deepens his international isolation.",meter-true,2022,December,30
124,"Sébastien Lecornu's visit, which includes a working meeting to discuss future French support for Ukraine's war effort, marks his first trip since the invasion began.",meter-true,2022,December,28
125,"The country's defense industry, long driven by persistent threats from the North, sees new opportunities to sell globally because of the Ukraine war. ",meter-true,2022,December,23
126,"The Russia-Ukraine war, the Musk-Twitter saga and Roe v. Wade dominated debates.",meter-true,2022,December,22
127,We must act now to shape the post-Ukraine war world.,meter-true,2022,December,20
128,"What's it like to be a 21st-century czar? There are turkeys, fertilizer and a lot of bluster about the Ukraine war.",meter-true,2022,December,5
129,Poland is a member of NATO. A strike on the country could thus mark a pivotal moment in the Russia-Ukraine war — depending on what actually happened.,meter-true,2022,November,16
130,"The U.K.-based Collins's Dictionary names ""permacrisis,” an extended period of instability, as its word of the year amid the Ukraine war and rising inflation.",meter-true,2022,November,1
131,"Diplomacy can’t stop the Ukraine war, alas. But it can avert a nuclear catastrophe.",meter-true,2022,October,28
132,In today's edition …  Why Democrats are increasingly nervous about California … The Fetterman-Oz debate … Beth Reinhard and Colby Itkowitz dig into Fetterman's time as mayor … In the States: Tobi looks at ballot initiatives on voting … What we're watching: Fall out from the CPC's Ukraine war letter.,meter-true,2022,October,26
133,"Javaid comes to General Assignment from the New York Times, where she spent part of 2022 covering the Ukraine war and other news for the Live Desk.",meter-true,2022,October,18
134,The Marshall Plan gave economic aid to Europe and forged an alliance against the USSR 75 years ago. The Russia-Ukraine war is testing its legacy.,meter-true,2022,October,8
135,A Russian gamble should not force the United States to directly engage in the Ukraine war. ,meter-true,2022,October,7
136,The European Union is shoring up its resources as temperatures drop and energy supplies remain tight because of the Ukraine war.,meter-true,2022,October,5
137,Russia’s failure to broker peace between Armenia and Azerbaijan underscores how the Ukraine war has hindered Moscow’s power along its borders. ,meter-true,2022,September,30
138,The survey data suggests that young married men may start opposing the Ukraine war,meter-true,2022,September,21
139,"The Ukraine war is not over by any means, but the counteroffensive in Kharkiv has exposed anew President Vladimir Putin’s catastrophic miscalculations.",meter-true,2022,September,13
140,"The car explosion that killed Daria Dugina, the daughter of Vladimir Putin ally Alexander Dugin, is becoming a flash point in the Russia-Ukraine war. ",meter-true,2022,August,21
141,"Consumers around the world are experiencing shortages of their favorite foods due to the Ukraine war, cost of living crisis, inflation and coronavirus pandemic. ",meter-true,2022,August,18
142,"Five months into the Ukraine war, new research backs up Ukrainian officials' concerns that Russian propaganda continues to spread via social media.",meter-true,2022,August,10
143,The unwillingness to punish President Vladimir Putin for a killing in Berlin ordered by Moscow added to the Kremlin’s sense of impunity before the Ukraine war.,meter-true,2022,August,5
144,"BP’s blockbuster second-quarter 2022 results were driven by higher fuel prices, the Ukraine war and a surge in global demand.",meter-true,2022,August,2
145,"The new president, Ranil Wickremesinghe, must now confront upheaval unleashed by the pandemic and Ukraine war.",meter-true,2022,July,23
146,Russian President Vladimir Putin has been portrayed as more eccentric and irrational in the lead-up to the Ukraine war and in the following months.,meter-true,2022,July,21
147,The Ukraine war shows the importance of expanding the alliance.,meter-true,2022,June,20
148,Concerns are growing that inflation will erode support for the Ukraine war among Western allies and entrench Russian gains.,meter-true,2022,June,16
149,"Speaking at the World Economic Forum in Davos, Switzerland, Kissinger urged the West to not seek an embarrassing defeat for Russia in Ukraine, warning it could worsen Europe’s long-term stability.",meter-true,2022,May,24
150,Users of smart televisions and some digital platforms in Russia reported seeing an anti-Ukraine-war message on their screens.,meter-true,2022,May,9
151,The CIA published instructions for how Russians disaffected by the Ukraine war can covertly volunteer information using an encrypted conduit to the agency’s website. ,meter-true,2022,May,3
152,Western resolve is hardening in the Ukraine war. ,meter-true,2022,April,27
153,"The Russian military isn’t ""woke."" The Ukraine war is showing why that’s a weakness, not a strength.

",meter-true,2022,April,11
154,Mixed signals from Zelensky leave West confused about possible settlement to end Russia-Ukraine war,meter-true,2022,March,19
155,The Ukraine war’s creepiest byproduct is its demonstration of the utility of nuclear weapons. Russia’s invasion shows that a nuclear power can engage in vicious regional aggression without paying the most severe price.,meter-true,2022,March,18
156,"In his response, Biden’s tone was that of a leader who understands that Ukraine’s war is necessary, just — and likely to go on.",meter-true,2022,March,17
157,"A meeting of defense ministers called to discuss responses to the Ukraine war focused on ways to permanently shore up NATO’s defenses against Russia on air, sea and land.",meter-true,2022,March,16
158,"Russia sought to declare Facebook an extremist organization and YouTube blocked Russian state media channels worldwide on Friday, an escalation of the tit-for-tat between Silicon Valley companies and Russia as the Ukraine war enters its third week.",meter-true,2022,March,11
159,The battle over casualties in the Ukraine war is just beginning.,meter-true,2022,March,11
160,Harris is visiting Poland and Romania amid Ukraine war to reassure allies worried they might be next in Russia’s crosshairs. Warsaw's eagerness to provide planes to fight in Ukraine -- an idea the U.S. opposes -- has suddenly made the diplomatic mission more sensitive.,meter-true,2022,March,10
161,Joint Chiefs of Staff Chairman Gen. Mark A. Milley is walking a tightrope: Support Ukraine’s war against Russia — but contain that war within Ukraine’s borders.,meter-true,2022,March,5
162,Journalists analyze some Ukraine war videos pixel-by-pixel to make sure they aren't bogus.,meter-true,2022,March,3
163,Federal Reserve Chair Jerome H. Powell told lawmakers Wednesday that “we will proceed carefully as we learn more about the implications of the Ukraine war for the economy.”,meter-true,2022,March,2
164,"Our expectation of interactivity has us ""participating"" in Ukraine's war.",meter-true,2022,March,2
165,"The session began with the Jan. 6 attack, and ended with the surprise appearance of Ukraine’s wartime president. Plenty happened along the way. ",meter-true,2022,December,29
166,The group represents a key weapon in Ukraine’s wartime arsenal: The will of everyday people to risk their lives to defend their nation.,meter-true,2022,August,21
167,"The Biennale announced that it will include work from Ukraine’s Wartime Art Archive in the “Piazza Ucraina,”",meter-true,2022,April,17
168,"The Senate Judiciary Committee chairman said a “process” is in place to verify such data from Ukraine, warning “it could be Russian propaganda.”",meter-true,2020,February,9
169,Neutral Austria has come under heavy criticism for granting visas that will allow sanctioned Russian lawmakers to attend a Vienna meeting of the Organization for Security and Cooperation in Europe,meter-true,2023,February,12
170,The risk of nuclear escalation in Ukraine means our support cannot be unlimited.,meter-true,2023,February,10
171,"If approved, the move would authorize U.S. Special Operations troops to employ Ukrainian operatives to observe Russian movements and counter disinformation.",meter-true,2023,February,10
172,A retired army general has defeated a populist billionaire in a runoff vote to choose the new president of the Czech Republic,meter-true,2023,January,28
173,Allied defense officials will meet in Brussels this week. NATO chief Jens Stoltenberg said Russia's spring offensive is underway.,meter-true,2023,February,13
174,Ukraine’s ambassador to Britain made the comments after Polish President Andrzej Duda cast doubt on sending Kyiv F-16 warplanes.,meter-true,2023,February,13
175,"Peace talks with Russia remain “out of the question,” a senior Ukrainian official said, after almost a year of conflict.",meter-true,2023,February,12
176,"Ukrainian President Volodymyr Zelensky is set to address the European Parliament after visits to London and Paris, where he requested warplanes and weapons.",meter-true,2023,February,9
177,"“I will leave Parliament thanking all of you in advance for powerful English planes,” Zelensky said toward the end of his speech, to laughter and applause.",meter-true,2023,February,8
178,U.S. officials said providing the weapons to Poland would meet U.S. foreign policy goals by “improving the security of a NATO Ally.”,meter-true,2023,February,7
179,"Defense Minister Oleksii Reznikov said that “only aircraft” are left on his wish list, and that it’s just a matter of time until Ukraine gets them from the West.",meter-true,2023,February,5
180,"Ground-launched, small diameter bombs from the United States are expected to double the reach of Ukraine’s current munitions.",meter-true,2023,February,4
181,"Ukraine’s prosecutor general is pressing criminal charges against the head of the Wagner Group, Yevgeniy Prigozhin. ",meter-true,2023,February,3
182,"""The EU stands by Ukraine as firmly as ever,” European Commission President Ursula von der Leyen tweeted after she arrived in Kyiv.",meter-true,2023,February,2
183,"Several Western allies including the United States say they won’t send fighter jets, but some Pentagon officials say they think President Biden may eventually acquiesce.",meter-true,2023,February,1
184,The Pentagon announced the first shipment of Bradley Fighting Vehicles to Ukraine. France did not rule out sending fighter jets. ,meter-true,2023,January,31
185,Former British prime minister Boris Johnson claimed the Russian president threatened him with a missile strike in the run-up to Russia’s invasion of Ukraine.,meter-true,2023,January,30
186,"After a Russian retreat, the Dnieper River is the new front line, and destroyed towns on a road running along the water through three Ukrainian regions are still under fire. ",meter-true,2023,January,30
187,"Ukrainian President Volodymyr Zelensky renewed his plea for the West to supply Ukraine with more potent weapons, including the Army Tactical Missile System, or ATACMS. ",meter-true,2023,January,29
188,The latest Russian missile and drone attacks knocked out electricity in cities around the country. ,meter-true,2023,January,27
189,"Ukrainian officials welcomed the news that the United States, Germany and other allies will send M1 Abrams and Leopard 2 tanks, and they called for fighter aircraft.",meter-true,2023,January,26
190,"The men wanted to avoid being drafted into the Russian army so they made their way to South Korea, hoping to claim political asylum. It's not going well.",meter-true,2023,January,25
191,"Germany will send Leopard 2 tanks to Ukraine, said Chancellor Olaf Scholz. Ukraine's military says it has withdrawn from the eastern town of Soledar.",meter-true,2023,January,25
192,The Russian president will never recover from his disastrous war in Ukraine.,meter-true,2023,January,25
193,"Zelensky removes regional governors and officials. Germany is under pressure from NATO allies, including Poland, to sign off on sending Leopard 2 tanks to Kyiv.",meter-true,2023,January,24
194,"The International Criminal Court lacks jurisdiction to seek accountability for the authors of the war: Putin and his top ministers, generals and financiers.",meter-true,2023,January,23
195,Poland will ask Germany for permission to send Leopard 2 tanks to Ukraine. ,meter-true,2023,January,23
196,Germany has declined to send Leopard 2 tanks to Ukraine or allow other nations to transfer the tanks in their inventories.,meter-true,2023,January,22
197,Ukrainian presidential adviser Mykhailo Podolyak on Saturday urged countries to “think faster” to stave off more deaths of his countrymen,meter-true,2023,January,21
198,"Foreign military ships can legally enter the U.S. exclusive economic zone. But the Pentagon said it is “precarious timing"" for a Russian vessel to be there.",meter-true,2023,January,20
199,"Ukraine’s allies have been stuck in a rift over who will supply Kyiv with battle tanks, with Germany under pressure to send tanks to Ukraine. ",meter-true,2023,January,20
200,"Russia’s civilian nuclear power conglomerate has been quietly supplying the Russian arms industry, aiding the onslaught on Ukraine, documents show. 

",meter-true,2023,January,20
201,"Washington is readying a military aid package that includes dozens of Bradley and Stryker armored vehicles, two people familiar with the plan told The Post.",meter-true,2023,January,19
202,"The cause of the crash near a kindergarten in Brovary, near Kyiv, is not clear. Interior Minister Denis Monastyrsky, other officials and multiple children died.",meter-true,2023,January,18
203,An influx of Western arms is designed to exploit the command failures of the Russian army.,meter-true,2023,January,18
204,"Western officials have rightly begun thinking about how to win the war, not just how not to lose it.",meter-true,2023,January,18
205,"Oleksiy Arestovych, an adviser to President Zelensky, resigned after suggesting Ukraine’s air defenses may have been responsible for the deadly damage in Dnipro.",meter-true,2023,January,17
206,"The U.K. will send self-propelled guns artillery rounds, armored vehicles and other equipment to make sure Ukraine “seizes its upper hand” against Russia",meter-true,2023,January,16
207,Ukraine’s armed forces said such an attack could have been prevented with more advanced air defense systems.,meter-true,2023,January,15
208,"People were trapped under rubble after a Russian attack on a Dnipro residential building, Ukrainian authorities said Saturday",meter-true,2023,January,14
209,"Kyiv said earlier that Ukrainian forces are still fighting for Soledar. Russia released American citizen Taylor Dudley, 35, who was detained for nine months.",meter-true,2023,January,13
210,"Taylor Dudley, 35, A U.S. citizen who had been detained in Russia for nine months, was released on Thursday.",meter-true,2023,January,12
211,"Fierce fighting is taking place in the salt mining town of Soledar in eastern Ukraine, just three miles from the strategic city Bakhmut. ",meter-true,2023,January,11
212,"Fighting around the eastern towns of Bakhmut and Soledar, where Russia just launched a major assault, has been “really savage,” a U.S. defense official said. ",meter-true,2023,January,10
213,"Most of the fiercely contested city of Bakhmut, in eastern Ukraine, has been ravaged, but fighters are still repelling Russian offensives, the president said.",meter-true,2023,January,9
214,A decisive year looms for Russia's war in Ukraine as Moscow's forces dig in for a long fight. ,meter-true,2023,January,9
215,Fighting continued amid Moscow's unilaterally declared 36-hour cease-fire. Russian proxy officials accused Ukraine of shelling two power plants in Donetsk.,meter-true,2023,January,8
216,Moscow and Kyiv blamed each other for fighting while Putin spent Christmas alone at the Kremlin and Zelensky congratulated House Speaker Kevin McCarthy,meter-true,2023,January,7
217,Volodymyr Zelensky called Vladimir Putin's cease-fire proposal a cover for Moscow to move men and equipment. Each side accused the other of continued shelling.,meter-true,2023,January,6
218,"Putin said he was acting on an appeal from the head of the Russian Orthodox Church, Patriarch Kirill, and called on Ukraine to join the temporary truce.",meter-true,2023,January,5
219,"Turkish President Recep Tayyip Erdogan is to hold separate calls with his Russian and Ukrainian counterparts Wednesday, his spokesman told Turkish media.",meter-true,2023,January,4
220,Intimacy has been another casualty of Russia's war inside Ukraine.,meter-true,2023,January,4
221,Russian outrage is growing after officials said a Ukrainian strike in Donetsk killed 63 service members. Zelensky says Moscow is seeking to exhaust Ukraine.,meter-true,2023,January,3
