,claim
55,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”
56,Russian President Vladimir Putin “was assassinated.”
57,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”"
58,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”
59,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board."""
60,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.
61,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”"
62,A video shows current “leaked footage of heavy war between Russia vs Ukraine”
64,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”"
65,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.
66,This video shows “Russian war in Ukraine.”
68,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”"
69,Video shows Russian President Vladimir Putin meeting with South Korea’s president.
70,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter."""
71,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.
72,The war in Ukraine is “scripted and staged.”
74,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.
75,"""The Russian army does not occupy Ukrainian territory."""
76,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.
77,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.
78,A photo of a wounded young child was captured in Ukraine in 2022.
79,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago."""
80,Video shows footage from Russia invading Ukraine.
81,TikTok video shows Russian soldiers parachuting into Ukraine.
82,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”
83,"This ""footage"" shows Russia attacking Ukraine."
84,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”"
85,“Russia has never attacked anyone throughout its history.”
86,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights."""
87,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”"
88,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.
89,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”"
90,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia."""
91,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton."""
92,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine."
94,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go."""
95,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money."""
96,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination."""
98,"""The reason Russia was in Afghanistan was because terrorists were going into Russia."""
99,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria."
100,"""The Russian state has never interfered ... into internal American affairs including election process."""
101,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway."""
102,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State"""
111,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia."""
115,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia."
120,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff."""
124,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected."""
125,"""We're going to have more troops (in Afghanistan) . . . than the Russians had."""
126,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”"
128,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!"""
129,"""I never said Russia did not meddle in the election."""
130,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God."""
131,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it."""
132,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?"""
133,"Says the Obama administration invited ""Russia into Syria."""
135,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”"
136,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine."
137,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”
138,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”"
139,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”"
140,“We have doubled our (oil) imports from Russia in the last year.”
141,A photo showing young children saluting troops was captured in Ukraine in 2022.
142,Actor Steven Seagal spotted among Russian special forces in Ukraine
143,A 2022 video shows “Ukrainian and Russian soldiers face to face.”
144,A photo shows a Russian warplane under attack.
145,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”"
146,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”
147,"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine."""
148,"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life"""
149,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia."
150,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians."
152,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money."""
153,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews."""
154,Ukraine adopted “laws banning the Russian language.”
155,"""Ukraine blatantly interfered in our election."""
156,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton."""
158,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians."""
159,“Biden threatens to assassinate Ukraine president.”
160,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine"""
161,Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.”
162,U.S. has biological weapons labs in Ukraine.
163,"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world."""
164,Russia is targeting U.S. biological weapons labs in Ukraine invasion.
165,"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone."""
167,"President Donald ""Trump’s latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia."""
168,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal."""
170,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia."""
171,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia."""
172,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past."""
173,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them."""
174,Photo shows fighting in Ukraine.
175,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”"
177,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.
178,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”
179,Ukraine is the “money laundering and child sex trafficking capital of the world!”
180,"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”"
181,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."""
182,"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank."""
183,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador."""
184,"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”"
185,"""104 House Democrats voted for impeachment before the Ukraine call took place."""
187,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever."""
188,"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia."
189,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia"""
192,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation."""
193,"The United States has ""more of our people in prison than Russia, China, and North Korea combined."""
198,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”
199,“The Simpsons predicted Pizzagate.”
200,A video shows migrants faking tears for news cameras.
201,The Federal Reserve “has suspended the availability of new currency.”
202,“The CEO of FTX is the daughter of the chairman of the SEC.”
203,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week."""
204,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”
205,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”
206,The price of gas is “down from over $5 when I took office.”
207,Today’s high food prices were planned during a 2015 food shortage simulation.
208,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.
209,"There are “100,000 kids in cages” under the Getty art museum."
211,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”"
212,"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”."
213,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”"
214,"The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”"
215,“Norway readies its military to counter Biden.”
216,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure."""
218,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”
219,Vladimir Putin “is fleeing the war!”
220,“Pelosi’s panel ready to arrest Trump.”
221,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.
222,"""Democrats' radical green energy policies caused record gas prices. """
223,"“The pope, Xi and Putin all meet to plan world events!”"
224,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”
225,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.
226,Joe Biden threatened to assassinate Ukraine’s former president.
227,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”
228,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.
229,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”
230,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”
231,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”"
232,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”
234,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”
235,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”
236,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested."
237,“Belarus declares war on Poland.”
238,“Biden impeachment in progress.”
239,“Moscow was engulfed in flames” after a giant explosion.
240,Ukrainian “attack destroys skyscraper in Moscow.”
241,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.
242,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”
244,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas."""
245,Three mass shootings were meant to distract from Hillary Clinton controversies.
246,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”
247,“Bennie Thompson actively cheer-led riots in the ’90s.”
248,The official pride flag was altered to include Ukrainian colors.
249,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.
250,Biden gave Americans “the cheapest gas prices on Earth.”
252,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022."
253,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof."""
254,A photo of Ukrainians with paintball guns proves the war is staged.
255,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”
256,Donations of baby formula to Ukraine helped cause the current U.S. shortage.
257,"“When unemployment goes down, inflation goes up.”"
258,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”
259,“Finland joins NATO.”
260,The NewProfilePic app is Russian spyware.
263,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities."""
264,NBC News “covered up Hunter Biden laptop story.”
265,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.
266,"Blinken, Austin trip to Kyiv may have been staged"
267,Fires at food processing plants are an “attempt to starve us.”
268,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.
269,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.
271,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank."""
273,March 2022 moon crash was orchestrated by the government and visible from Earth.
274,Fuel containing 15% ethanol will ruin a car engine.
275,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”
276,Poland palace that Biden visited is fake.
278,"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”"
279,"""Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says."""
280,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”
281,"Says Mike Gibbons said ""military service doesn't count as real work."""
283,The Strategic Petroleum Reserve has “been mostly empty” for decades.
284,A video shows crowds shouting profanity at Joe Biden.
285,"“You go to a store, they don’t have bread.”"
287,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”"
288,Putin beheaded bioweapon engineers in Ukraine.
289,Gas prices are high “due to the Democrats’ war on fossil fuels.”
290,A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.
291,A photo of President Joe Biden leaving for Europe that the White House tweeted wasn’t actually taken on March 23.
292,Ukrainian President Volodymyr Zelenskyy wore a Nazi cross symbol.
293,"""Documents were published confirming Moderna created the COVID-19 Virus.”"
295,News networks covered Brett Kavanaugh’s confirmation hearing live but not Ketanji Brown Jackson’s hearing.
296,"“In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.”"
297,Photos show “Ukrainian farmers are slowly starting to build their own army.”
298,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies."""
299,Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”
300,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”
302,"A video shows “massive explosion as Ukraine destroyed 280 Russian tanks to pieces using U.S. Javelin missiles."""
303,"“While Ukrainians bled and died, Congressman Budd excused their killer.”"
304,Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”
305,“Vice President Kamala Harris laughs at the plight of Ukraine; at idea of America offering assistance”
306,"Vice President Kamala Harris ""was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president."""
307,"The U.S. military has reinstated a draft, and women are included."
308,Says Leonardo DiCaprio gave Ukraine $10 million.
309,"Joe Biden's cancellation of the Keystone pipeline ""dramatically increased Americans' dependence on Russian oil."""
310,"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position."""
311,Video shows Volodymr Zelenskyy singing “Endless Love” with his wife.
312,A Time magazine cover shows Vladimir Putin with Hitler’s mustache.
313,"""Gas is high because they shut down production in the U.S.” under the Biden administration."
314,An image shows “Ukrainian soldiers praying.”
315,“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”
316,Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.
317,Ukraine issued a press release about Joe Biden
318,Video shows Ukrainian crisis actors come to life after pretending to be dead.
319,Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”
320,Says Vladimir Putin said the West is controlled by Satanic pedophiles.
321,“I’ve been in and out of Iraq and Afghanistan over 40 times.”
322,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”
323,Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.
324,"""Ukrainian fighter-ace known as the 'Ghost of Kyiv's real name is Samuyil Hyde.”"
325,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”
327,"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”"
328,“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”
329,The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”
331,"“There may be a new pandemic on the way after the release of a 50,000-year-old zombie virus.”"
332,Climate change is “dictated by solar activity and the moon” and has “nothing to do with mankind.”
333,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.
334,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”
335,Antony Blinken “confesses that Biden” is responsible for the Nord Stream pipeline leaks.
337,President Joe Biden admitted having an inappropriate relationship with a minor.
338,“President Xi of China under house arrest” amid “coup by the PLA.”
339,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin"
340,Brittney Griner is really a man.
341,“Virginia now has the most liberal abortion laws in the world.”
342,“U.S. military arrests Michael Sussmann.”
343,"The sale of more than 600,000 Wisconsin deer licenses shows that Wisconsin’s hunters are the “eighth largest army in the world.”"
344,Sen. Marsha Blackburn made a white power symbol at Ketanji Brown Jackson.
345,The FBI lost Hunter Biden’s laptop.
347,"""Hillary Clinton spied on President Trump."""
348,Video shows a Ukrainian fighter pilot shooting down a Russian plane.
349,Photo shows Empire State Building lit up to support Ukraine.
351,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”"
352,“President Trump sanctioned Russia. President Biden gave them a pipeline.”
353,"Video shows troops at the Ukraine-Russia border on Jan. 27, 2022."
354,Four players have dropped out of the Australian Open with “chest pains.”
355,“People are 7% poorer now because of Biden inflation.”
356,"Rep. Kathy Castor, D-Fla., is a communist"
357,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”"
358,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices."
359,Photo shows people recently protesting in Austria.
360,Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab.
362,“Farmers stand in silence at auction so a young man can buy back his family farmhouse.”
363,“President Putin bans mandatory vaccinations in Russia.”
364,"""Norfolk naval base has been taken by NATO."""
367,Says CNN and other news organizations tweeted that a journalist was executed in Kabul by Taliban fighters.
368,"The number of children in seven countries “missing so far this year” range from 20,000 to 460,000."
369,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”
370,"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you."""
371,“Gas prices highest in a decade. Worst jobs report in 2 decades. Highest inflation in 3 decades. Highest increase in illegal immigration in 4 decades.”
372,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.
373,"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech."
374,"“Covid-does NOT exist AS A VIRUS,” and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law"
375,Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.
376,"""China was behind the interference and the effort to overthrow our government and the election, election fraud."""
378,Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”
379,Photo shows Time magazine cover with Barack Obama that says “Treason.”
380,Say a video shows “staffers stuffing ballots in flint mi”
381,“Leftists” sent “Proud Boys” emails threatening Democratic voters.
382,“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”
383,"“Trump denies fire assistance to California because they didn't vote for him, but helped Russia with their wildfires in Siberia.”"
384,"Says President Barack Obama “spied on my campaign, and got caught!”"
385,Contractors hired by government officials to frame Donald Trump are “behind the fake news in mainstream media” and recent protests.
386,"Photo shows Angela Merkel, Theresa May and Dalia Grybauskaitė as teenagers."
387,“Israel dropped a tactical nuclear weapon on the port of Beirut.”
388,A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”
389,“American coronavirus vaccine killed five Ukrainians.”
390,Says President Donald Trump “is still yet to say anything as the president of the United States about bounties on American troops.”
391,“We have one of the lowest mortality rates in the world” from COVID-19.
392,The President’s Daily Brief “is like a mini novel.”
394,Zoo animals were released during protests in Chicago.
395,“Italian Parliament Calls For The Arrest of Bill Gates”
396,"Says it was ""a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.”"
398,"“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”"
399,“We’ve tested more than every country combined.”
400,Says a “5G LAW PASSED while everyone was distracted” with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.
401,"Says President Donald Trump will announce that a scientist ""finally found vaccine to cure corona virus."""
402,Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.
403,“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”
404,Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”
405,"Says the media cut out his request of Russian hackers to find Hillary Clinton’s emails “right at the end so that you don’t see the laughter, the joke.”"
406,Says U.S. Rep. Sean Casten “demanded the impeachment of the Republican President before the Mueller report was even released.”
407,"""Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company,"" that paid his son Hunter."
408,"""The Democrat controlled House never even asked John Bolton to testify."""
409,"""The missiles that were launched at American forces in Iraq from Iran, were funded by Barack Obama, with American tax dollars."""
411,Says a video shows Iranian rockets being launched toward U.S. airbases in Iraq.
412,Says a video shows Iranian rockets being launched toward a U.S. air base in Iraq.
413,"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani"""
414,"""Iran will be shooting at our soldiers with bullets, etc., purchased with the $150 billion Obama gave them."""
415,"Says the California congressional district he represents ""has a higher GDP than Russia."""
416,"Says the New York Times reported that Hillary Clinton and George Soros ""paid (a) woman to accuse Trump of sexual attack."""
418,"Says a photo shows an old Christmas tradition of women apologizing ""to their husbands for all the mistakes they made during the year and beg for forgiveness."""
419,"""The Inspector General’s report now makes clear that the FBI launched an intrusive investigation of a U.S. presidential campaign on the thinnest of suspicions."""
420,"Says the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014."
421,"""The Ukrainian government just indicted the Burisma gas company & named Hunter Biden for accepting millions of dollars from a slush fund."""
422,"Says ""Russia donated 0$ to Donald Trump. Russia donated 145.000.000$ to the Clinton Foundation."""
423,"Says Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump."""
424,"President Donald Trump's phone call with the Ukrainian president ""sounds exactly like what Joe Biden did."""
