,claim
1367,"Says the Republican Party started in Ripon, Wis., “to counter the Democrats’ plans to expand slavery.”"
1368,"""Under three years of my administration, net farm income has already gone up nearly 50%."""
1375,"Joe Biden ""already has what is the most progressive platform of any major party nominee in history."""
1376,"“During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.”"
1382,“Bill Gates told us about the coronavirus in 2015.”
1383,"“Remember, the American Revolution began when they came for the guns.”"
1392,"Says Bernie Sanders has said “things like women get cancer from having too many orgasms, or toddlers should run around naked and touch each others' genitals to insulate themselves from porn … He's written about women's rape fantasies."""
1396,Up until 1913 Americans kept all of their earnings.
1397,"Says Iranian Gen. Qassem Soleimani ""was a designated terrorist by President Obama, who didn't do anything about it."""
1416,"Says the impeachment of President Donald Trump would be the first in U.S. history ""without a specific criminal statute or crime that the president who is impeached would have allegedly committed."""
1421,"""Over 70% of the people support Roe v. Wade. Over 90% of the people support funding for Planned Parenthood and making sure women can get the health care they need."""
1424,"""Confederate veterans were conferred with many of the same benefits of other United States military veterans by Acts of Congress back in 1929 and 1957."""
1425,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years."""
1428,"""There’s more African American males in the penal system right now than there were (enslaved) at the height of slavery."""
1437,"The United States is ""#1 in oil consumption"" in the world."
1438,"""Women’s unemployment has been lower under President Trump than it’s been in nearly 70 years."""
1459,"""Ida B. Wells refused to give up her seat 71 years before Rosa Parks did. At age 33, she owned the first African American newspaper in Chicago, the Chicago Conservator. Why do you never hear about her? Because she was a Republican."""
1464,"""We are incarcerating more children than any time ... since we interned Japanese-Americans during World War II"""
1465,"""There are, literally, two pharmaceutical lobbyists for every member of Congress."""
1466,"At the same time President Trump talks about supporting veterans, ""he is deporting service members who have volunteered to serve this country."""
1469,"When asked if the United States should have a military parade to ""show off its might,"" President Dwight Eisenhower said, ""Absolutely not. We are the pre-eminent power on Earth. For us to try and imitate what the Soviets are doing in Red Square would make us look weak."""
1470,"Said, ""The Seven Years’ War led to near bankruptcy for many countries; Britain’s need to raise taxes fueled the American desire for independence."""
1471,"Says Joe Biden hasn’t admitted he was wrong on the Iraq War, as he did with the Hyde Amendment."
1474,"President Trump’s tariffs are ""taking $1.4 billion out of working people’s pockets every month."""
1475,"A photo shows ""brave women of the Red Cross"" arriving in Normandy on D-Day to help injured troops."
1477,"The 1994 crime bill ""did not generate mass incarceration."""
1480,"China’s developing country status in the World Trade Organization ""means they can tariff and embargo."""
1482,"""Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it."""
1483,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company."
1489,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation."""
1490,"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850..."""
1495,"Says Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal."""
1496,"""For every dollar we spend on actual peace creation, we spend over $1,000 on ways to prepare for war."""
1497,"Says William T. Thompson, the designer of the Confederate flag, said, ""As a people we are fighting to maintain the Heaven-ordained supremacy of the white man over the inferior or colored race"" and ""As a national emblem, it is significant of our higher cause, the cause of the superior race."""
1505,"""I was the first elected Republican in Williamson County history."""
1510,"""Trump's campaign manager, Paul Manafort, commits bank and tax fraud and gets 47 months. A homeless man, Fate Winslow, helped sell $20 of pot and got life in prison."""
1516,"""In 1992, the Democratic Party had in their platform provisions that said that illegal aliens were coming in this country, committing felonies, sent back and then they were right back across the border to do the same thing."""
1519,"""Today, property taxes are lower than they were in 2010."""
1529,"""Wisconsin lost over 600 farms last year & our farmers can't afford the #TrumpShutdown."""
1544,"Says Texas U.S. Rep. John Culberson ""was caught using campaign cash on collectibles, including Civil War memorabilia and fossils."""
1549,"Says revenues ""are actually up after tax reform."""
1550,"""Stacey Abrams burning the flag of the state she seeks to serve as Governor."""
1553,"With the Republican-backed tax cut, ""we’re seeing the result, and to date, federal tax revenues have gone up."""
1556,"Says that Steve Watkins ""bragged to voters that he built his company from scratch, but it was all a lie."""
1557,"Says Minnesota congressional candidate Jim Hagedorn supports a plan that would take away health care for 340,000 veterans, with 17,000 in Minnesota possibly losing coverage."
1561,"Says Sen. Richard Blumenthal ""lied about his service"" in Vietnam."
1564,"Says Democratic congressional candidate Tom Malinowski ""supports a full repeal of the 2017 tax law, which includes vital tax incentives"" for New Jersey communities."
1565,"""President Trump’s Republican Party will create more debt in one year than was generated in the first 200 years of America’s existence."""
1568,"""When Abraham Lincoln made the Gettysburg Address speech, the great speech, do you know he was ridiculed? He was ridiculed."""
1571,"""Evidence is mounting that marijuana legalization reduces opioid addiction numbers."""
1576,"""America’s hard-working agricultural producers … have taken a disproportionate hit when it comes to illegal retaliatory tariffs."""
1578,"Says Beto O’Rourke is ""open to abolishing ICE."""
1587,"European allies ""pay us $2.5 billion a year to keep our forces there. It would cost us more money to bring the troops home than to keep them in Europe."""
1589,"""Facebook removes, censors Declaration of Independence as ‘hate speech’"""
1595,"""Canada charges the U.S. a 270% tariff on Dairy Products! They didn’t tell you that, did they? Not fair to our farmers!"""
1596,"""If you are talking about Canada .. our wine cannot sit on their supermarkets."""
1597,"Republican ""sabotage"" cost 3.2 million people coverage in 2017."
1603,"Says Benito Mussolini ""initiated a campaign to 'drenare la palude' ('drain the swamp') by firing more than 35,000 civil servants."""
1605,"""We have spent $7 trillion, trillion with a T, $7 trillion in the Middle East."""
1606,"Says of disclosing his $20,000 speech about Syria, ""there was no hiding. I released it."""
1609,"Says the 2015 vote on the American Security Against Foreign Enemies Act ""was not a vote to deny access to the U.S."""
1614,"""There are only 18 minutes of total action in an average baseball game."""
1615,"""From 2000-10, U.S. manufacturing employment shrank by a third after holding steady for 30 years."""
1621,"Says the U.S. steel and aluminum industry is ""a fraction of what it once was."""
1623,"""The Koch brothers have given"" Paul Ryan ""$500,000 in campaign contributions."""
1624,"American aluminum and steel ""are vital to our national security. ... They are the bedrock of our defense industrial base."""
1625,"""China, my understanding is, supplies 4 percent of the steel in the U.S."""
1627,"Says Mike DeWine ""flip-flopped on the gun issue and has earned an F from the NRA."""
1629,"""The US has approximately 5% of the world's population and 42% of civilian gun ownership."""
1636,"""There are more immigrants in our country right now than any other time."""
1637,"Many gang members have taken advantage of ""glaring loopholes and our laws to enter the country as illegal, unaccompanied, alien minors."""
1640,"""There were slaves in 1845 who helped construct and build the Old Capitol."""
1647,"The 1986 tax reform approved under Ronald Reagan ""was polling at about 18 percent right before they passed it."""
1650,"The Jerusalem Embassy Act ""passed Congress by an overwhelming bipartisan majority and was reaffirmed by a unanimous vote of the Senate only six months ago."""
1655,"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal."""
1658,"""We have done more in eight months than the previous administration has done in many years"" against ISIS."
1661,"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation."""
1666,"North Korea is ""the fifth or fourth most sanctioned nation."""
1679,"""Undocumented immigrants commit less crimes than the native born."""
1680,"""Corporations have NEVER made as much money as they are making now."""
1683,"Republicans have "" won a thousand seats since Obamacare."""
1685,"""In the ‘40s, 68 cents of every health care dollar was actually paid for by the patient, today it’s only 11 cents."""
1691,"""Texas mothers are dying during childbirth at the highest rates in the nation."""
1693,"""This is not the first time (the Russians) have been involved in our elections."""
1696,"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin."
1719,"""I've got five years of experience as a national security staffer in the U.S. Congress."""
1723,"""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin."""
1724,"""The past (Obama) administration was the first administration that never had a whole year of 3 percent growth."""
1726,"The Obama administration said ""they were going to be able to drive folks away from one of the most expensive areas for the provision of health care, and that is the emergency rooms. In fact, they did just the opposite."""
1727,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door."""
1733,"""More than ever our nation and the traveling public rely on Amtrak for mobility."""
1740,"""The chances of being killed by a refugee committing a terrorist act is 1 in 3.6 billion."""
1741,"""The various people who have, in fact, committed terrorist acts in this country, from 9/11 on, none of them came from any of the seven countries that are the subject of the president's executive order."""
1742,"""About 30 percent of terrorists at Guantanamo Bay went back into battle. We know that a dozen or so killed Americans."""
1744,"""Some countries are contributing (peacekeeping) troops because they're making money off of them."""
1747,"""Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016."""
1748,"""[The Foundation for Individual Rights] is the recipient of donations from [DeVos] totaling about 25,000 bucks over four years."""
1750,"""Social Security is in trouble (it’s going bankrupt by 2034)."""
1753,"""Asia ... has less freshwater per capita than any other continent, except Antarctica."""
1755,"""General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border."""
1758,"""Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford."""
1761,"More than two months ago President Barack Obama signed a bill for more than $1 billion in Zika funding, but ""the federal government has still only committed $7 million"" to help Florida."
1765,"""Alexander Hamilton was an immigration hawk."""
1772,"Says Barack Obama ""is the first president in modern history not to have a single year of 3 percent growth."""
1773,"""Donald Trump's strategy is pretty simple. They have even said in his campaign it's to get women to stay home, get young people to stay home, get people of color to stay home, and get a lot smart, intelligent men to stay home, too."""
1775,"""We’ve spent $6 trillion"" on the wars in the Middle East."
1779,"Says Donald Trump is ""the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election."""
1780,"""ISIS is in 32 countries."""
1782,"Says electric utilities ""are trying to fool you into amending your state Constitution in a way that gives them the authority to shut down net metering."""
1783,"Says Saudi Arabia, a U.S. ally, has ""paid to export throughout the world"" Wahhabism -- ""an extreme form of Islam"" that basically teaches ""Americans are the devil."""
1784,"""The director of the FBI said that we cannot figure out who (Syrian refugees) are, what their intentions are, because we have no information on them, because we don’t have any contact with the Syrian government or any people on the ground to be able to determine that."""
1785,"""Sen. (Richard) Burr voted no on the Violence Against Women Act."""
1788,"Says Patrick Murphy ""supports a gun ban on commonly owned semi-automatic firearms used for hunting, recreational shooting and self defense."""
1791,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile."""
1793,"""Since I came into office … we have increased the VA budget by 85 percent."""
1797,"Says Hillary Clinton and Tim Kaine ""want to shut down shale, and shut down natural gas."""
1798,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump"""
1799,"Says Donald Trump has outlined ""policies that read like a Kremlin wish list."""
1801,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms."""
1803,"""Over the last 40 years, this country’s prison population has grown by 500 percent."""
1804,"Says she ""would bring 186,740 new jobs to Wisconsin"" and ""Donald Trump would cost Wisconsin 61,050 jobs."""
1805,"Mark Kirk’s claim of national security expertise is ""based on his military record which he lied about at least 10 times."""
1812,"Says Donald Trump is ""on record extensively supporting (the) intervention in Libya."""
1814,"Says ""Joe Heck voted 10 times to defund Planned Parenthood ... and Heck opposes a woman's right to choose, even when her health is at risk."""
1818,"""Neither Hillary Clinton or Donald Trump has a plan to address the civil war in Syria."""
1819,"""We admit about 100,000 permanent immigrants from the Middle East every year."""
1822,"Says her campaign platform includes the ""biggest investment in new, good-paying jobs since World War II."""
1828,"""U.S. Sen. Johnny Isakson has voted for $7 trillion of our national debt!"""
1831,"""The poverty rates in America today aren’t much better than when we started the War on Poverty."""
1832,"The Iran nuclear deal is ""putting billions of dollars back into a country that’s the world’s largest supporter of terrorism. We are actually giving them the money to fund the terrorists that are killing us and our allies."""
1834,"Russia and China are ""doing naval exercises together someplace."""
1837,"""American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs."""
1839,"Says ""Donald Trump has defended"" World War II internment camps."
1840,"Says Donald Trump ""claimed our armed forces are 'a disaster.'"""
1841,"Florida retirees and families ""lost tens of thousands of dollars"" in deposits on failed Trump condo projects, but he ""pocketed their money and walked away."""
1842,"""John McCain’s chief economic adviser during the ’08 race … estimated that Trump’s promises would cause America to lose 3.5 million jobs."""
1848,"In South Sudan, ""more teenage girls die in childbirth than finish high school."""
1849,"The U.S. has to go to ""plane graveyards"" and museums to get parts for its 20-year-old jet fighters while it sells new jets to other countries."
1851,"Says that as a U.S. senator, Russ Feingold ""voted against authorizing our military 11 separate times."""
1852,"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian  ... refugees . . .  despite the fact that there’s no way to screen these refugees in order to find out who they are or where they come from."""
1853,"Says North Carolina is ""home of the largest military installations in the world."""
1854,"Says ""Hillary (Clinton) wants to increase the number (of Syrian refugees) by 500 percent."""
1858,"Says ""(Clinton) called President Assad a ‘reformer.’ She called Assad a ‘different kind of leader.’ """
1859,"""Granite State shipbuilders . . . built the first ship that sailed into battle under a new American flag."""
1862,"The war on drugs led to ""a 500 percent increase in incarceration in our country, disproportionately affecting poor and disproportionately affecting minorities."""
1863,"""We got the highest vote count in the history of the Republican Party."""
1867,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia."""
1868,"The Orlando shooter used ""a weapon of war."""
1869,"Says Mark Zandi, who wrote a report criticizing Donald Trump’s economic proposals, is ""one of Sen. John McCain's former economic advisers."""
1872,"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'"""
1875,"Says Russ Feingold’s ""campaign is powered by small-dollar contributions like ours."""
1876,"Says Donald Trump has said he loves war, ""including with nukes."""
1881,"Says Hillary Clinton ""plans to massively increase admissions (of Middle East refugees) … including a 500 percent increase in Syrian refugees coming into our country."""
1884,"Says Donald Trump said the U.S. should ""encourage"" Japan to get nuclear weapons."
1887,"Says Donald Trump ""has the gall to say that prisoners of war like John McCain aren’t heroes."""
1889,"""Today, it is more difficult to enlist in the U.S. military than it is to enroll in college."""
1890,"California has ""the same water infrastructure from when we were 16 million people."""
1891,"""I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clinton's) position."""
1898,"""By the time you drink your coffee, an elephant is killed for its ivory tusks."""
1900,"Says Donald Trump’s ""only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff."""
1901,"""When President Obama landed in Cuba on Air Force One, no leader was there, nobody, to greet him -- perhaps an incident without precedent in the long and prestigious history of Air Force One."""
1902,"Says an array of statistics show that conditions in some parts of Baltimore rival that of ""the West Bank in Palestine,"" ""North Korea,"" and ""distressed cities in Nigeria, India, China and South Africa."""
1907,"""We know that Saudi Arabia started al-Qaida."""
1908,"""Under the federal Controlled Substance Act, marijuana is listed in the same Schedule I as heroin,"" even though ""marijuana is not a killer drug like heroin."""
1909,"""Studies have consistently failed to establish the existence of a link between the harshness of a country’s drug laws and its levels of drug use."""
1910,"""Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt."""
1911,"""We spend about 75 percent of the entire cost of the military aspect of NATO."""
1912,"In every ethics case that has resulted in a formal sanction, ""there's been an investigative subcommittee that's been established first."""
1914,"Says the Congressional Budget Office ""is expecting a protracted economic malaise for at least the next decade under current policies."""
1918,"Congress will begin its recess ""without having allocated one penny"" to fight Zika."
1919,"""The Trans-Pacific trade deal could cost America 448,000 more jobs."""
1920,"""To this day, (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives."""
1924,"As a sign of ""extraordinary progress,"" ""there are half as many (primary-age) children out of school today as there were 15 years ago."""
1926,"""More lives are lost from violence against women, sex-selective abortion, female infanticide, suicide, egregious maternal mortality, and other sex-linked causes than were lost during all of the wars and civil strife of the 20th century."""
1928,"Says Ted Cruz’s wife Heidi ""will be the very first pro-life first lady."""
1929,"Says Barack Obama ""has the legal authority to let in really however many refugees he wants, from whatever country."""
1930,"""Almost every poll has shown that Sanders vs. Trump does a lot better than Clinton vs. Trump … and, that’s true nationally."""
1933,"""The Great Wall of China, built 2,000 years ago, is 13,000 miles (long)."""
1934,"""There is no evidence to support the claim that Guantanamo is used as a recruiting tool"" for terrorists."
1935,"The Chris Hani Baragwanath in South Africa is ""the world’s third-biggest hospital."""
1941,"Says Hillary Clinton won ""health care for 8 million children."""
1943,"""It has been 80 years since a Supreme Court vacancy was nominated and confirmed in an election year. There is a long tradition that you don't do this in an election year."""
1946,"""Making public colleges and universities tuition-free, that exists in countries all over the world, used to exist in the United States."""
1951,"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel."""
1953,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, ""the Democrats didn’t make that a partisan issue."""
1955,"Says U.S. Sen. Ron Johnson wants to put 100,000 troops, including 25,000 Americans, ""into the area where ISIS is."""
1958,"Donald Trump’s decision to skip the Fox News/Google debate in Des Moines ""is near unprecedented."""
1966,"Says Bernie Sanders ""voted for regime change with respect to Libya."""
1968,"""Only nine"" coalition nations with the U.S. ""are truly actively involved"" in fighting the Islamic State."
1971,"""Two months ago, Donald Trump said that ISIS was not our fight."""
1975,"""Three or four countries"" out of roughly 60 in the anti-ISIS coalition ""are providing military force."""
1978,"""Up until recently, 75 percent of all the sorties that left the base came back without dropping their ordnances, because there was such a concern about making sure that there were no civilian casualties."""
1979,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia."""
1981,"""It is already in the law that there is a requirement to screen (refugees) for religion."""
1982,"For NATO exercises, ""we don’t have enough of our own hardware and equipment even for training purposes. So the Brits are spotting us choppers."""
1986,"The federal government is ""making the decision, whether we like it or not, to send 425 refugees to our state"" from Syria."
1987,"""The United States (is) the largest provider of humanitarian assistance to displaced persons and refugees."""
1991,"500,000 U.S. troops came home from Iraq and Afghanistan ""with PTSD and traumatic brain injury."""
1992,"Says the United States is in ""the worst recovery from an economic recession since World War II."""
1993,"Says President Dwight Eisenhower ""moved 1.5 million illegal immigrants out of this country."""
1995,"""There was never a single shred of evidence presented to anyone"" that the attacks in Benghazi, Libya, were ""spontaneous, and in fact, the CIA themselves understood that early on."""
1996,"""There have been more than 300 mass shootings in the United States this year – more than any other country in the world."""
1997,"""If you're born poor, you're more likely to stay poor than any time in American history."""
1998,"My campaign ""finished the last quarter reporting the most cash on hand of any Republican in the field … $13.8 million in the bank, $3.5 million more than the Jeb Bush campaign."""
2001,"""Even after Syrian troops began to shoot protesters in the streets with live ammunition in 2011, Clinton labeled Bashar al-Assad a ‘reformer.' """
2004,"""We lose an average of 90 Americans every day because of guns."""
2008,"""Every other major country"" has family paid leave."
2010,"Today, the deficit is ""below the average deficits over the past 40 years."""
2012,"Iran’s ""regime is responsible for more than 1,000 American casualties during the Iraq war"" and ""has plotted a terrorist attack here in our nation's capital."""
2015,"Israel has seen a ""90 percent reduction in terrorist attacks"" that it attributes to building a 500-mile fence."
2020,"Says ""the cascading effects"" of climate change contributed to the rise of ISIS."
2021,"""Under Republicans, recessions happen four times as frequently as under Democrats."""
2023,"When Carly Fiorina says Hewlett-Packard ""revenues went up, that's because she bought Compaq. It was a terrible deal."""
2031,"Says ""Bush Jr. handed Obama a $1.4 trillion deficit"" and Obama ""reduced Bush Jr.’s deficit to just $492 billion."""
2032,"""Many of the great scholars say that anchor babies are not covered"" by the 14th Amendment."
2033,"""The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration."""
2034,"""We did not even have a federal income tax in this country until 1913."""
2035,"""We have an Army that just cut 40,000 spots."""
2036,"""The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe."""
2037,"The number of people who ""believe in socialism ... is increasing."""
2038,"Says Bernie Sanders chose ""to spend his honeymoon in the Soviet Union in 1988."""
2039,"Emails released to the public show Hillary Clinton discussed ""the location of Ambassador Stevens, who of course was murdered, in Libya."""
2041,"""The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence."""
2042,"""The stock market does better when you have a Democratic president in the White House."""
2044,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal."""
2045,"Since 2009, ""we've cut homelessness (among veterans) by a third."""
2047,"""One of the reasons I believe we’re in trouble in Yemen is we lost the population on drone strikes issues. That’s what stirred up the population. That’s what is happening in Yemen."""
2049,"The United States is ""fighting with Iraqis to defeat ISIS along with Iran. But in Yemen we're fighting Iran with Iraqis and Saudis."""
2050,"""Al Franken said almost exactly what Trump said"" about John McCain’s military record."
2057,"""Thanks to the Obama administration’s negotiations, Iran’s nuclear program will be under lock, key and camera 24 hours a day, 365 days a year."""
2060,"""In the past two years in Congress, I’ve written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House."""
2062,"Says Jeb Bush ""doesn't believe in a path to citizenship. If he did at one time, he no longer does."""
2063,"""We've cut the deficit by two-thirds."""
2065,"Says Amazon has removed ""an educational game about Gettysburg."""
2068,"ISIS reaches ""about 100 million people a day"" through social media."
2071,"""Two weeks ago, a man entered the world’s busiest airport in Atlanta, Georgia, carrying a loaded AR-15 automatic weapon with an extended-capacity, 100-round magazine."""
2073,"The Confederate battle flag in South Carolina was first flown at the statehouse in 1961. ""It was flown as a symbol of massive resistance to racial desegregation."""
2074,"""Between 2010 and 2014, there was no net in-migration from Mexico."""
2075,"The original compromise for the Confederate battle flag in South Carolina ""was to put it on the back side of the statehouse, out of public view so it would not have any appearance of sovereignty."""
2077,"""For most black people in the history of this country … it was illegal to pass as a white person. You were actually put in jail if you tried to pass."""
2081,"The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia."
2086,"""Today in America, 70 percent of us are earning the same or less than we were 12 years ago, and this is the first time that that has happened this side of World War II."""
2090,"The ""highest economic growth decade was the 1960s. Income tax rates were 90 percent."""
2091,"The 2005 round of military base closings ""has not yet resulted in savings."""
2094,"""There are more poor people today as a percentage of our population than the 1970s."""
2097,"The United States is ""about to have the smallest Army since before WWII, the smallest Navy since WWI and the smallest Air Force ever."""
2100,The Castro regime ‘violated international norms’ by secretly shipping weapons to North Korea in violation of a U.N. embargo.
2102,"""The United States invented the community college. Nobody else had ever done anything like it."""
2107,"""In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."""
2108,"""Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent."""
2115,"""At this particular point in time, looking at the field, there’s only one individual that’s ever had the uniform of his country on—and that’s me."""
2116,"""I never said I was on the Falkland Islands."""
2117,"""You had more women getting computer sciences degrees in the '80s by a factor of 2-plus than you do now."""
2118,"Says he ""often"" appeared on The O’Reilly Factor and ""often was praised"" by Bill O'Reilly."
2120,"""When did the decline of coal start? It started when natural gas took off … that started to begin in (President George W.) Bush’s administration."""
