,claim
1115,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”"
1116,Photo of unbroken windows proves war in Ukraine is fake.
1117,Fires at food processing plants are an “attempt to starve us.”
1118,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.
1119,Says a Fox New chyron said the Snickers candy bar is changing its texture because of “cancel culture.”
1120,A video shows the Russian warship Moskva exploding.
1122,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government."""
1123,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”"
1124,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”"
1126,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.
1127,"Dave McCormick is ""liberal, pro-Biden, pro-China."""
1128,George Soros injected “$33 million” into Black Lives Matter.
1129,"Says Adolf Hitler said, “The day mankind finds out what I was trying to defend this nation, Germany, from, then that’s the day World War III starts.”"
1130,Ukraine was responsible for the Kramatorsk train station bombing.
1131,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”
1132,"“You couldn’t buy a cannon when, in fact, the Second Amendment passed."""
1133,Poland palace that Biden visited is fake.
1134,The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.
1136,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.
1137,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”"
1138,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”"
1139,The Strategic Petroleum Reserve has “been mostly empty” for decades.
1140,"“You go to a store, they don’t have bread.”"
1142,Will Smith slapped Chris Rock “to take attention away from Ukraine.”
1148,“The Simpsons” predicted Russia’s invasion of Ukraine.
1149,A photo of President Joe Biden leaving for Europe that the White House tweeted wasn’t actually taken on March 23.
1150,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.
1151,Ukrainian President Volodymyr Zelenskyy wore a Nazi cross symbol.
1152,"""Documents were published confirming Moderna created the COVID-19 Virus.”"
1154,News networks covered Brett Kavanaugh’s confirmation hearing live but not Ketanji Brown Jackson’s hearing.
1155,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S."
1157,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”
1158,Photos show “Ukrainian farmers are slowly starting to build their own army.”
1159,Russian President Vladimir Putin “was assassinated.”
1160,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”"
1161,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”
1162,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies."""
1163,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board."""
1164,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.
1165,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”"
1166,A video shows current “leaked footage of heavy war between Russia vs Ukraine”
1167,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”
1170,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”"
1171,"Vice President Kamala Harris ""was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president."""
1172,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.
1173,Video shows man mocking police in Germany.
1174,This video shows “Russian war in Ukraine.”
1177,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”"
1178,A Time magazine cover shows Vladimir Putin with Hitler’s mustache.
1179,Video shows Russian President Vladimir Putin meeting with South Korea’s president.
1180,"""Gas is high because they shut down production in the U.S.” under the Biden administration."
1181,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter."""
1182,Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.
1183,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.
1184,The war in Ukraine is “scripted and staged.”
1186,Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”
1187,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.
1188,“I’ve been in and out of Iraq and Afghanistan over 40 times.”
1189,"""The Russian army does not occupy Ukrainian territory."""
1191,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.
1192,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.
1193,A photo of a wounded young child was captured in Ukraine in 2022.
1197,Video shows footage from Russia invading Ukraine.
1199,TikTok video shows Russian soldiers parachuting into Ukraine.
1200,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”
1201,"This ""footage"" shows Russia attacking Ukraine."
1202,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”"
1203,“Russia has never attacked anyone throughout its history.”
1204,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights."""
1205,Turning Point USA is a white nationalist organization.
1207,"“A grand jury trial begins into crimes against humanity"" involving a fabricated coronavirus pandemic."
1208,"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”"
1211,"""The Holocaust isn't about race. No, it's not about race."""
1212,Quotes show Joseph Stalin and Joe Biden expressed similar views about counting votes.
1214,Richard von Coudenhove-Kalergi planned “the ethnocide of the peoples of Europe” through “the encouragement of mass non-white immigration.”
1215,"“There (are) over 800 prison camps in the United States, all fully operational and ready to receive prisoners. They are all staffed and even surrounded by full-time guards, but they are all empty. These camps are to be operated by FEMA.”"
1219,"Recently released Jan. 6 footage shows ""these cops using massive amounts of force against unarmed Trump supporters, including women."""
1221,A video clip shows a failed attempt by China to launch airstrikes near Taiwan.
1222,“I’ve been against that war in Afghanistan from the very beginning.”
1223,"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps."""
1224,"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip."
1225,"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”"
1226,Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.
1228,“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”
1229,The military took over the mainstream media.
1230,"""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable."""
1232,"“Jan. 6 is being used as a pretext to strip millions of Americans, disfavored Americans, of their core constitutional rights.”"
1233,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”
1234,“The White House referred to Christmas trees as Holiday Trees for the first time this year.”
1235,"Terry McAuliffe has a campaign sign that says, “Keep parents out of classrooms.”"
1237,"Two forms of fluoride in our drinking water “are so toxic that the CDC clearly labels these chemicals extremely toxic in both animals and humans."""
1247,Photo shows a gravestone in Japan with a QR code.
1248,Says 2010 video clip showing coffins in a field proves “COVID was planned.”
1249,U.S. veteran group rescued Afghan allies “behind Biden’s back.”
1253,"""Norfolk naval base has been taken by NATO."""
1257,The Biden administration “gifted the Taliban with $80 billion-plus” in military-grade weapons but now “wants your 9mm pistols.”
1258,"COVID-19 vaccinations are “a violation of the Nuremberg code."""
1260,“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”
1261,Joe Biden intentionally “let it fall apart” in Afghanistan because he “wants a couple hundred thousand more Ilhan Omars to come into America to change the body politic permanently.”
1265,U.S. sanctions mean “Cuba can’t trade with any country or any company whatsoever.”
1268,Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.
1271,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.”"
1272,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”
1273,A 9-0 Supreme Court ruling is very rare.
1275,“The Eisenhower interstate system requires that one mile in every five must be straight.”
1276,Says U.S. Rep. Ron Kind has “spent more $ in 100+ days than was spent fighting WWII
1278,“Not one word” from Joe Biden and Kamala Harris honoring service members for Memorial Day.
1279,"Says Luc Montagnier said, “There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.”"
1280,“The very first Republican convention after the Civil War was held in Virginia in a Black church.”
1281,“The minions from ‘Despicable Me’ are based off of these Jewish children tortured by Nazis during the Holocaust.”
1282,Photo shows an anti-Israel activist holding a photo of Adolf Hitler.
1284,60% of new COVID-19 patients are people who received the vaccine.
1285,"Sen. Joni Ernst's visual aid said liberals wanted to abolish lasagna, among other things."
1286,“Biden is currently sending more military equipment to our neighborhoods than Trump did.”
1287,“A quarter of a million illegal votes found in Arizona’s audit.”
1288,"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech."
1289,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”"
1290,“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”
1292,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”
1296,Says Jan. 6 Capitol riot “didn’t seem like an armed insurrection.”
1297,"Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals."""
1299,“U.S. military at the White House arresting Congress.”
1306,"""If all goes 'well' it'll become federal law to get the (COVID-19) vaccine."""
1308,"“The president got the highest percentage of minority votes of any Republican candidate for president in over 100 years."""
1311,"“At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate."""
1313,Says someone tried to suppress votes by disguising trash cans as ballot boxes.
1315,"Speaking of the federal debt before the coronavirus pandemic, “we were starting to get that number down.”"
1316,“The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself.”
1317,"Says Joe Biden and Barack Obama “directly participated in a plot to have #SealTeam6 MURDERED, then arranged a massive cash deal as part of a cover up.”"
1319,The Commission on Presidential Debates wrote a letter after the 2016 presidential debates apologizing to Donald Trump.
1320,Says ballots in Wisconsin “are being dumped in rivers” or creeks.
1324,"“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history."""
1326,“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”
1328,"""ANTIFA is now carrying chain saws, and cutting down utility poles, and starting more fires."""
1329,"""I never called John (McCain) a loser."""
1332,"“So this is just a way they’re trying to steal the election, and everybody knows that. Because the only way they’re going to win is by a rigged election.”"
1333,"Says Ben Shapiro tweeted, “The USPS is not only a bloated and outdate government agency, it is also ineffective and incompetent. It’s been 2 months since my wife went on a Hawaii vacation with her personal trainer; she said she would send me postcards every day and so far none of them have arrived.”"
1334,"Says Anthony Fauci, Bill Gates, George Soros and Jeffrey Epstein are connected with Moderna, Inc., and its efforts to create the coronavirus vaccine."
1336,“This man funds #ANTIFA. He is a real #NAZI. His name is George Soros.”
1337,“Israel dropped a tactical nuclear weapon on the port of Beirut.”
1338,“America was the ONLY country that ended” slavery
1339,“Portland goon squads were Blackwater contractors not federal officers.”
1340,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.
1341,The Trump administration has had “zero unfulfilled equipment and supply requests from state governors.”
1342,No U.S. presidents elected before Donald Trump were racist.
1344,Bank of America just pledged $1 billion dollars to Black Lives Matter.
1347,“All the books” have been removed from the classrooms of a Minnesota middle school because administrators “claim that the books cannot be cleaned.”
1348,Quotes Dr. Denis Mukwege as saying he resigned from the Congolese coronavirus response team because he was ordered to fabricate COVID-19 case and death numbers.
1350,"Says Gary Peters ""fought against funding for the VA, veterans housing programs, military pay raises, and health care and research for veterans and their families. He also fought against funding for processing veterans’ disability claims.”"
1352,The President’s Daily Brief “is like a mini novel.”
1356,"""You weren't allowed to own a cannon during the Revolutionary War as an individual."""
1357,“Joe Biden’s great-grandfather Joseph J. Biden was a slave-owner and fought” for the Confederacy.
1358,Antifa “are killing our police. Looting our businesses. Assaulting the elderly and burning our churches.”
1359,Photos show the inside of the BOK Center during Donald Trump’s rally in Tulsa.
1360,"Former slave Nancy Green, the first Aunt Jemima model, died “as one of America’s first black millionaires.”"
1361,"Nazi Germany’s Hermann Göring worked to ""defund and eliminate the police departments so that they would not interfere with his Brown Shirts."""
1363,"Says Joe Biden wants to ""defund the police."""
1364,“The 9/11 Memorial in NYC was just defaced with graffiti.”
1365,Says a photo shows a memorial vandalized by Black Lives Matter protesters.
1366,Photos show cemeteries and war memorials damaged during George Floyd demonstrations.
1369,"Says it was ""a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.”"
1370,"Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity"
1371,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”"
1373,"Trey Gowdy said, “I’m not saying COVID-19 isn’t real…. But pay attention folks, there’s much more going on here than what meets the eye.”"
1374,"“The Democrats are pushing for an implanted microchip in humans, and everyone to be vaccinated.”"
1377,"""It is the decision of the President,"" not governors, to ""open up the states."""
1378,"With voting by mail, “you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.”"
1379,Says a pandemic occurs exactly every 100 years.
1381,"Says Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.”"
1384,“Every election year has a disease” ... SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.
1387,“Bernie Sanders voted in favor of every war during his tenure.”
1388,Says Sen. Chuck Schumer deleted a Feb. 5 tweet criticizing President Donald Trump’s decision to ban some forms of travel to and from China.
1389,"Says Bernie Sanders “collaborated with Marxist regimes in the Soviet Union, Nicaragua and Cuba.”"
1390,Says a photo of Pete Buttigieg in a military uniform was staged.
1393,A photo of Pete Buttigieg in a military uniform without visible patches shows that “he is a fraud.”
1395,"Quotes Trump as saying ""would you really want a president who was dumb enough to let himself get drafted?"""
1399,"Ilhan Omar called for ""violence"" against President Trump over Middle East dispute."
1400,"Says federal regulation of the wolf population has led to attacks on livestock, driving down production, leading to dairy farms going out of business."
1401,"Says the Japanese military did not invade the mainland United States after Pearl Harbor because ""they know that almost every home had guns and the Americans knew how to use them."""
1402,"Says Barabara Walters wrote that Jane Fonda ""betrayed not only the idea of our country, but specific men who served and sacrificed during the Vietnam War."""
1403,Says a video shows drone footage of the killing of Qassem Soleimani.
1404,"""About a third of Texas has seen a 20-25% population loss in the last 5 years."""
1405,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia."""
1406,Says a series of photos show Iranian rockets being launched toward U.S. air bases in Iraq.
1407,Says Trump volunteered his airline to bring troops home during Operation Desert Storm.
1408,"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani"""
1409,"Says U.S. Rep. Rashida Tlaib tweeted and then deleted a post that said ""Americans have spent decades raping and pillaging my people. What goes around comes around."""
1411,"""President Trump didn't say he'd go after a cultural site."""
1412,Says Tom Hanks was photographed wearing a T-shirt with progressive slogans on it.
1413,"""Cory Booker’s son charged with assault after attack on Santa."""
1415,An old image shows a drug store with a marijuana leaf sign.
1418,"""In Bakersfield, where there’s a lot of oil drilling going on, there’s more solar jobs now in Bakersfield and around that area than there are oil jobs."""
1419,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton."""
1420,Image shows U.S. National Guard Sgt. Leigh Ann Hester.
1422,"Says a photo of a tortured man is U.S. diplomat Chris Stevens, who was killed in the 2012 Benghazi attack."
1423,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine."
1426,"Says William Taylor and George Kent, the public witnesses in the House impeachment inquiry, are ""Never Trumpers."""
1429,"Says Barbara Walters said Jane Fonda ""betrayed not only the idea of our country, but specific men who served and sacrificed during the Vietnam War."""
1430,"Says Donald Trump said, ""Make no mistake: They’re not after me. They are after you; your guns, your Christian values, your freedom. I’m just in their way."""
1431,"Says Brooke Baldwin said, ""Don’t hire veterans! They’re too damaged to be trusted with authority."""
1432,"Says his impeachment is a ""coup."""
1435,"""To be clear, I’m not talking about confiscating anybody’s guns."""
1439,"Says Saddam Hussein said, ""We cannot defeat America by the sword. America must be defeated within their politics."""
1441,"Says John Bolton ""fundamentally was a man of the left."""
1443,"""When two large whales do the nasty there’s sometimes this one bro who just sort of holds them up so they don’t float off."""
1444,"The Amazon rainforest fires are ""directly related to trade"" tensions between the United States and China."
1446,"Referring to the Iraq War, ""immediately, the moment it started, I came out against the war at that moment."""
1450,"Says ""Muhammad owned many slaves"" while Robert E. Lee was ""against slavery."""
1451,"""Trump is as destructive a person in this century as Hitler, Stalin, and Mao were in the last century. He may be responsible for many more million deaths than they were."""
1452,"Says Hitler said, ""This year will go down in history. For the first time, a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future!"""
1453,"U.S. tariffs on China are ""not hurting anybody"" in the United States."
1455,"Says Pennsylvania chemical plant and Louisiana liquified natural gas plant ""could never have happened"" without his administration."
1458,"Says U.S. Rep. Ilhan Omar has been ""arrested 23 times"" and is the ""daughter of (a) Somali terrorist."""
1462,"U.S. farmers are receiving $16 billion ""out of the tariffs that we’ve gotten from China."""
1463,"Says a photo showing thousands on a ship next to a crowded dock are ""Europeans trying to get to North Africa during World War II."""
1467,"""A study was done, a post-mortem, so a retrospective study done, looking at autopsies and drug levels, what drugs were in the blood of veterans that committed suicide, and 70 percent had THC."""
1468,"Says recent changes to Austin city policy give homeless people more rights than property owners and allow for ""homeless camps on private property, business frontage, and even public sidewalks."""
1472,A bike a boy chained to a tree in Washington state in 1914 is now a fallen soldier memorial.
1479,"""How to Survive The Coming Ice Age"" was a Time magazine cover story in 1977."
1481,"Tariffs are ""paid for mostly by China, by the way, not by us."""
1484,"""I was always labeled as one of the most liberal members of the United States Congress."""
1485,Says Filipino news organizations are part of a plot to discredit President Rodrigo Duterte and destabilize his government.
1486,"Says one year ago, ""no cities in the South had guaranteed paid sick days."""
1487,"Says Joe Biden said, ""the Germans bombed Pearl Harbor."""
1492,"""In the ‘old days’ if you were president and you had a good economy, you were basically immune from criticism."""
1493,"An image of a woman buried up to her neck and drinking a spoonful of water was from Iran and taken just before she was ""stoned to death"" under Sharia Law."
1494,A PETA activist was taped to a tree after protesting a biker rally.
1498,Photos related to gun violence in present-day United States and the Holocaust in Nazi Germany suggest that gun control laws created or exacerbated the genocide of Jews.
1499,"Says John F. Kennedy Jr. said, ""If my dear friend Donald Trump ever decided to sacrifice his fabulous billionaire lifestyle to become president he would be an unstoppable force for ultimate justice that Democrats and Republicans alike would celebrate."""
1500,"Says his father, Fred Trump, was ""born in a very wonderful place in Germany."""
1501,"Quotes Harriet Tubman as saying, ""I freed a thousand slaves. I could have freed a thousand more if only they knew they were slaves."""
1502,"""When Winston Churchill was asked to cut arts funding in favour of the war effort, he simply replied, ‘then what are we fighting for?’ """
1503,"Says Joseph Stalin said, ""It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything."""
1504,"Says a photograph of Harriet Tubman shows she was a ""gun-toting, Democrat-shooting, 2nd Amendment-supporting Republican."""
1506,"Quotes Albert Einstein as saying ""I fear the day technology will surpass human interaction. The world will have a generation of idiots."""
1507,"""We could build 30 walls with the $150 billion Obama gave to Iran."""
1508,"""America came along as the first country to end (slavery) within 150 years."""
1509,"Says Alexandria Ocasio-Cortez said, ""We’ll never have to worry about China attacking us! They are 12 hours ahead, so we’ll have plenty of time to shoot down their missiles!"""
1511,"Says Sen. Bernie Sanders lived off welfare before he was elected, never held a ""9-5 job"" and hasn’t proposed a single bill that passed."
1512,"""CNN uses the same girl in 3 different Refugee Crisis pictures being saved by 3 different men."""
1514,"""Drug-related offenses make up as much as 75-85 percent of inmate populations"" in Wisconsin"
1520,"Potential Foxconn changes are due to ""the wave of economic uncertainty"" from Evers administration"
1521,"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote."""
1522,"Says Planned Parenthood founder Margaret Sanger said, ""Slav, Latin and Hebrew immigrants are human weeds . . . a deadweight of human waste. Blacks, soldiers and Jews are a menace to race."""
1524,"""BREAKING: Trump family donates $1 billion to wall fund."""
1526,"""When I say Mexico is going to pay for the wall, that's what I said. Mexico is going to pay. I didn't say they're going to write me a check for $20 billion or $10 billion."""
1527,"Says ""the Rothschild family holds about 80 percent of the world’s total wealth"" and has the ability to ""literally feed, clothe and settle every man, woman and child on the planet if they wanted to."""
1528,"""The reason Russia was in Afghanistan was because terrorists were going into Russia."""
1530,"""This midterm (election), the president did better than the average president does in his first midterms."""
1532,A woman died mysteriously after reporting on Robert Mueller destroying text messages.
1533,"Says troops recently received ""one of the biggest pay raises"" ever, and that it was the first pay increase in ""more than 10 years."""
1534,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria."
1537,"Says the White House nativity scene was removed by the Obamas and ""is back in the White House thanks to First Lady Melania Trump."""
1540,"""In the House, Republicans dramatically outperformed historical precedents."""
1541,"""Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day"""
