,claim,truth_value
160,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",meter-false
161,Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.”,meter-false
162,U.S. has biological weapons labs in Ukraine.,meter-false
163,"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world.""",meter-false
164,Russia is targeting U.S. biological weapons labs in Ukraine invasion.,meter-false
165,"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.""",meter-false
166,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-true
167,"President Donald ""Trump’s latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia.""",meter-false
168,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",meter-false
169,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",meter-true
170,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",meter-false
171,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",meter-false
172,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",meter-false
173,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",meter-false
174,Photo shows fighting in Ukraine.,meter-false
175,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",meter-false
176,"""The United States doesn’t have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States.""",meter-true
177,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,meter-false
178,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,meter-false
179,Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false
180,"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”",meter-false
181,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",meter-false
182,"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.""",meter-false
183,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",meter-false
184,"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”",meter-false
185,"""104 House Democrats voted for impeachment before the Ukraine call took place.""",meter-false
186,"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",meter-true
187,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",meter-false
188,"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",meter-false
189,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",meter-false
190,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",meter-true
191,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",meter-true
192,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",meter-false
193,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",meter-false
194,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",meter-true
195,"The United States ""is number one in the world in energy resources; Russia is number two.""",meter-true
196,"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",meter-true
197,"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",meter-true
198,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,meter-false
199,“The Simpsons predicted Pizzagate.”,meter-false
200,A video shows migrants faking tears for news cameras.,meter-false
201,The Federal Reserve “has suspended the availability of new currency.”,meter-false
202,“The CEO of FTX is the daughter of the chairman of the SEC.”,meter-false
203,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",meter-false
204,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,meter-false
205,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,meter-false
206,The price of gas is “down from over $5 when I took office.”,meter-false
207,Today’s high food prices were planned during a 2015 food shortage simulation.,meter-false
208,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,meter-false
209,"There are “100,000 kids in cages” under the Getty art museum.",meter-false
210,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",meter-true
211,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",meter-false
212,"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",meter-false
213,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",meter-false
214,"The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”",meter-false
215,“Norway readies its military to counter Biden.”,meter-false
216,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",meter-false
217,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",meter-true
218,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,meter-false
219,Vladimir Putin “is fleeing the war!”,meter-false
220,“Pelosi’s panel ready to arrest Trump.”,meter-false
221,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,meter-false
222,"""Democrats' radical green energy policies caused record gas prices. """,meter-false
223,"“The pope, Xi and Putin all meet to plan world events!”",meter-false
224,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,meter-false
225,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,meter-false
226,Joe Biden threatened to assassinate Ukraine’s former president.,meter-false
227,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,meter-false
228,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,meter-false
229,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,meter-false
230,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,meter-false
231,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-false
232,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,meter-false
233,"""Thanks to failed Dem policies, beer is 9.1% more expensive.""",meter-true
234,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,meter-false
235,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,meter-false
236,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",meter-false
237,“Belarus declares war on Poland.”,meter-false
238,“Biden impeachment in progress.”,meter-false
239,“Moscow was engulfed in flames” after a giant explosion.,meter-false
240,Ukrainian “attack destroys skyscraper in Moscow.”,meter-false
241,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,meter-false
242,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,meter-false
243,“In every other major industrial country in the world … inflation is higher.”,meter-true
244,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",meter-false
245,Three mass shootings were meant to distract from Hillary Clinton controversies.,meter-false
246,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,meter-false
247,“Bennie Thompson actively cheer-led riots in the ’90s.”,meter-false
248,The official pride flag was altered to include Ukrainian colors.,meter-false
249,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,meter-false
250,Biden gave Americans “the cheapest gas prices on Earth.”,meter-false
251,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",meter-true
252,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",meter-false
253,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",meter-false
254,A photo of Ukrainians with paintball guns proves the war is staged.,meter-false
255,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,meter-false
256,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,meter-false
257,"“When unemployment goes down, inflation goes up.”",meter-false
258,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,meter-false
259,“Finland joins NATO.”,meter-false
260,The NewProfilePic app is Russian spyware.,meter-false
261,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,meter-true
262,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-true
263,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-false
264,NBC News “covered up Hunter Biden laptop story.”,meter-false
265,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,meter-false
266,"Blinken, Austin trip to Kyiv may have been staged",meter-false
267,Fires at food processing plants are an “attempt to starve us.”,meter-false
268,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,meter-false
269,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,meter-false
270,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",meter-true
271,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",meter-false
272,"Joe Biden's spending “has sent prices skyrocketing.""",meter-true
273,March 2022 moon crash was orchestrated by the government and visible from Earth.,meter-false
274,Fuel containing 15% ethanol will ruin a car engine.,meter-false
275,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,meter-false
276,Poland palace that Biden visited is fake.,meter-false
277,“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,meter-true
278,"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",meter-false
279,"""Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says.""",meter-false
280,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”,meter-false
281,"Says Mike Gibbons said ""military service doesn't count as real work.""",meter-false
282,"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",meter-true
283,The Strategic Petroleum Reserve has “been mostly empty” for decades.,meter-false
284,A video shows crowds shouting profanity at Joe Biden.,meter-false
285,"“You go to a store, they don’t have bread.”",meter-false
286,"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”",meter-true
287,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",meter-false
288,Putin beheaded bioweapon engineers in Ukraine.,meter-false
289,Gas prices are high “due to the Democrats’ war on fossil fuels.”,meter-false
290,A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.,meter-false
291,A photo of President Joe Biden leaving for Europe that the White House tweeted wasn’t actually taken on March 23.,meter-false
292,Ukrainian President Volodymyr Zelenskyy wore a Nazi cross symbol.,meter-false
293,"""Documents were published confirming Moderna created the COVID-19 Virus.”",meter-false
294,Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”,meter-true
295,News networks covered Brett Kavanaugh’s confirmation hearing live but not Ketanji Brown Jackson’s hearing.,meter-false
296,"“In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.”",meter-false
297,Photos show “Ukrainian farmers are slowly starting to build their own army.”,meter-false
298,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies.""",meter-false
299,Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,meter-false
300,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,meter-false
301,“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”,meter-true
302,"A video shows “massive explosion as Ukraine destroyed 280 Russian tanks to pieces using U.S. Javelin missiles.""",meter-false
303,"“While Ukrainians bled and died, Congressman Budd excused their killer.”",meter-false
