id,claim,truth_value,title,stated_on
14,Gen. Mark Milley has drawn scrutiny for suggesting that winter may present Ukraine an opportunity to explore a peace deal with Russia.,meter-true,Milley tries to clarify his case for a negotiated end to Ukraine war,"November 17, 2022 at 4:58 AM GMT+5:30"
15,NATO Secretary General Jens Stoltenberg said Wednesday that the explosion in Poland on Tuesday that claimed two lives was probably caused by a Ukrainian missile defending against Russian attack.,meter-true,"Russia-Ukraine war live updates: Despite reports Ukrainian defense likely caused fatal explosion, NATO blames Russia","November 16, 2022 at 11:25 AM GMT+5:30"
16,"At the G-20 in Bali and COP27 in Egypt, Russia has found itself in an unusual position — a leading topic of discussion rather than a leading player.",meter-true,Russia sees its role on the global stage diminished by Ukraine war,"November 16, 2022 at 2:35 AM GMT+5:30"
17,"The Polish government said a Russian-made missile fell into the village of Przewodów, about five miles from the Ukrainian border.",meter-true,Two dead in Poland as Ukraine war spills into NATO territory,"November 15, 2022 at 9:36 PM GMT+5:30"
18,"The Group of 20, a club of nations that was founded to tackle the 2008 financial crisis, is desperately seeking a second act.",meter-true,"Divided over Ukraine war, G-20 summit struggles on economic agenda ","November 13, 2022 at 8:47 PM GMT+5:30"
19,Ukrainian delegates hope their presence at COP27 will keep the war fresh in people's minds and spark broader discussions about the world's reliance on fossil fuels.,meter-true,"Ukraine war, Russian energy attacks loom over COP27 climate conference","November 10, 2022 at 1:00 AM GMT+5:30"
20,"U.S. monitors have inspected just 10 percent of high-risk weapons sent to Ukraine, as the Biden administration launches new measures to stop arms smuggling.",meter-true,U.S. races to track American arms in heat of Ukraine war,"November 01, 2022 at 9:51 PM GMT+5:30"
21,"Businessman Oleg Tinkov, who publicly criticized Russia's invasion in February, said he “can’t and won’t be associated with a fascist country.” ",meter-true,Banking tycoon renounces citizenship of ‘fascist’ Russia over Ukraine war,"November 01, 2022 at 3:17 PM GMT+5:30"
22,"Strikes were reported in Kyiv, Kharkiv, Zaporizhzhia and other regions days after drone strikes damaged Russian warships off the coast of Crimea.",meter-true,"Russia-Ukraine war updates: Power, water outages in Kyiv, key cities after strikes on infrastructure","October 31, 2022 at 1:00 PM GMT+5:30"
23,"Yevgeniy Prigozhin, the Russian tycoon behind mercenary group Wagner, personally told Vladimir Putin that military chiefs are mismanaging the war, U.S. officials said.",meter-true,Mercenary chief vented to Putin over Ukraine war bungling,"October 25, 2022 at 11:30 AM GMT+5:30"
24,"As Europe has turned angrily against Moscow's war in Ukraine, Russian digital nomads have flocked to Cyprus, bringing a new buzz to a longstanding expat community.",meter-true,"Cyprus, a haven for Russian expats, welcomes techies fleeing Ukraine war","October 23, 2022 at 10:30 AM GMT+5:30"
25,One of the Islamic State’s newest branches is fueling a brutal conflict that has been raging in northern Mozambique for five years — and this insurgency has global implications.,meter-true,"ISIS fighters terrorize Mozambique, threaten gas supply amid Ukraine war","October 20, 2022 at 1:30 PM GMT+5:30"
26,The increased flow of weapons could help offset steep Russian weapons losses and provide precision-guided munitions like those used in strikes in Ukraine last week.,meter-true,"Iran plans to send missiles, drones to Russia for Ukraine war, officials say","October 16, 2022 at 12:00 PM GMT+5:30"
27,Kyiv region was hit by drone strikes as NATO defense ministers met in Brussels. Russia's Vladimir Putin met with Turkey’s Recep Tayyip Erdogan in Kazakhstan.,meter-true,Russia-Ukraine war updates: Barrage of strikes on civilian areas spurs urgency for air defense aid ,"October 13, 2022 at 10:41 AM GMT+5:30"
28,"The nature and tempo of the war have changed in recent weeks, as Ukraine’s forces score victories and Russia retaliates as Putin is backed into a corner. ",meter-true,Ukraine war at a turning point with rapid escalation of conflict,"October 11, 2022 at 5:11 AM GMT+5:30"
29,Information about dissent in Vladimir Putin's inner circle was deemed significant enough that it was included in President Biden’s daily intelligence briefing.,meter-true,"Putin confronted by insider over Ukraine war, U.S. intelligence finds","October 07, 2022 at 11:30 AM GMT+5:30"
30,"The Russian president seems to have a tight grip on power but as military setbacks pile up, there is new speculation about who might want the Kremlin's top job",meter-true,"As Ukraine war falters, Russians ask a risky question: Could Putin fall? ","October 06, 2022 at 9:52 PM GMT+5:30"
31,A billionaire’s half-baked tweet shows the insidious influence of Russian propaganda.,meter-true,"Opinion | Sorry, Elon Musk. You don’t have the formula to end the Ukraine war.","October 04, 2022 at 3:28 AM GMT+5:30"
32,Marina Ovsyannikova made international headlines after protesting the war in Ukraine live on state television in March. ,meter-true,Russian journalist who protested Ukraine war on air escapes house arrest,"October 04, 2022 at 1:31 AM GMT+5:30"
33,"Russian President Vladimir Putin announced the illegal annexation of the Donetsk, Luhansk, Kherson and Zaporizhzhia regions at a ceremony in Moscow. ",meter-true,Russia-Ukraine war: U.S. imposes new sanctions over Russia’s illegal annexation,"September 30, 2022 at 9:35 AM GMT+5:30"
34,And one way the staged procedures don’t change anything.,meter-true,Analysis | Two ways those Russian referendums change the Ukraine war.,"September 28, 2022 at 9:23 PM GMT+5:30"
35,"Vladimir Putin is working to destroy the old international order. Xi Jinping is looking to build a new one, with China at its center. ",meter-true,"For Putin and Xi, Ukraine war creates wrinkle in ‘no limits’ friendship","September 16, 2022 at 7:15 PM GMT+5:30"
36,"Moscow may look normal after six months of war, but the fissures run deeper.",meter-true,Analysis | The puzzling impact of the Ukraine war on ordinary Russians,"September 08, 2022 at 9:31 AM GMT+5:30"
37,Inside a Moscow-affiliated church located at the center of American democracy.,meter-true,Perspective | How the Ukraine War Is Causing Fissures in D.C.’s Russian Orthodox Community ,"September 06, 2022 at 7:30 PM GMT+5:30"
38,"Russia’s Defense Ministry is preparing to buy “millions of rockets and artillery shells” from North Korea as it runs low on weapons in Ukraine, U.S. intelligence says. ",meter-true,"Russia buying weapons from North Korea for Ukraine war, U.S. intelligence says","September 06, 2022 at 7:02 PM GMT+5:30"
39,Poland loves coal. But Russia's invasion of Ukraine is pushing Polish citizens to embrace green measures because the shift will free them from Russian fossil fuels.,meter-true,Heat pumps take off in coal-loving Poland amid Ukraine war,"September 06, 2022 at 4:30 PM GMT+5:30"
40,"“My nervous system is calming down,” said a Ukrainian soldier who lost a leg to shrapnel. “I no longer have nightmares.”",meter-true,Ukraine’s war amputees heal through horse therapy,"September 02, 2022 at 8:16 PM GMT+5:30"
41,The Black Sea peninsula has returned to the spotlight with Russia's invasion of Ukraine and recent blasts at an ammunition depot and air base there.,meter-true,Why Crimea is so important in the Russia-Ukraine war,"August 18, 2022 at 5:37 PM GMT+5:30"
42,"A Washington Post examination of the road to war in Ukraine, and Western efforts to unite to thwart the Kremlin’s plans, draws on extensive interviews with more than three dozen senior U.S., Ukrainian, European and NATO officials.",meter-true,The Post examined the lead-up to the Ukraine war. Here’s what we learned.,"August 16, 2022 at 2:30 PM GMT+5:30"
43,The country's military is seeking to regain territory along the Black Sea coast.,meter-true,Opinion | A southern offensive opens in the Ukraine war,"August 12, 2022 at 4:40 AM GMT+5:30"
44,Russia’s occupation of eastern Ukraine has given it control over some of the most mineral-rich lands in Europe. ,meter-true,"In the Ukraine war, a battle for the nation’s mineral and energy wealth","August 10, 2022 at 11:30 AM GMT+5:30"
45,"Ukraine officials stopped short of claiming credit for the attacks on a base in Russian-controlled territory, which would mark a dramatic escalation in the war.",meter-true,"Deadly Crimea blasts are ‘just the beginning,’ Ukraine warns Russia","August 10, 2022 at 5:05 AM GMT+5:30"
46,"French President Emmanuel Macron visited Cameroon this week, calling the entire continent out for “hypocrisy."" The leader’s remarks showed a sharp contrast with those of another current visitor to the continent: Russian Foreign Minister Sergey Lavrov. ",meter-true,Analysis | Africa is being pushed to take sides in the Ukraine war,"July 28, 2022 at 9:30 AM GMT+5:30"
47,"That puts civilians at risk, research shows",meter-true,Analysis | Thousands of nontraditional fighters have joined the Ukraine war,"July 27, 2022 at 2:30 PM GMT+5:30"
48,"Daria Kasatkina, Russia’s highest-ranked women's tennis player, took a stand on LGBTQ rights and the war in Ukraine in an interview.",meter-true,"Russian tennis star criticizes Ukraine war in rare dissent, comes out as gay","July 20, 2022 at 7:07 PM GMT+5:30"
49,The ultimate outcome of this bloody conflict remains uncertain.,meter-true,Opinion | There are too many wild cards to forecast the Ukraine war,"July 20, 2022 at 4:31 AM GMT+5:30"
50,The victims struggle to cope with stigma and shame. ,meter-true,Opinion | Why it’s so hard to track sexual violence in the Ukraine war,"July 13, 2022 at 12:55 AM GMT+5:30"
51,The Pentagon announced a new shipment of four multiple-launch rocket systems to Ukraine as part of a $400 million package that also included additional ammunition and other supplies.,meter-true,Russia-Ukraine war live updates: U.S. urges end to grain export blockade as Russian shelling continues,"July 08, 2022 at 12:31 PM GMT+5:30"
52,Officials in previous conflicts often eluded concerns whether success was sustainable.,meter-true,"As Ukraine war bogs down, U.S. assessments face scrutiny","July 02, 2022 at 3:30 PM GMT+5:30"
53,"Caught in a price squeeze for both oil and fish, thousands of ""chippy"" shops could go out of business this year in Britain. ",meter-true,Ukraine war’s collateral damage: Britain’s beloved fish and chip shops,"July 02, 2022 at 11:30 AM GMT+5:30"
54,"More than 7 million Somalis face acute food insecurity, with almost 250,000 at risk of imminent starvation. ",meter-true,Africa’s desperate hunger: Ukraine war pushes Somalia toward famine  ,"June 30, 2022 at 3:30 PM GMT+5:30"
55,"“If Putin was a woman … I really don’t think he would’ve embarked on a crazy, macho war of invasion,” the British prime minister told German broadcaster ZDF.",meter-true,"Putin’s ‘toxic masculinity’ to blame for Ukraine war, Boris Johnson says","June 29, 2022 at 5:32 PM GMT+5:30"
56,"Biden, in Germany for the G-7 summit, said gold is “a major export that rakes in tens of billions of dollars for Russia.”",meter-true,Biden: G-7 to ban Russian gold imports to deny Putin revenue for Ukraine war,"June 26, 2022 at 1:40 PM GMT+5:30"
57,"Lithuania is enforcing sanctions on goods shipped to Kaliningrad, which is surrounded by NATO members and physically separated from the rest of Russia. ",meter-true,"How Kaliningrad, Russian land ringed by NATO, is tangled in Ukraine war","June 21, 2022 at 1:26 PM GMT+5:30"
58,U.S. aid to Ukraine is good — but not good enough. ,meter-true,"Opinion | This isn’t just Ukraine’s war. It’s our war, too. Act accordingly.  ","June 20, 2022 at 4:30 PM GMT+5:30"
59,"As of today, more than 100 million people have been forced to flee their homes — more than 1 percent of humanity.",meter-true,"Ukraine war pushes global displaced to record high, U.N. says","June 17, 2022 at 4:56 AM GMT+5:30"
60,The war transformed Ukraine from a breadbasket into a free-fire zone — with tragic global consequences. ,meter-true,Opinion | The ripple effect of the Ukraine war is ‘a potential mass starvation event’ ,"June 17, 2022 at 4:48 AM GMT+5:30"
61,"A poll of Europeans from 10 countries suggests public attention may turn to fears about the war's wider impact, including the rising cost of living.",meter-true,"As prices rise, Europeans divided over how Ukraine war should end","June 15, 2022 at 8:20 PM GMT+5:30"
62,"The countries said the deal to settle their 50-year dispute over Hans Island, an uninhabited outcropping in the Arctic, shows how conflicting claims can be resolved peacefully.",meter-true,Ukraine war brings peace — between Canada and Denmark,"June 15, 2022 at 2:19 AM GMT+5:30"
63,"While the Ukraine war and the pandemic might fade with time, experts say, climate change has become a persistent threat to food security, making it more difficult to respond to unforeseen shocks.",meter-true,"49 million people face famine as Ukraine war, climate disasters intensify","June 13, 2022 at 3:30 PM GMT+5:30"
64,"Short of staff, supplies and water, and facing impending Russian attack, these doctors refuse to flee.",meter-true,"Amid Ukraine war, husband and wife doctor team runs front-line hospital","June 11, 2022 at 1:30 PM GMT+5:30"
65,"The Russian czar's embrace of Europe, however, is in stark contrast with President Vladimir Putin's isolation from the West. ",meter-true,"Putin likens himself to Peter the Great, links imperial expansion to Ukraine war","June 10, 2022 at 1:28 PM GMT+5:30"
66,The dilemma is that non-Russian troops are dying to suppress a Ukraine that Putin claims is part of Mother Russia. ,meter-true,"Opinion | Putin’s Ukraine war draws on his vision of nationalism, exceptionalism","June 10, 2022 at 2:50 AM GMT+5:30"
67,"Estonia, Latvia and Slovakia join a multinational effort to investigate war crimes during Russia’s invasion of Ukraine.",meter-true,Russian soldiers get prison terms in second Ukraine war crimes trial ,"June 01, 2022 at 1:28 AM GMT+5:30"
68,Americans and other foreign fighters who’ve taken up arms against Russia describe glaring disparities between what they expected and what they’ve experienced. ,meter-true,"Ukraine war volunteers are coming home, reckoning with difficult fight","May 29, 2022 at 4:37 AM GMT+5:30"
69,"For Davos regulars, more accustomed to talking about global interconnectedness than geopolitical ruptures, it’s a strange new world. ",meter-true,Analysis | Ukraine war brings an unusual moral edge to Davos,"May 25, 2022 at 9:31 AM GMT+5:30"
70,Those who provide history and context around the conflict should not be silenced or smeared.,meter-true,Opinion | We need a real debate about the Ukraine war,"May 24, 2022 at 4:30 PM GMT+5:30"
71,Sweden and Finland’s accession into NATO was supposed to be straightforward. But then Turkey entered the stage.,meter-true,Analysis | Turkey’s awkward role in the Russia-Ukraine war,"May 20, 2022 at 9:31 AM GMT+5:30"
72,This week's Free for All letters.,meter-true,"Opinion | Readers critique The Post: What’s confusing, and missing, from Ukraine war coverage","May 13, 2022 at 8:11 PM GMT+5:30"
73,The Biden administration aims to show that its heavy involvement in the Ukraine war is not a distraction from its priorities to the East. ,meter-true,Analysis | Biden pivots to Asia as Ukraine war rages on,"May 13, 2022 at 9:31 AM GMT+5:30"
74,"U.N. human rights commissioner Michelle Bachelet called the scale of civilian killings areas around the Ukrainian capital formerly occupied by Russian troops ""shocking.""",meter-true,U.N. Human Rights Council votes to deepen Ukraine war crimes inquiry,"May 12, 2022 at 7:15 PM GMT+5:30"
75,"The pandemic didn't go away, but global attention may be elsewhere.",meter-true,"Analysis | Remember covid? Ukraine war, inflation upstage global virus summit.","May 12, 2022 at 9:31 AM GMT+5:30"
76," The vast majority of Ukrainian refugees are women and children, the two groups most vulnerable to falling victim to labor and sexual abuse",meter-true,"Human trafficking likely to increase as Ukraine war drags, groups warn","May 11, 2022 at 1:55 AM GMT+5:30"
77,Experts anticipated a Moscow-led cyber assault; instead unprecedented attacks by hacktivists and criminals have wreaked havoc in Russia ,meter-true,Hacking Russia was off-limits. The Ukraine war made it a free-for-all.,"May 01, 2022 at 3:30 PM GMT+5:30"
78,"""When I see those destroyed buildings, I must say what I feel. I imagined my family in one of those houses that is now destroyed and black,” said the secretary general in Borodyanka, Ukraine.",meter-true, U.N. chief calls Ukraine war ‘evil’ and ‘an absurdity’ on Kyiv visit,"April 28, 2022 at 11:52 PM GMT+5:30"
79,"Muslims join the war effort as fighters or volunteers: ""We’re the minority here, but we’re a part of this country. We must do something.""",meter-true,"For Muslims in Ukraine, war revives questions of faith and belonging","April 28, 2022 at 11:30 AM GMT+5:30"
80,"The country is often seen as a quirk of geography and history, though it also became more worryingly known as a murky hub for organized crime and people smuggling.",meter-true,Analysis | Mysterious attacks in Transnistria add further intrigue to Ukraine war,"April 28, 2022 at 9:31 AM GMT+5:30"
81,"Military expenditures increased worldwide in 2021, according to the Stockholm International Peace Institute, surpassing $2 trillion for the first time. ",meter-true,"Russia boosted military spending ahead of Ukraine war, report says ","April 25, 2022 at 11:50 PM GMT+5:30"
82,Greenpeace protesters want the Norwegian government to impose an embargo on Russian oil imports in response to the war in Ukraine.,meter-true,Ukraine war protesters in kayaks chain themselves to Russian oil tanker,"April 25, 2022 at 7:57 PM GMT+5:30"
83,"New York is home to the largest number of Ukrainian and Russian immigrants in the United States. ""Since the war began, we live in two time zones.""",meter-true,The Ukraine war through the eyes of Ukrainian and Russian New Yorkers,"April 25, 2022 at 3:30 PM GMT+5:30"
84,"An adviser to Ukraine's president accused Russia of a surge in airstrikes on Mariupol's Azovstal Iron and Steel Works and alleged that invasion forces are preparing to storm the site, where remaining defenders and many civilians are holed up.",meter-true,"Russia-Ukraine war updates: Zelensky says Blinken, Austin will visit Sunday; strikes in Odessa kill at least 8 ","April 23, 2022 at 9:45 AM GMT+5:30"
85,"A Mariupol resident has created a website to track the missing and dead, providing a window into the grim toll of Russia's war in Ukraine.",meter-true,"In Mariupol, a website for the missing reveals Ukraine war’s toll","April 22, 2022 at 11:41 PM GMT+5:30"
86,U.N. Development Program warns of massive shocks from the conflict,meter-true,"Analysis | Fuel, food, finance: Brace for impact from Russia’s Ukraine war","April 21, 2022 at 9:18 PM GMT+5:30"
87,U.S. commanders think the next two to four weeks could be decisive.,meter-true,"Opinion | As Ukraine war shifts, the Russians have every advantage but one","April 20, 2022 at 3:57 AM GMT+5:30"
88,"With no sign of an early end to the war in Ukraine, the risk is growing that the conflict will tip a fragile global economy into recession.",meter-true,Analysis | A greater economic toll from Ukraine war looms,"April 12, 2022 at 9:09 PM GMT+5:30"
89,Marina Ovsyannikova has joined Germany's Die Welt a month after she interrupted a live Russian state TV broadcast to protest the war in Ukraine.,meter-true,Russian journalist who protested Ukraine war on TV hired by German outlet,"April 12, 2022 at 2:24 PM GMT+5:30"
90,Here’s what our survey of Middle East scholars found.,meter-true,Analysis | Ukraine war has side effects on Middle East geopolitics,"April 11, 2022 at 10:10 PM GMT+5:30"
91,"Ukraine's president has called for global protests in solidarity with his country, and demonstrators have taken to the streets in many nations to protest the Russian invasion.",meter-true,"Photos: From New York to Tokyo, Ukraine war protests continue","April 09, 2022 at 7:20 PM GMT+5:30"
92,"The 41-year-old mother's mental health had deteriorated after her native Russia invaded Ukraine, her husband told police.",meter-true,"A Wis. mom ‘amped up’ by Ukraine war killed her 8-year-old, police say","April 08, 2022 at 4:33 PM GMT+5:30"
93,"The open-ended war in Ukraine has thrown the Pentagon’s long-term planning into question, with senior U.S. defense officials expected to revamp how they deploy military forces in Eastern Europe and the Baltics amid deepening anxiety over Russia’s broader ambitions.",meter-true,"As Ukraine war drags on, Pentagon makes long-term plans for Europe","April 06, 2022 at 4:53 AM GMT+5:30"
94,"The war in Ukraine looms large, but it hasn’t fundamentally shifted the election’s key currents.",meter-true,"Ukraine war boosted Macron, but far right surging ahead of French vote","April 05, 2022 at 3:17 PM GMT+5:30"
95,"Russian troops left a Danish island after World War II, offering a blueprint for getting them out of Ukraine.",meter-true,Perspective | A forgotten Russian retreat is a model for ending the Ukraine war,"April 04, 2022 at 3:30 PM GMT+5:30"
96,"Sieges, bombardments of civilian areas, disinformation: These are the tactics Russia is recycling in Ukraine from its intervention in Syria.",meter-true,"Russia’s Ukraine war builds on tactics it used in Syria, experts say","March 31, 2022 at 6:01 PM GMT+5:30"
97,"The E.U. is expected to pressure China over its support for Russia, while Beijing is said to be dismayed with the bloc's backing of the U.S. position on the war in Ukraine.",meter-true,How the Ukraine war has Europe reassessing its relationship with China,"March 31, 2022 at 4:13 PM GMT+5:30"
98,"Thousands of IT professionals are fleeing the country, creating a brain drain that may never be reversed.",meter-true,Analysis | Putin’s Ukraine War Is Hollowing Out Russia’s Tech Future,"March 29, 2022 at 1:35 AM GMT+5:30"
99,The Russian president has given no signs of wavering despite mounting military losses.,meter-true,‘Diminishing returns’: What can change the course for Putin in the Ukraine war?,"March 27, 2022 at 1:30 PM GMT+5:30"
100,"NATO estimates that up to 40,000 Russian troops have been killed, wounded or taken prisoner so far in Ukraine, a senior alliance official said.",meter-true,"Russia could have lost as many as 15,000 troops in Ukraine war, NATO official estimates","March 24, 2022 at 6:48 PM GMT+5:30"
101,"“A month ago, I was busy wearing a suit and tie,” says a Ukrainian lawyer turned soldier. “Now I command 140 people.”",meter-true,"One month into the Ukraine war, a defiant nation is forever changed but adapting","March 24, 2022 at 3:30 PM GMT+5:30"
102,"Though the U.S. has warned China against aiding Russia in its war, Xi Jinping has made a long-term bet on military cooperation with Russia.",meter-true,China and Russia’s military relationship likely to deepen with Ukraine war ,"March 21, 2022 at 5:19 PM GMT+5:30"
103,"For Gen Xers who grew up with songs like Frankie Goes to Hollywood’s “Two Tribes” and movies like “The Day After,” 1980s Cold War pop culture is feeling uncomfortably timely again.",meter-true,Ukraine war gives Gen Xers flashbacks to 1980s nuclear war songs and movies,"March 20, 2022 at 4:30 PM GMT+5:30"
104,Conservative lawmakers are now fast-tracking legislation that would allow large-scale mining in the pristine territory.,meter-true,‘A good opportunity for us’: Brazil’s Bolsonaro uses Ukraine war to justify exploiting Indigenous land,"March 19, 2022 at 3:30 PM GMT+5:30"
105,"India, the world’s biggest oil importer behind China and the United States, has agreed to purchase 3 million barrels of Russian oil at a heavy discount, an Indian official said.",meter-true,"As sanctions over Ukraine war mount, Russia turns to India to buy oil and arms","March 17, 2022 at 10:37 PM GMT+5:30"
106,This collection of audio stories covers topics such as America's broken health-care system and parenting.,meter-true,"Opinion | The language of the Ukraine war, why covid feels ‘over’ to some | 5 audio essays read by the author","March 17, 2022 at 4:30 PM GMT+5:30"
107,The food price surge will also complicate global efforts to fend off hunger in conflict-ridden and fragile states.,meter-true,"Analysis | Flour rationing in Lebanon, grain hoarding in Hungary: How the Ukraine war is lurching the globe toward a new food crisis","March 11, 2022 at 10:31 AM GMT+5:30"
108,"As the war heats up, dozens of distant countries are set to feel the burn.",meter-true,Opinion | The Ukraine war could leave hundreds of millions hungry around the world,"March 08, 2022 at 1:37 AM GMT+5:30"
109,They've got some explaining to do.,meter-true,Opinion | Right-wing nationalists backpedal as Putin’s Ukraine war worsens,"March 04, 2022 at 11:39 PM GMT+5:30"
110,"Recent anti-Russian sentiment in the U.S. shows the frustration many Americans feel toward the war in Ukraine, as well as a lack of understanding about the conflict, one expert said.",meter-true,"As Ukraine war intensifies, some Russian speakers far from Moscow are feeling hostility","March 04, 2022 at 2:04 AM GMT+5:30"
111,Here’s what you need to know about SWIFT and the debate about whether to pressure the network to exclude Russian financial institutions.,meter-true,"What is SWIFT, and why does it matter in the Russia-Ukraine war?","February 26, 2022 at 11:43 PM GMT+5:30"
112,,meter-true,Zelensky rips the West for inaction as shelling makes Russia-Ukraine war seem increasingly imminent,"February 20, 2022 at 6:16 AM GMT+5:30"
113,The sharp uptick in firing from the separatists’ side over the past three days has shaken even the war-weary.,meter-true,"In Ukraine’s war-weary east, intensifying shelling and battered homes signal attempts at provocation by Russia","February 20, 2022 at 12:30 AM GMT+5:30"
114,It was the first effort in three years to wind back Europe’s most significant military conflict.,meter-true,"Putin, Zelensky, Merkel join Macron in Paris for talks to end Ukraine war","December 09, 2019 at 8:32 PM GMT+5:30"
115,"Hackers leaked the names, telephone numbers, e-mail addresses, affiliations, and travel dates of journalists,  human rights activists onto vigilante websites that have been used to unmask opposing fighters in southeast Ukraine's two year-old war.",meter-true,Hackers have doxed all the reporters covering east Ukraine’s war. Twice.,"May 27, 2016 at 2:30 PM GMT+5:30"
116,hursday’s commemoration was an eerie throwback to the Soviet era.,meter-true,"Celebrating Stalingrad, Putin tries to justify his Ukraine war ",
117,"In early 1917, protests dislodged a brutal and corrupt system, but it ended badly",meter-true,"For post-revolution Ukraine, warnings from Russia’s past","April 05, 2014 at 4:25 AM GMT+5:30"
118,"Before the Ukraine war, Volodymyr Zelenskyy travelled to western European capitals as a junior partner from one of many poorer eastern countries",meter-true,"Prepped and eloquent, Zelenskyy wows Europe's leaders","February 11, 2023 at 1:26 AM GMT+5:30"
119,Ukraine’s wartime leader Volodymyr Zelenskyy has now been bestowed with France’s highest medal of honor,meter-true,Macron weighs kicking Putin out of French Legion of Honor,"February 10, 2023 at 9:27 AM GMT+5:30"
120,Chevron and ExxonMobil posted record profits as the Ukraine war and sanctions on Russia left the global energy supply out of balance.,meter-true,"Shell adds to oil industry’s record profits, with $41.6 billion  ","January 31, 2023 at 5:09 PM GMT+5:30"
121,The Bulletin of the Atomic Scientists set the symbolic Doomsday Clock for the first time since the Ukraine war revived fears of nuclear disaster.,meter-true,"Doomsday Clock hits 90 seconds to midnight, its most dire prediction ever","January 23, 2023 at 10:31 AM GMT+5:30"
122,"Andrey Medvedev left the mercenary Wagner Group after witnessing its killing of the group's deserters during the Ukraine war, according to a Russian human rights group.",meter-true,"Former commander in Russia’s Wagner Group seeking asylum, Norway says","January 17, 2023 at 6:51 PM GMT+5:30"
123,"Russian President Vladimir Putin spoke with Chinese President Xi Jinping, seeking to strengthen ties as the Ukraine war deepens his international isolation.",meter-true,Putin and Xi highlight Russia-China cooperation against backdrop of war,"December 30, 2022 at 4:55 PM GMT+5:30"
124,"Sébastien Lecornu's visit, which includes a working meeting to discuss future French support for Ukraine's war effort, marks his first trip since the invasion began.",meter-true,Ukraine live briefing: French defense minister visits Kyiv; Paul Whelan marks four years in Russian detention ,"December 28, 2022 at 1:15 PM GMT+5:30"
125,"The country's defense industry, long driven by persistent threats from the North, sees new opportunities to sell globally because of the Ukraine war. ",meter-true,South Korea ramps up arms exports in goal to become world supplier,"December 23, 2022 at 12:30 PM GMT+5:30"
126,"The Russia-Ukraine war, the Musk-Twitter saga and Roe v. Wade dominated debates.",meter-true,Analysis | These tech policy stories defined 2022,"December 22, 2022 at 8:57 AM GMT+5:30"
