,Unnamed: 0,claim,truth_value,simple_sentence
25,25,Kyiv disregards the lives of its soldiers and civilians,meter-false,Kyiv disregards the lives of its soldiers civilians. Kyiv disregards the lives of soldiers civilians. 
26,26,The kidnapping of Ukrainian children by Russia is an absurd hoax,meter-false,The kidnapping of Ukrainian children by Russia is an absurd hoax
27,27,The EU might start a war against Belarus and Transnistria,meter-false,The EU might start a war against Belarus. The EU might start a war against Transnistria. 
28,28,Ukraine court orders demolition of Orthodox church,meter-false,Ukraine court orders demolition of Orthodox church
29,29,Russia has not received serious proposals about a solution for Ukraine war since March 2022,meter-false,Russia has not received serious proposals about a solution for Ukraine war since March 2022
30,30,The US is going to use psychotropic weapons against Russian army in Ukraine,meter-false,The US is going to use psychotropic weapons against Russian army in Ukraine
31,31,The US supplied Ukraine with poisonous substances,meter-false,The US supplied Ukraine with poisonous substances
32,32,"Radioactive substances brought to Ukraine could be used to make a ""dirty bomb""",meter-false,"Radioactive substances brought to Ukraine could be used to make a ""dirty bomb"""
33,33,Kyiv rejected China's peace initiatives under direct influence of the US and the EU,meter-false,Kyiv rejected China 's peace initiatives under direct influence of the US. Kyiv rejected China 's peace initiatives under direct influence of the EU. 
34,34,Today NATO operates as Russia's enemy,meter-false,Today NATO operates as Russia's enemy
35,35,The West and Kyiv may start provocations against Transnistria,meter-false,The West may start provocations against Transnistria. Kyiv may start provocations against Transnistria. 
36,36,Crimea voted overwhelmingly to join Russia following Maidan,meter-false,Crimea voted overwhelmingly to join Russia following Maidan
37,37,The weapons sent to Ukraine end up in the hands of criminal groups in Sweden,meter-false,The weapons sent to Ukraine end up in the hands of criminal groups in Sweden
38,38,Romania is concentrating air defense systems to Moldova’s border,meter-false,Romania is concentrating air defense systems to Moldova’s border
39,39,Russian air accidents occur because of international sanctions,meter-false,Russian air accidents occur. Russian air of international sanctions. 
40,40,NATO is party to Ukraine conflict,meter-false,NATO is party to Ukraine conflict
41,41,20 thousand Polish soldiers fight in Ukraine – 2500 have been killed already,meter-false,20 thousand Polish soldiers fight in Ukraine – 2500 have been killed already
42,42,Fifty countries are trying to wipe Russia off the earth,meter-false,Fifty countries are trying to wipe Russia off the earth
43,43,"The Kyiv regime is doomed, it resembles Nazi Germany in spring 1945",meter-false,"The Kyiv regime is doomed, it resembles Nazi Germany in spring 1945"
44,44,Ukrainian authorities are preparing a provocation against Transnistria,meter-false,Ukrainian authorities are preparing a provocation against Transnistria
45,45,Ukraine conflict made Europe a slave to the US,meter-false,Ukraine conflict made Europe a slave to the US
46,46,Ukraine nationalists planning false-flag operation in Transnistria / Moldova,meter-false,Ukraine nationalists planning false-flag operation in Transnistria / Moldova
47,47,The proxy war of the West against Russia started with the Maidan coup in 2014,meter-false,The proxy war of the West against Russia started with the Maidan coup in 2014
48,48,The UN deliberately hampered the rotation of IAEA inspectors at Zaporizhzhia NPP,meter-false,The UN deliberately hampered the rotation of IAEA inspectors at Zaporizhzhia NPP
49,49,Criminal White House wants to escalate confrontation with Russia,meter-false,Criminal White House wants to escalate confrontation with Russia
50,50,Hitler Youth in Ukraine: Kiev regime creates an army of children,meter-false,Hitler Youth in Ukraine: Kiev regime creates an army of children
51,51,Foreign mercenaries in Ukraine are fighting on the wrong side,meter-false,Foreign mercenaries in Ukraine are fighting on the wrong side
52,52,Biden’s visit to Kyiv confirms that Ukraine does the US bidding,meter-false,Biden’s visit to Kyiv confirms that Ukraine does the US bidding
53,53,Biden’s visit to Ukraine shows “who’s the boss in the house”,meter-false,Biden ' s visit to Ukraine shows `` ' s the boss in the house ''. 
54,54,Ukrainian soldiers carry out capital punishment of foreign mercenaries,meter-false,Ukrainian soldiers carry out capital punishment of foreign mercenaries
55,55,"EU, US, and NATO use Ukrainians as cannon fodder",meter-false,EU use Ukrainians as cannon fodder. US use Ukrainians as cannon fodder. Use Ukrainians as cannon fodder. NATO use Ukrainians as cannon fodder. 
56,56,Biden’s visit to Kyiv proves that the West is a direct party in the Ukrainian war,meter-false,Biden’s visit to Kyiv proves that the West is a direct party in the Ukrainian war
57,57,Spanish National Strategy on WMD out of concern about corrupt Ukraine,meter-false,Spanish National Strategy on WMD out of concern about corrupt Ukraine
58,58,US encourages anti-Russian aspirations of former Warsaw Pact members,meter-false,US encourages anti-Russian aspirations of former Warsaw Pact members
59,59,"Poland, just like Ukraine, will fight Russia on behalf of the US",meter-false,"Poland, just like Ukraine, will fight Russia on behalf of the US"
60,60,"US is waging the Ukraine war, so Russia should negotiate with it",meter-false,"US is waging the Ukraine war, so Russia should negotiate with it"
61,61,Ukraine will build concentration camps for captured Russians,meter-false,Ukraine will build concentration camps for captured Russians
62,62,The US blew up Nord Stream so that the EU would arm Ukraine,meter-false,The US blew up Nord Stream so that the EU would arm Ukraine
63,63,Poland has trained Ukrainian war criminals for decades,meter-false,Poland has trained Ukrainian war criminals for decades
64,64,NATO aims to turn Ukraine into a powerful anti-Russia springboard,meter-false,NATO aims to turn Ukraine into a powerful anti-Russia springboard
65,65,Russian special operation was provoked by Ukraine and the West,meter-false,Russian special operation was provoked by Ukraine. Russian special operation was provoked by the West. 
66,66,Ukraine was preparing to attack Belarus before the Russian special military operation,meter-false,Ukraine was preparing to attack Belarus before the Russian special military operation
67,67,The West wants to drag Belarus into the war,meter-false,The West wants to drag Belarus into the war
68,68,Residents burned down the enlistment office in Kharkiv because of the forced mobilisation,meter-false,Residents burned down the enlistment office in Kharkiv   of the forced mobilisation. 
69,69,"Kyiv, the US and Europe prepare a media provocation to turn the world against Russia",meter-false,Kyiv prepare a media provocation to turn the world against Russia. The US prepare a media provocation to turn the world against Russia. Europe prepare a media provocation to turn the world against Russia. 
70,70,Sanctions are part of the hybrid war against Russia.,meter-false,Sanctions are part of the hybrid war against Russia.
71,71,Western hybrid war against Russia aims to turn it into a rogue state,meter-false,Western hybrid war against Russia aims to turn it into a rogue state
72,72,Containers with radioactive substances were delivered from Europe to Ukraine for a provocation to accuse Russia,meter-false,Containers with radioactive substances were delivered from Europe to Ukraine for a provocation to accuse Russia
73,73,Ukraine is anti-Russian bridgehead,meter-false,Ukraine is anti-Russian bridgehead
74,74,Nazi Ukrainian regime wants to use childeren and elderly as cannon fodder,meter-false,Nazi Ukrainian regime wants to use childeren. Nazi Ukrainian regime wants to elderly as cannon fodder. 
75,75,Ukrainian troops used chemical weapons,meter-false,Ukrainian troops used chemical weapons
76,76,"Scholz: requests to send planes, submarines to Ukraine undermine NATO unity",meter-false,"Scholz: requests to send planes, submarines to Ukraine undermine NATO unity"
77,77,Poland shut border crossing with Belarus because of imperialism and territorial claims,meter-false,Poland shut border crossing with Belarus because of imperialism and territorial claims
78,78,Ukraine’s use of chemical weapons makes the conflict increasingly complex,meter-false,
79,79,Sending tanks to Ukraine faces strong criticism in the German government,meter-false,Sending tanks to Ukraine faces strong criticism in the German government
80,80,Ukraine lost so many soldiers that next step is to enroll children,meter-false,Ukraine lost so many soldiers that next step is to enroll children
81,81,"The Baltic states, Poland, and the UK support racial discrimination against Russia’s athletes at Olympic games",meter-false,The Baltic states against Russia ' s athletes at Olympic games. Poland against Russia ' s athletes at Olympic games. The UK support racial discrimination against Russia ' s athletes at Olympic games. 
82,82,Russia is fighting the Nazi International,meter-false,Russia is fighting the Nazi International
83,83,US relationship with the EU is that between hegemon and vassals,meter-false,US relationship with the EU is that between hegemon vassals. 
84,84,"France, Germany failed to encourage Ukraine's implementation of the Minsk agreements",meter-false,"France, Germany failed to encourage Ukraine's implementation of the Minsk agreements"
85,85,The West has supported anti-Russian élite in Ukraine to destroy Russia,meter-false,The West has supported anti-Russian élite in Ukraine to destroy Russia
86,86,Ukraine wanted to use a missile attack to escalate and involve NATO in the conflict,meter-false,Ukraine wanted to use a missile attack to escalate. Ukraine wanted to use a missile attack to involve. Ukraine wanted to use a missile attack to NATO in the conflict. 
87,87,Nord Stream destruction was American terrorist attack,meter-false,Nord Stream destruction was American terrorist attack
88,88,US assistance to Ukraine is manifestation of German “Drang nach Osten” concept,meter-false,US assistance to Ukraine is manifestation of German “Drang nach Osten” concept
89,89,Ukraine uses weapons prohibited by international conventions,meter-false,Ukraine uses weapons prohibited by international conventions
90,90,Under Minsk Agreements Donetsk & Luhansk could return to Ukraine in exchange for refusing to join NATO,meter-false,Under Minsk Agreements Donetsk & Luhansk could return to Ukraine in exchange for refusing to join NATO
91,91,Ukrainian troops used chemical weapons in Kypuche and Soledar,meter-false,Ukrainian troops used chemical weapons in Kypuche. Ukrainian troops used chemical weapons in Soledar. 
92,92,Republicans in Congress supported the transfer of part of Ukraine to Russia,meter-false,Republicans in Congress supported the transfer of part of Ukraine to Russia
93,93,"NATO supports Ukraine because of its titanium reserves, according to Newsweek magazine",meter-false,NATO supports Ukraine   of its titanium reserves  according to Newsweek magazine. 
94,94,Tanks to be delivered to Ukraine under Washington’s pressure,meter-false,Tanks to be delivered to Ukraine under Washington’s pressure
95,95,The US and NATO did everything possible to escalate the situation in Eastern Europe,meter-false,The US did everything possible to escalate the situation in Eastern Europe. NATO did everything possible to escalate the situation in Eastern Europe. 
96,96,Anglo-Saxons are fighting with Russia until the last Ukrainian and Pole,meter-false,Anglo-Saxons are fighting with Russia until the last Ukrainian. Anglo-Saxons are fighting with Russia until Pole. 
97,97,Polish PM proposed to Zelenskyy to transfer part of Western Ukraine to Poland,meter-false,Polish PM proposed to Zelenskyy to transfer part of Western Ukraine to Poland
98,98,The West and US not interested in supporting Ukraine but weakening Russia,meter-false,The West and US not interested in supporting Ukraine but weakening Russia
99,99,Anti-Ukrainian billboards appeared in Poland,meter-false,
100,100,Kyiv is planning a false flag explosion in Kramatorsk to blame Russia,meter-false,Kyiv is planning a false flag explosion in Kramatorsk to blame Russia
101,101,EU member states military were sent to Ukraine long before 2022,meter-false,EU member states military were sent to Ukraine long before 2022
102,102,Kyiv massively recruits ethnic Hungarians to the army and exterminates the Hungarian language,meter-false,Kyiv massively recruits ethnic Hungarians to the army. Kyiv exterminates the Hungarian language. 
103,103,Washington could turn Moldova into another Ukraine,meter-false,Washington could turn Moldova into another Ukraine
104,104,Kyiv oppresses Russian culture at West’s command,meter-false,Kyiv oppresses Russian culture at West’s command
105,105,Most Germans opposed the transfer of tanks to Ukraine,meter-false,Most Germans opposed the transfer of tanks to Ukraine
106,106,Russia wants talks while West holds Zelenskyy back,meter-false,Russia wants talks holds Zelenskyy back. Russia wants West holds Zelenskyy back. 
107,107,The West is fighting Russia with the help of the Kyiv regime,meter-false,The West is fighting Russia with the help of the Kyiv regime
108,108,The war in Ukraine is a part of the US imperial World war,meter-false,The war in Ukraine is a part of the US imperial World war
109,109,Americans inject Ukrainian soldiers with drugs and viruses for biological research,meter-false,Americans inject Ukrainian soldiers with drugs viruses for biological research. 
110,110,Before 23 February 2022 there were no Russian troop on Ukrainian territory,meter-false,Before 23 February 2022 there were no Russian troop on Ukrainian territory
111,111,Insistence on Leopard tanks for Ukraine aims to prevent an independent German policy,meter-false,Insistence on Leopard tanks for Ukraine aims to prevent an independent German policy
112,112,"Ukrainians want peace with Russia, but the 'war party' controlled by NATO is against it",meter-false,Ukrainians want peace with Russia. The ` war party ' controlled by NATO is against it. 
113,113,Ukraine provoking conflicts in the Middle East could start Word War 3,meter-false,Ukraine provoking conflicts in the Middle East could start Word War 3
114,114,The UK plans to provoke mass protests in the EU and send troops to restore order,meter-false,The UK plans to provoke mass protests in the EU. The UK plans to send troops to restore order. 
115,115,"Ukraine violates the laws of war, stores weapons in nuclear plants",meter-false,"Ukraine violates the laws of war, stores weapons in nuclear plants"
116,116,Ukraine turns nuclear power plants into military facilities,meter-false,Ukraine turns nuclear power plants into military facilities
117,117,The US may send Polish military to fight with Russia,meter-false,The US may send Polish military to fight with Russia
118,118,Russia fights against Ukrainian neo-Nazis guilty of ethnic cleansing,meter-false,Russia fights against Ukrainian neo-Nazis guilty of ethnic cleansing
119,119,Western Leopard tanks firing radioactive ammo will destroy health of Ukrainians,meter-false,Western Leopard tanks firing radioactive ammo will destroy health of Ukrainians
120,120,US behind 2014 Ukrainian Nazi coup d'état which led to a bloody civil war,meter-false,US behind 2014 Ukrainian Nazi coup d'état. US led to a bloody civil war. 
121,121,Russia does not attack civilian infrastructure in Ukraine,meter-false,Russia does not attack civilian infrastructure in Ukraine
122,122,Polish authorities are planning to attack Kaliningrad and Moscow,meter-false,Polish authorities are planning to attack Kaliningrad. Polish authorities are planning to attack Moscow. 
123,123,EU countries will extradite Ukrainian men subject to mobilisation,meter-false,EU countries will extradite Ukrainian men subject to mobilisation
124,124,Ukrainian soldiers realise they die for US and NATO interests,meter-false,Ukrainian soldiers realise they die for US interests. Ukrainian soldiers realise they die for NATO interests. 
125,125,German tanks again moving to Russia because war is on Russian soil,meter-false,German tanks again moving to Russia   war is on Russian soil. 
126,126,"Western tanks to Ukraine part of ""Drang nach Osten"" project",meter-false,"Western tanks to Ukraine part of ""Drang nach Osten"" project"
127,127,Poland recognised it has a the plan to divide Ukraine,meter-false,Poland recognised it has a the plan to divide Ukraine
128,128,Germany is the vassal of Washington,meter-false,Germany is the vassal of Washington
129,129,The USA and NATO push the EU to war by supplying tanks to Ukraine,meter-false,The USA push the EU to war by supplying tanks to Ukraine. NATO push the EU to war by supplying tanks to Ukraine. 
130,130,US may give Western Ukraine to Poland if Warsaw pays Kyiv's debt to the US,meter-false,US may give Western Ukraine to Poland if Warsaw pays Kyiv's debt to the US
131,131,Brovary helicopter crash was to purge Zelensky loyalists,meter-false,Brovary helicopter crash was to purge Zelensky loyalists
132,132,Kyiv regime stores Western-supplied ammo in nuclear plants,meter-false,Kyiv regime stores Western-supplied ammo in nuclear plants
133,133,Ukraine violates international humanitarian law while Russia respects it,meter-false,Ukraine violates international humanitarian law respects it. Ukraine violates Russia respects it. 
134,134,Ukraine stores Western weapons in nuclear power plants,meter-false,Ukraine stores Western weapons in nuclear power plants
135,135,Polish politicians confirm their plan to partition Ukraine,meter-false,Polish politicians confirm their plan to partition Ukraine
136,136,The IAEA will work for its main sponsor: the United States,meter-false,The IAEA will work for its main sponsor: the United States
137,137,Germany does not provide Leopard tanks to oppose American colonisation of Europe,meter-false,Germany does not provide Leopard tanks to oppose American colonisation of Europe
138,138,Ukrainians and Western Europeans are the direct descendants of Hitler,meter-false,Ukrainians are the direct descendants of Hitler. Western Europeans are the direct descendants of Hitler. 
139,139,Helicopter crash in Brovary served to clean up “Zelenskyy’s team”,meter-false,Helicopter crash in Brovary served to clean up “Zelenskyy’s team”
140,140,Western statements on more arms to Ukraine lead to escalation,meter-false,Western statements on more arms to Ukraine lead to escalation
141,141,Russian army distinguished by a humane attitude towards Ukrainian civilians,meter-false,Russian army distinguished by a humane attitude towards Ukrainian civilians
142,142,Self-inflicted Dnipro tragedy used by Kyiv to get more Western arms,meter-false,Self-inflicted Dnipro tragedy used by Kyiv to get more Western arms
143,143,Helicopter crash in Brovary caused by Ukrainian air defence,meter-false,Helicopter crash in Brovary caused by Ukrainian air defence
144,144,Dnipro tragedy was the fault of Kyiv,meter-false,Dnipro tragedy was the fault of Kyiv
145,145,Dnipro missile was intercepted by Ukrainian anti-aircraft fire,meter-false,Dnipro missile was intercepted by Ukrainian anti-aircraft fire
146,146,The West has only inefficient scrap metal weapons for Ukraine,meter-false,The West has only inefficient scrap metal weapons for Ukraine
147,147,"Washington and Brussels planning war against Russia, similar to Napoleon and Hitler",meter-false,"Washington and Brussels planning war against Russia, similar to Napoleon and Hitler"
148,148,NATO instigated a war in Ukraine to weaken Russia,meter-false,
149,149,Kyiv persecutes Ukrainian Orthodox Church,meter-false,Kyiv persecutes Ukrainian Orthodox Church
150,150,Polish Public Broadcaster uses a map of the country with part of Western Ukraine,meter-false,Polish Public Broadcaster uses a map of the country with part of Western Ukraine
151,151,The West uses losses in Ukraine to channel human organ exports,meter-false,The West uses losses in Ukraine to channel human organ exports
152,152,Russia is not at war with Ukraine,meter-false,Russia is not at war with Ukraine
153,153,Kyiv passed from rejecting nuclear weapons to preparing a dirty bomb,meter-false,Kyiv passed from rejecting nuclear weapons to preparing a dirty bomb
154,154,US and NATO fighting proxy war against Russia in Ukraine,meter-false,US fighting proxy war against Russia in Ukraine. NATO fighting proxy war against Russia in Ukraine. 
155,155,Zelenskyy sends his soldiers to be slaughtered for Western money,meter-false,Zelenskyy sends his soldiers to be slaughtered for Western money
156,156,A French witness proved that the crimes in Bucha were organised by Ukraine,meter-false,A French witness proved that the crimes in Bucha were organised by Ukraine
157,157,Russia hits only military targets in Ukraine,meter-false,Russia hits only military targets in Ukraine
158,158,Dnipro block of flats hit by Ukraine missile,meter-false,Dnipro block of flats hit by Ukraine missile
159,159,Ukrainian militants use chemical weapons in Donbas,meter-false,Ukrainian militants use chemical weapons in Donbas
160,160,The US supplies Ukraine with obsolete combat vehicles,meter-false,The US supplies Ukraine with obsolete combat vehicles
161,161,Ukraine has become a private military company of NATO,meter-false,Ukraine has become a private military company of NATO
162,162,Wagner PMC fighters are courageous selfless volunteers,meter-false,Wagner PMC fighters are courageous selfless volunteers
163,163,Ukraine is forced to fight on behalf of NATO,meter-false,Ukraine is forced to fight on behalf of NATO
164,164,"France, and other Western countries will face war crimes charges in Donetsk",meter-false,France will face war crimes charges in Donetsk. Other Western countries will face war crimes charges in Donetsk. 
165,165,Kyiv forces are about to launch a chemical attack against Russian soldiers,meter-false,Kyiv forces are about to launch a chemical attack against Russian soldiers
166,166,The West is using Ukrainians to fight against Russia,meter-false,The West is using Ukrainians to fight against Russia
167,167,Ukraine is ready to sacrifice itself for West's geopolitical victory over Russia,meter-false,Ukraine is ready to sacrifice itself for West's geopolitical victory over Russia
168,168,The new Polish division on the border is a threat to Belarus and the Union State,meter-false,The new Polish division on the border is a threat to Belarus. The new Polish division on the border is a threat to the Union State. 
169,169,The Nazi Kyiv regime creates “Hitler-Jugend” and conscripts women en masse,meter-false,The Nazi Kyiv regime creates `` Hitler-Jugend ''. The Nazi Kyiv regime conscripts women en masse. 
170,170,Events in Ukraine not a military confrontation between Moscow and Kyiv,meter-false,Events in Ukraine not a military confrontation between Moscow. Events in Ukraine not a military confrontation between Kyiv. 
171,171,The West is using Ukraine as a proxy in the war against Russia,meter-false,The West is using Ukraine as a proxy in the war against Russia
172,172,Ukraine’s defeat is coming and is widely acknowledged in the West and Kyiv alike,meter-false,Ukraine’s defeat is coming and is widely acknowledged in the West and Kyiv alike
173,173,SBU digs corpses up to stage provocations and accuse Russia of imaginary war crimes,meter-false,SBU digs corpses up to stage provocations. SBU digs accuse Russia of imaginary war crimes. 
174,174,Russia's superiority over NATO in Ukraine is evident,meter-false,Russia's superiority over NATO in Ukraine is evident
175,175,"Polish authorities are preparing a ""liberation march"" to take over Ukraine",meter-false,"Polish authorities are preparing a ""liberation march"" to take over Ukraine"
176,176,Russia is not at war with Ukraine: It's a military confrontation between NATO against Moscow,meter-false,Russia is not at war with Ukraine: It's a military confrontation between NATO against Moscow
177,177,Russian troops respect unilateral Orthodox Christmas truce while Kyiv continues bombing,meter-false,Russian troops respect unilateral Orthodox Christmas truce continues bombing. Russian Kyiv continues bombing. 
178,178,Ukraine is setting up to accuse Russia of war crimes,meter-false,Ukraine is setting up to accuse Russia of war crimes
179,179,Poland is harbouring dreams of expanding into western Ukraine,meter-false,Poland is harbouring dreams of expanding into western Ukraine
180,180,Europe doesn’t support peace negotiations in Ukraine because of US pressure,meter-false,Europe doesn ' t support peace negotiations in Ukraine   of US pressure. 
181,181,The 2022 referendums to join Russia confirmed the wish of the population to live in peace,meter-false,The 2022 referendums to join Russia confirmed the wish of the population to live in peace
182,182,Russia kills over 600 Ukrainian troops in retaliation strike,meter-false,Russia kills over 600 Ukrainian troops in retaliation strike
183,183,Since 2014 the US has unleashed a real proxy war against Russia,meter-false,Since 2014 the US has unleashed a real proxy war against Russia
184,184,Washington started the conflict in Ukraine to spoil Russia and Germany relations,meter-false,Washington started the conflict in Ukraine to spoil Russia relations. Washington started the conflict in Ukraine to spoil Germany relations. 
185,185,The West provides Ukraine with scrap metal weapons,meter-false,The West provides Ukraine with scrap metal weapons
186,186,An upcoming EU collapse will make Ukrainians realise their mistakes,meter-false,An upcoming EU collapse will make Ukrainians realise their mistakes
187,187,NATO’s proxy war against Russia is destroying Ukraine,meter-false,NATO’s proxy war against Russia is destroying Ukraine
188,188,Russia’s special military operation builds a more harmonised multipolar World,meter-false,Russia’s special military operation builds a more harmonised multipolar World
189,189,The special military operation aims to end the Nazi regime in Kyiv,meter-false,The special military operation aims to end the Nazi regime in Kyiv
190,190,"Over 1,200 Polish mercenaries died in Ukraine, thousands are wounded",meter-false,"Over 1,200 Polish mercenaries died in Ukraine, thousands are wounded"
191,191,The past year’s events put an end to Russia’s honest attempts to establish equal cooperation with the West,meter-false,The past year’s events put an end to Russia’s honest attempts to establish equal cooperation with the West
192,192,Ukraine is a terrorist organisation,meter-false,Ukraine is a terrorist organisation
193,193,The USA wants Ukraine to “fight to the last Ukrainian”,meter-false,The USA wants Ukraine to “fight to the last Ukrainian”
194,194,"Western countries declared war on Russia back in 2014, after the coup d'état in Ukraine",meter-false,"Western countries declared war on Russia back in 2014, after the coup d'état in Ukraine"
195,195,The US will push Lithuania for war against Russia after the collapse of Ukraine,meter-false,The US will push Lithuania for war against Russia after the collapse of Ukraine
196,196,The strategic goal of the US and NATO is the destruction of Russia and elimination of Putin,meter-false,The strategic goal of the US and NATO is the destruction of Russia and elimination of Putin
197,197,Russia is not responsible for the war in Ukraine,meter-false,
198,198,The war in Ukraine is a global conflict to destroy Russia,meter-false,The war in Ukraine is a global conflict to destroy Russia
199,199,Ukrainian Azov militants are preparing to enter Belarusian territory,meter-false,Ukrainian Azov militants are preparing to enter Belarusian territory
200,200,Ukraine's hostility to Russia is an American project to weaken Europe,meter-false,Ukraine's hostility to Russia is an American project to weaken Europe
201,201,Kyiv regime is an American puppet doomed to stay under the US control,meter-false,Kyiv regime is an American puppet doomed to stay under the US control
202,202,The US and its allies are stepping up military aid to Kyiv to prolong the conflict,meter-false,The US are stepping up military aid to Kyiv to prolong the conflict. Its allies are stepping up military aid to Kyiv to prolong the conflict. 
203,203,Gas price cap violates market principles and harms Europe more than Russia,meter-false,Gas price cap violates market principles. Gas price cap harms Europe more than Russia. 
204,204,Ukraine started a war against people who considered themselves to be a part of Russia in 2014,meter-false,Ukraine started a war against people. Ukraine considered themselves to be a part of Russia in 2014. 
205,205,By 2025 only under eight million people will reside in Ukraine,meter-false,By 2025 only under eight million people will reside in Ukraine
206,206,The US seeks to prolong the war in Ukraine to dissolve the EU,meter-false,The US seeks to prolong the war in Ukraine to dissolve the EU
207,207,The US has destroyed German economy,meter-false,The US has destroyed German economy
208,208,Washington caused the war in Ukraine to benefit American military industrial complex,meter-false,Washington caused the war in Ukraine to benefit American military industrial complex
209,209,Moldova dreams of a Russian invasion,meter-false,Moldova dreams of a Russian invasion
210,210,"Russians in Ukraine are in the majority, they are brainwashed",meter-false,"Russians in Ukraine are in the majority, they are brainwashed"
211,211,The US pushed Ukrainian puppets to war with Russia,meter-false,The US pushed Ukrainian puppets to war with Russia
212,212,"Russian troops are not in Ukraine, as these regions decided to become Russian territory",meter-false,"Russian troops are not in Ukraine, as these regions decided to become Russian territory"
213,213,Calls for Russia to withdraw from Ukraine are an attempt to distract from EU corruption,meter-false,Calls for Russia to withdraw from Ukraine are an attempt to distract from EU corruption
214,214,EU sets up war tribunal to cover up its war crimes in Ukraine,meter-false,EU sets up war tribunal to cover up its war crimes in Ukraine
215,215,The EU calls any information it doesn’t like disinformation,meter-false,The EU calls any information it doesn’t like disinformation
216,216,Zelenskyy uses civilians as human shield in Kyiv,meter-false,Zelenskyy uses civilians as human shield in Kyiv
217,217,The goal of the West led by the US is to destroy Russia as a state and turn it into a puppet,meter-false,The goal of the West led by the US is to destroy Russia as a state. The goal of the West led by the US is to turn it into a puppet. 
218,218,"Ukraine is losing the war, it's being ruined for the sake of American globalists",meter-false,"Ukraine is losing the war, it's being ruined for the sake of American globalists"
219,219,"Poles have figured out that a long conflict is beneficial to NATO, US and Western gun manufacturers",meter-false,Poles have figured out that a long conflict is beneficial to NATO gun manufacturers. Poles have figured out that a long conflict is beneficial to US gun manufacturers. Poles have figured out that a long conflict is beneficial to Western gun manufacturers. 
220,220,EU sanctions undermine global food security,meter-false,EU sanctions undermine global food security
221,221,The EU adopted another package of illegitimate sanctions against Russia,meter-false,The EU adopted another package of illegitimate sanctions against Russia
