claim,dateOfPublish
"Russian 'kamikaze' drones hit Kyiv, Putin has talks in ally Belarus, article with video","December 20, 2022"
"Putin and Lukashenko dwell on cooperation, not Ukraine war, after summit, article with video","December 20, 2022"
"Colombia ELN leftist guerrilla group declares Christmas ceasefire, article with gallery","December 20, 2022"
"Indonesia president supports plan to scale back troops in restive Papua, article with image","December 19, 2022"
"Self-exiled Philippine communist leader Sison dies at 83, article with gallery","December 17, 2022"
"Explainer: When are attacks on civilian infrastructure war crimes?, article with gallery","December 16, 2022"
"Factbox: What will Japan's military build-up look like?, article with image","December 16, 2022"
"Russia preparing for long war, Ukrainian military says, article with gallery","December 15, 2022"
"Africa's food crisis is the biggest yet – five reasons why, article with video","December 15, 2022"
"Hamas defiant as hardline Israeli coalition takes shape, article with gallery","December 14, 2022"
"South Sudan violence has killed 166 civilians, displaced over 20,000 - U.N., article with image","December 14, 2022"
"Climate change will fuel humanitarian crises in 2023 -study, article with image","December 14, 2022"
"Factbox: What will Japan's military build-up look like?, article with image","December 13, 2022"
"Exclusive: International legal experts assist Ukraine in sexual violence investigation, article with video","December 13, 2022"
"Colombia's government, ELN guerrillas complete first round of talks, article with gallery","December 13, 2022"
"Some Russian soldiers in Ukraine unhappy with top brass, Girkin says, article with image","December 11, 2022"
"EU adds eight people to Congolese sanctions list, article with gallery","December 9, 2022"
"M23 rebels ready to withdraw from occupied areas in eastern Congo, article with video","December 7, 2022"
"Colombia's armed forces to maintain offensive against armed groups -president says, article with image","December 6, 2022"
"Pakistan's new army chief says will defend ""motherland"" during visit to disputed Kashmir, article with image","December 3, 2022"
"Congolese army says rebels massacred 50 civilians in eastern town, article with gallery","December 2, 2022"
"Russia accuses U.S. of direct Ukraine war role, but says it's open to potential talks, article with image","December 1, 2022"
"Colombia faces very large challenge to stop ""endemic violence"" -Amnesty, article with gallery","December 1, 2022"
"In Peru's hills, an artisanal miner boom frustrates Big Copper's plans, article with gallery","December 1, 2022"
"Hunger-struck Africa needs liquidity, debt relief, article with image","November 30, 2022"
"Russia should use advanced weapons in Ukraine, Shoigu says, article with image","November 30, 2022"
"Exclusive: U.S., Russia have used their military hotline once so far during Ukraine war, article with gallery","November 29, 2022"
"Burkina Faso's vanishing gold boom puts livelihoods at risk, article with gallery","November 28, 2022"
"Colombia, ELN rebels invite three more countries to help with peace talks, article with image","November 26, 2022"
"Explainer: Why Pakistan's army chief matters far beyond its borders, article with image","November 25, 2022"
"History repeats in Congo for families fleeing rebel violence, article with video","November 24, 2022"
"Peace talks will not slow Colombia's offensive against armed groups -officials, article with image","November 24, 2022"
"Chechens fighting for Ukraine see chance to 'free' their homeland, article with video","November 23, 2022"
"Some Russian commanders encouraged sexual violence, says lawyer advising Kyiv, article with gallery","November 23, 2022"
"Russia's war on Ukraine latest news: Harsh winter looms as Russian strikes hobble Ukraine's power capacity, article with video","November 23, 2022"
"Senators urge Pentagon to reconsider Gray Eagle drones for Ukraine, article with gallery","November 23, 2022"
"Turkey vows more retaliation after 2 killed in cross-border Kurdish strikes, article with gallery","November 22, 2022"
"Colombia, ELN rebels start peace talks, hoping to end six decades of war, article with gallery","November 22, 2022"
"On Europe's new frontlines, red tape, politics and potholes hamper defence, article with video","November 22, 2022"
"U.S. says Russia's Ukraine invasion offered preview to potential global tyranny, article with video","November 20, 2022"
"Ukraine says half its energy system crippled by Russian attacks, Kyiv could 'shutdown', article with gallery","November 19, 2022"
"Factbox: North Korea's expanding missile capabilities, article with image","November 18, 2022"
"Colombia, ELN rebels set to begin peace talks next week, article with image","November 18, 2022"
"Analysis: Libya's festering crisis risks slide back to war, article with gallery","November 17, 2022"
"Explainer: Who Pakistan picks as army chief matters far beyond its borders, article with image","November 17, 2022"
"Republican U.S. House will sharpen China focus, monitor Ukraine aid, article with image","November 17, 2022"
"Former Kenya president calls for urgent intervention in Congo fighting, article with video","November 17, 2022"
"Brutality of war grips Polish village where missile struck, article with video","November 17, 2022"
"Explainer: NATO's Articles 4 and 5: Could Ukraine war trigger its defence obligations?, article with video","November 16, 2022"
"Pope asks God to 'hurry up' to end Ukraine war, condemns missile strikes, article with gallery","November 16, 2022"
"Americas rights body turns up heat on Mexico over missing students, article with video","November 16, 2022"
"Hundreds flee as Congo's M23 rebels near key city of Goma, article with video","November 16, 2022"
"UK set to join EU project helping swift military movements across Europe, article with image","November 15, 2022"
"Both Russia and Ukraine tortured prisoners of war, UN says, article with image","November 15, 2022"
"Kremlin criticises attempts to 'plunder' frozen assets for Ukraine reparations, article with image","November 15, 2022"
"Factbox: What is the Syrian Kurdish YPG?, article with video","November 14, 2022"
"Video shows sledgehammer execution of Russian mercenary, article with image","November 13, 2022"
"Biden discusses security pact, Taiwan Strait with Australian PM, article with image","November 13, 2022"
"Turkey seeks Ukraine peace talks despite Western actions, Erdogan says, article with image","November 12, 2022"
"Exclusive: Russia needs time to pull back from Kherson, fighting to slow in winter -Kyiv, article with video","November 11, 2022"
"EU proposes cyber defence plan as concerns about Russia mount, article with video","November 11, 2022"
"Explainer: Blood, treasure and chaos: the cost of Russia's war in Ukraine, article with image","November 10, 2022"
"More than 100,000 Russian military casualties in Ukraine, top U.S. general says, article with image","November 10, 2022"
"U.N. experts call for release of Turkish medical association head, article with gallery","November 8, 2022"
"Pussy Riot's Alyokhina urges West to confront 'abuser' Putin with strength, article with gallery","November 3, 2022"
"Swiss again reject German request to re-export Swiss ammunition to Ukraine, article with image","November 3, 2022"
"Factbox: North Korea's expanding missile capabilities, article with image","November 3, 2022"
"North Korea fires 23 missiles, one landing off South Korean coast for first time, article with video","November 2, 2022"
"Russia: West must stop 'encouraging provocations' to avoid nuclear disaster, article with image","November 2, 2022"
"North Korea says U.S.-South Korea drills 'can no longer be tolerated', article with gallery","November 2, 2022"
"Empty streets, shuttered shops as Russian-held Kherson braces for battle, article with gallery","November 1, 2022"
"After weeks of chaos, Russia says partial mobilisation is complete, article with image","October 31, 2022"
"Russia's partial mobilisation is complete, Shoigu says, article with gallery","October 28, 2022"
"Russia's anti-satellite threat tests laws of war in space, article with image","October 28, 2022"
"Israel, Lebanon finalise maritime demarcation deal without mutual recognition, article with video","October 28, 2022"
"Ethiopian government accused of deadly air strikes on Oromiya region, article with image","October 27, 2022"
"Analysis: Xi's new generals offer cohesion over possible Taiwan plans, article with image","October 27, 2022"
"Analysis: Deal for reducing military tensions with North Korea could go 'back to square one', article with image","October 27, 2022"
"Colombia's Congress approves negotiations with illegal armed groups, article with image","October 27, 2022"
"ASEAN chair warns over Myanmar violence; U.S. urges more pressure, article with image","October 26, 2022"
"Romania plans to boost Black Sea talks, military procurement, article with image","October 25, 2022"
"Malaysia's deportation of Myanmar refugees violates international law - UN, article with image","October 25, 2022"
"France's Macron says there is chance for peace in Ukraine, article with video","October 24, 2022"
"Israeli forces kill Palestinian in West Bank, Palestinian officials say, article with video","October 23, 2022"
"Little-known Penny Mordaunt ready to run again for Britain's top job, article with image","October 22, 2022"
"U.S. grants Temporary Protected Status to Ethiopians fleeing conflict, article with image","October 21, 2022"
"Kremlin: We don't expect 'political wisdom' in selection of new British PM, article with image","October 21, 2022"
"Russian court orders arrest of dissident journalist Ovsyannikova, article with image","October 21, 2022"
"Lafarge pleads guilty to U.S. charge of supporting Islamic State, to pay $778 million, article with video","October 20, 2022"
"EXCLUSIVE Looped in 'line by line', Hezbollah shows pragmatic side in Lebanon-Israel deal, article with gallery","October 19, 2022"
"Australia to investigate reports pilots trained Chinese military - minister, article with image","October 19, 2022"
"Analysis: Vladimir Putin is safe in power for now, but risks lie ahead, sources say, article with gallery","October 19, 2022"
"Russian women pay the price in protests against Putin's war, article with gallery","October 17, 2022"
"Iraq elects new president and premier, ending stalemate, article with gallery","October 14, 2022"
"North Korea says it practiced firing nuclear-capable cruise missiles, article with image","October 13, 2022"
"Turkish energy minister: Putin proposal for gas hub in Turkey should be discussed, article with image","October 12, 2022"
"Analysis: Fearing war in Xi's next term, Taiwan bolsters defences, article with video","October 12, 2022"
"Explainer: Why Russia's missiles on Ukraine have limited impact, article with gallery","October 12, 2022"
"Iran protests over woman's death persist despite crackdown, article with image","October 12, 2022"
"Iraqi parliament to vote Thursday on new president amid divisions, article with gallery","October 11, 2022"
"Moldovan president calls for tougher policing to tackle pro-Russia protests, article with image","October 11, 2022"
"Colombia to keep fighting drugs, criminal groups amid drive for total peace, article with image","October 10, 2022"
"Taiwan says war with China 'absolutely' not an option, but bolstering defences, article with image","October 10, 2022"
"Colombia reaches deal to buy land from cattle ranchers, article with image","October 8, 2022"
"Don't cancel New Year celebrations because of war, says Moscow, article with image","October 8, 2022"
"Erdogan and Putin discuss improving ties, ending Ukraine war, article with image","October 7, 2022"
"South Korea, U.S. fire missiles to protest 'reckless' North Korean test, article with video","October 6, 2022"
"Roadside bomb kills three U.N. peacekeepers in Central African Republic, article with image","October 5, 2022"
"Factbox: North Korea's expanding missile capabilities, article with image","October 5, 2022"
"Who is Ibrahim Traore, the soldier behind Burkina Faso's latest coup?, article with video","October 4, 2022"
"Lebanon's Berri sees draft maritime deal as 'positive', article with image","October 2, 2022"
"North Korea fires fourth missile in a week as South flexes military muscle, article with image","October 1, 2022"
"Russian military showing increased frailty in Ukraine war -British military chief, article with image","September 30, 2022"
"Nobel Peace Prize could condemn Ukraine war or highlight climate change, article with video","September 30, 2022"
"In Colombia, land occupations raise tensions and spook investors, article with gallery","September 30, 2022"
"U.S. VP Harris denounces North Korea's 'brutal dictatorship,' Pyongyang fires more missiles, article with video","September 30, 2022"
"Colombia peace process must solve causes of conflict - ELN rebel commander, article with image","September 29, 2022"
"Israeli forces kill 4 Palestinian gunmen in flashpoint West Bank town, article with video","September 29, 2022"
"Moldova must boost defences, given presence of Russia troops -president, article with image","September 29, 2022"
"Colombia says 10 armed groups agree to unilateral ceasefire, article with image","September 28, 2022"
"Analysis: Truth or bluff? Why Putin's nuclear warnings have the West worried, article with gallery","September 28, 2022"
"UN says Russia abuses prisoners in Ukraine, article with image","September 27, 2022"
"Factbox: Russia prepares to formally annex 15% of Ukraine, article with video","September 27, 2022"
"Russians flee to Georgia after Putin's mobilisation order, article with video","September 27, 2022"
"Lebanon expects U.S. mediator offer for maritime border with Israel within days, article with image","September 26, 2022"
"Moldova considers sanctions for citizens who fight for Russia in Ukraine, article with image","September 26, 2022"
"Israeli forces kill Palestinian militant in West Bank, article with gallery","September 25, 2022"
"More than 730 detained in anti-mobilisation protests across Russia, rights group says, article with video","September 25, 2022"
"Russia holds annexation votes; Ukraine says residents coerced, article with video","September 25, 2022"
"Ukraine's Zelenskiy acclaims commanders freed in prisoner swap, article with video","September 22, 2022"
"U.N. rights envoy warns that Myanmar's election will be a 'fraud', article with image","September 22, 2022"
"Ukraine's Zelenskiy hails commanders freed in prisoner swap as 'superheroes', article with image","September 22, 2022"
"Russia calls up 300,000 reservists, says 6,000 soldiers killed in Ukraine, article with video","September 21, 2022"
"Disdain and defiance among Kyiv residents after Putin order, article with image","September 21, 2022"
"Categories exempt from call-up to be determined soon - Kremlin, article with image","September 21, 2022"
"Colombia's Petro calls on Latin America to unite against war on drugs, article with image","September 20, 2022"
"Russian parliament toughens punishment for crimes during military mobilisation, article with image","September 20, 2022"
"India's Modi assails Putin over Ukraine war, article with gallery","September 16, 2022"
"Putin tells Modi he understands India's concerns over Ukraine conflict, article with gallery","September 16, 2022"
"Princes William, Harry to stand vigil at Queen Elizabeth's coffin on Saturday, article with image","September 16, 2022"
"Putin acknowledges China's concerns over Ukraine in sign of friction, article with video","September 16, 2022"
"Putin acknowledges China's concerns over Ukraine in sign of friction, article with video","September 15, 2022"
"Russia says longer-range U.S. missiles for Kyiv would cross red line, article with video","September 15, 2022"
"Armenia reports truce after new clashes with Azerbaijan, article with video","September 15, 2022"
"Putin calls for calm amid deadliest Azerbaijan-Armenia clashes since 2020, article with video","September 13, 2022"
"Turkey backs Azerbaijan, says Armenia 'should cease provocations', article with image","September 13, 2022"
"Uganda says paid first instalment in Congo war reparations, article with video","September 12, 2022"
"Ukrainians with disabilities remain trapped in conflict zones, U.N. committee says, article with image","September 9, 2022"
"Some Russians mourn Queen Elizabeth with flowers as Kremlin pays respects, article with gallery","September 9, 2022"
"EU boosts military support to gas-rich Mozambique amid energy crisis, article with gallery","September 8, 2022"
"Ukraine's top general warns of Russian nuclear strike risk, article with image","September 8, 2022"
"Swiss seek closer defence ties to EU, NATO; to stay neutral, article with image","September 7, 2022"
"Praying for 'martyred Ukraine', Pope urges halt to 'world war', article with video","September 7, 2022"
"Myanmar conflict under control, junta chief says, article with image","September 7, 2022"
"Israel: Al Jazeera reporter was likely killed unintentionally by its forces, article with image","September 6, 2022"
"Nuclear plant loses power line as Moscow, West energy row escalates, article with video","September 4, 2022"
"Seven Colombia police killed in deadliest attack since leftist took office, article with gallery","September 3, 2022"
"Top Russian oil official falls to death from hospital window - sources, article with video","September 1, 2022"
"Russia's military suffering manpower shortages -U.S. intelligence, article with image","September 1, 2022"
"UN inspectors near Ukrainian nuclear plant on mission to avert an accident, article with video","September 1, 2022"
"Kyiv ravers escape horrors of war through music, article with video","August 31, 2022"
"Zelenskiy tells Russians to run for their lives from Ukraine offensive in south, article with video","August 31, 2022"
"Deadly clashes rage in Baghdad in Shi'ite power struggle, article with video","August 30, 2022"
"Tripoli calm, Libya riven after worst fighting in years, article with video","August 29, 2022"
"U.S. warships transit Taiwan Strait, first since Pelosi visit, article with gallery","August 28, 2022"
"Colombian president proposes multilateral ceasefire to illegal armed groups, article with image","August 28, 2022"
"Deadly battles erupt across Tripoli, raising fears of wider Libya war, article with video","August 28, 2022"
"U.S. senator arrives in Taiwan, defying angry Beijing, article with video","August 26, 2022"
"Chile's Boric suffers first Cabinet resignation, article with image","August 26, 2022"
"Zelenskiy says crisis averted as Russian-held Ukraine nuclear plant regains power, article with video","August 26, 2022"
"U.S. report identifies 21 'filtration' locations run by Russia for processing Ukrainians, article with gallery","August 25, 2022"
"In strategy shift, Colombia to suspend air strikes on armed groups, article with image","August 25, 2022"
"Putin signs decree to increase size of Russian armed forces, article with image","August 25, 2022"
"Thailand's new acting leader is another royalist military man, article with image","August 25, 2022"
"Colombia will not extradite criminals who negotiate government deals - Petro, article with image","August 25, 2022"
"Analysis: Putin bets winter gas chokehold will yield Ukraine peace - on his terms, article with image","August 24, 2022"
"Explainer: Blood, treasure and chaos - the cost of Russia's war in Ukraine, article with gallery","August 24, 2022"
"Blasts, fresh drone attacks rock Russian-held areas far from Ukraine war front, article with video","August 20, 2022"
"Ukraine and Russia: What you need to know right now, article with gallery","August 18, 2022"
"Top U.N. official presses Myanmar's junta leader in rare visit, article with image","August 18, 2022"
"Fresh shelling renews blame game over Ukraine nuclear plant, article with video","August 16, 2022"
"Colombia's Petro replaces military commanders in human rights drive, article with image","August 13, 2022"
"U.N. humanitarian agencies face record funding gap this year, article with image","August 12, 2022"
"Colombia advances towards restarting peace talks with ELN, article with image","August 12, 2022"
"Blinken, Kagame discuss U.N. report that Rwanda supports rebel group, article with video","August 11, 2022"
"Taiwan says China's threat remains, though military drills ease, article with image","August 11, 2022"
"Kosovo PM says tensions with Serbs in north could escalate, warns of possible new conflict, article with image","August 10, 2022"
"U.S. 'very concerned' about reports Rwanda backing rebels in Congo, Blinken says, article with video","August 10, 2022"
"Russia suspends START arms inspections over U.S. travel curbs, article with image","August 8, 2022"
"Palestinian militants fire rockets at Israel after Gaza air strikes, article with video","August 6, 2022"
"Shells hit power lines at Ukraine nuclear plant, fighting in east, article with gallery","August 6, 2022"
"Ukraine seeks to extend shipping safe passage deal beyond grain, article with gallery","August 5, 2022"
"Canada to help train Ukrainian recruits in United Kingdom, article with image","August 4, 2022"
"Russian ceasefire and troop pullout must precede any talks, says Ukraine, article with video","August 4, 2022"
"Analysis: Crisis in Iraq tests its stability and Iran's sway, article with gallery","August 3, 2022"
"Pelosi arrives in Taiwan vowing U.S. commitment; China enraged, article with video","August 3, 2022"
"Pope to visit Kazakhstan, may meet Russian Orthodox patriarch, article with gallery","August 1, 2022"
"Factbox: Iraq’s competing Shi’ite groups, article with gallery","August 1, 2022"
"Myanmar junta extends emergency rule, cites need for stability, article with image","August 1, 2022"
"Explainer: What's driving the power struggle in Iraq?, article with gallery","July 31, 2022"
"Russia, Ukraine trade blame for dozens of deaths in Donetsk prison destruction, article with video","July 30, 2022"
"Blinken and Russia's Lavrov have 'frank' discussion about detained citizens, article with video","July 30, 2022"
"Six bodies found in southern Syrian town after clashes, reports say, article with image","July 29, 2022"
"Analysis: With massive Polish arms deal S.Korea steps closer to Ukraine war, article with image","July 29, 2022"
"N.Korea's Kim says nuclear deterrent is ready, slams South's Yoon, article with video","July 29, 2022"
"Colombia and Venezuela to appoint new ambassadors, reopening diplomatic relations, article with image","July 29, 2022"
"No deal yet with U.S. on Griner swap for arms dealer Bout, Russia says, article with gallery","July 29, 2022"
"Deadlock gives Iraq record run without government, hampering reforms, article with video","July 28, 2022"
"U.S. says Beijing's South China Sea 'provocations' risk major incident, article with image","July 27, 2022"
"Analysis: South Korea doubles down on risky 'Kill Chain' plans to counter North Korea nuclear threat, article with image","July 26, 2022"
"Factbox: What became of the 'Arab Spring'?, article with gallery","July 25, 2022"
"Clashes erupt on outskirts of Libya's Misrata, article with gallery","July 23, 2022"
"Russia says it destroyed 4 HIMARS launchers, in claim denied by Ukraine, article with gallery","July 23, 2022"
"Colombia President-elect Petro names Ivan Velasquez as defense minister, article with image","July 22, 2022"
"Colombian illegal armed groups propose ceasefire with incoming government, article with image","July 21, 2022"
"Russia prepares for next Ukraine offensive in face of new Western weapons, article with video","July 18, 2022"
"Russia vows to ramp up operations as rockets pound Ukraine, article with video","July 17, 2022"
"Poland to buy 116 used Abrams tanks from U.S., says minister, article with image","July 15, 2022"
"Ukraine condemns Russia strike that killed 23 in 'ordinary, peaceful' city, article with video","July 15, 2022"
"Colombia potential cocaine output fell to 972 tonnes in 2021 - White House, article with gallery","July 15, 2022"
"Forty-five nations pledge to coordinate evidence of war crimes in Ukraine, article with video","July 14, 2022"
"Libya's Tripoli government installs new oil company head despite opposition, article with gallery","July 14, 2022"
"Russian foreign ministry attacks West for giving Ukrainian forces weapons training, article with image","July 14, 2022"
"Libya's oil chief rejects sacking, says govt mandate expired, article with image","July 14, 2022"
"U.S. calls for immediate halt to Russian deportations in Ukraine, article with image","July 14, 2022"
"Hezbollah chief vows 'no one' will extract gas, oil from maritime zones if Lebanon unable to do so, article with image","July 14, 2022"
"Turkey reports deal to restore Ukrainian grain exports, UN says more work needed, article with gallery","July 14, 2022"
"Russian opposition politician kept in prison under 'fake information' investigation, article with gallery","July 13, 2022"
"U.S. to renew but not expand humanitarian protection for Venezuelans in the country, article with gallery","July 12, 2022"
"U.N. adds Ukraine, Ethiopia, Mozambique to children killing inquiry, article with image","July 11, 2022"
"Russia and Turkey plan summit talks soon - Kremlin, article with gallery","July 11, 2022"
"More Russian men look to avoid military service, some lawyers and rights groups say, article with video","July 8, 2022"
"Russia rejoices over Boris Johnson's downfall: the 'stupid clown' has gone, article with video","July 7, 2022"
"Congo, Rwanda agree at Angola summit to reduce tension, article with gallery","July 7, 2022"
"Uzbek leader blames 'foreign forces' for outbreak of unrest, article with image","July 7, 2022"
"Al Jazeera reporter likely killed by unintentional gunfire from Israeli positions, U.S. says, article with gallery","July 4, 2022"
"Congo and Rwanda to meet for talks amid tensions over rebels, article with gallery","July 4, 2022"
"Colombia extradites accused drug cartel leader's sister to U.S., article with gallery","July 2, 2022"
"Russia abandons Black Sea outpost of Snake Island in victory for Ukraine, article with video","July 1, 2022"
"Libya talks in Geneva end without breakthrough, article with image","June 30, 2022"
"Pope implicitly accuses Russia of aggression, imperialism in Ukraine, article with image","June 30, 2022"
"Woman made to cook and eat human flesh, Congo group tells U.N., article with image","June 30, 2022"
"NATO backs military aid for 'heroic' Ukraine, Russia steps up attacks, article with video","June 30, 2022"
"Colombia must advance talks with armed groups to secure peace -truth commission president, article with gallery","June 30, 2022"
"NATO to monitor migration as risk of instability to members, article with image","June 29, 2022"
"Colombia truth commission urges drug policy change to end violence, article with image","June 29, 2022"
